average_node_connectivity,degree_assortativity_coefficient,degree_pearson_correlation_coefficient,density,edge_connectivity,flow_hierarchy,global_reaching_centrality,is_aperiodic,is_attracting_component,is_semiconnected,is_strongly_connected,node_connectivity,number_attracting_components,number_of_edges,number_strongly_connected_components,overall_reciprocity,reciprocity,s_metric,avg_transceivers,max_transceivers,sum_slots,avg_max_slot
8.866153846153846,-0.02557000888741526,-0.025570008887412312,0.4046153846153846,6,0.0,0.0,True,True,True,True,6,1,263,1,0.44106463878326996,0.44106463878326996,112973.0,609.74,660.0,11040.0,198.29
9.0,-0.05887960839840658,-0.05887960839840342,0.41384615384615386,3,0.0,0.0,True,True,True,True,6,1,269,1,0.379182156133829,0.379182156133829,119045.0,627.16,662.0,11394.0,194.43
8.598461538461539,-0.010018197649804947,-0.010018197649803485,0.4,5,0.0,0.0,True,True,True,True,6,1,260,1,0.4307692307692308,0.4307692307692308,111591.0,599.08,680.0,12663.0,225.86
8.8,-0.0035283534004605125,-0.0035283534004623886,0.40615384615384614,6,0.0,0.0,True,True,True,True,7,1,264,1,0.4166666666666667,0.4166666666666667,113947.0,639.6,664.0,11628.0,202.18
9.323076923076924,-0.03629608281294549,-0.03629608281293957,0.4230769230769231,7,0.0,0.0,True,True,True,True,7,1,275,1,0.43636363636363634,0.43636363636363634,130030.0,628.7,744.0,12429.0,228.32
8.94923076923077,0.021535703497963212,0.02153570349796082,0.40615384615384614,4,0.0,0.0,True,True,True,True,5,1,264,1,0.4318181818181818,0.4318181818181818,112878.0,589.02,672.0,11097.0,190.46
8.935384615384615,-0.0043973935587796106,-0.004397393558778877,0.4123076923076923,5,0.0,0.0,True,True,True,True,6,1,268,1,0.4253731343283582,0.4253731343283582,120150.0,593.23,662.0,11700.0,207.43
9.00153846153846,-0.04397857196025677,-0.04397857196025731,0.42,6,0.0,0.0,True,True,True,True,6,1,273,1,0.43956043956043955,0.43956043956043955,129139.0,634.86,706.0,12315.0,218.89
8.778461538461539,-0.030199394667151186,-0.03019939466715165,0.4046153846153846,5,0.0,0.0,True,True,True,True,6,1,263,1,0.38022813688212925,0.38022813688212925,112402.0,599.55,678.0,12099.0,204.43
8.946153846153846,0.03337159507813625,0.033371595078137126,0.41846153846153844,6,0.0,0.0,True,True,True,True,6,1,272,1,0.375,0.375,126813.0,620.39,698.0,11412.0,206.0
8.778461538461539,-0.030199394667151186,-0.03019939466715165,0.4046153846153846,5,0.0,0.0,True,True,True,True,6,1,263,1,0.38022813688212925,0.38022813688212925,112402.0,601.06,680.0,12135.0,208.89
8.946153846153846,0.03337159507813625,0.033371595078137126,0.41846153846153844,6,0.0,0.0,True,True,True,True,6,1,272,1,0.375,0.375,126813.0,616.63,696.0,11286.0,210.86
8.584615384615384,-0.10484418099291175,-0.10484418099291189,0.39384615384615385,3,0.0,0.0,True,True,True,True,5,1,256,1,0.328125,0.328125,103069.0,583.68,656.0,11193.0,194.71
9.3,-0.09361902868329038,-0.09361902868329049,0.4230769230769231,6,0.0,0.0,True,True,True,True,6,1,275,1,0.4509090909090909,0.4509090909090909,128466.0,613.18,678.0,12192.0,218.21
8.829230769230769,-0.08213826140691809,-0.08213826140691828,0.4107692307692308,4,0.0,0.0,True,True,True,True,4,1,267,1,0.41198501872659177,0.41198501872659177,120651.0,605.9,674.0,11769.0,212.29
