average_node_connectivity,degree_assortativity_coefficient,degree_pearson_correlation_coefficient,density,edge_connectivity,flow_hierarchy,global_reaching_centrality,is_aperiodic,is_attracting_component,is_semiconnected,is_strongly_connected,node_connectivity,number_attracting_components,number_of_edges,number_strongly_connected_components,overall_reciprocity,reciprocity,s_metric,avg_transceivers,max_transceivers,sum_slots,avg_max_slot
5.28,-0.11227337451002456,-0.11227337451002367,0.3076923076923077,3,0.0,0.0,True,True,True,True,3,1,200,1,0.19,0.19,52770.0,361.31,378.0,6402.0,118.71
5.336923076923077,-0.04706486862008071,-0.04706486862008135,0.3076923076923077,2,0.0,0.0,True,True,True,True,3,1,200,1,0.26,0.26,53020.0,368.98,380.0,6606.0,112.61
5.0892307692307694,0.09435427841790889,0.09435427841791007,0.3076923076923077,2,0.0,0.0,True,True,True,True,2,1,200,1,0.24,0.24,51395.0,360.2,398.0,7371.0,128.68
5.12,0.01695739883736316,0.01695739883736361,0.3076923076923077,1,0.0,0.0,True,True,True,True,1,1,200,1,0.25,0.25,54061.0,379.97,394.0,6633.0,114.5
5.649230769230769,0.0346534888556612,0.034653488855662544,0.3076923076923077,3,0.0,0.0,True,True,True,True,3,1,200,1,0.26,0.26,52495.0,380.49,424.0,7521.0,131.46
5.229230769230769,-0.03559502201855337,-0.03559502201855261,0.3076923076923077,1,0.0,0.0,True,True,True,True,2,1,200,1,0.19,0.19,55565.0,361.12,392.0,6324.0,107.89
5.687692307692307,-0.11661341401955153,-0.11661341401954947,0.3076923076923077,3,0.0,0.0,True,True,True,True,4,1,200,1,0.28,0.28,51885.0,370.05,392.0,6591.0,115.11
5.596923076923077,-0.06328754894419139,-0.06328754894419075,0.3076923076923077,3,0.0,0.0,True,True,True,True,3,1,200,1,0.19,0.19,51930.0,373.93,400.0,7221.0,126.32
5.375384615384616,0.044470413422995174,0.04447041342299621,0.3076923076923077,2,0.0,0.0,True,True,True,True,2,1,200,1,0.24,0.24,52321.0,362.02,380.0,6522.0,110.46
5.256923076923077,0.07563766076601419,0.07563766076601539,0.3076923076923077,2,0.0,0.0,True,True,True,True,2,1,200,1,0.24,0.24,55390.0,373.76,404.0,6504.0,115.07
5.375384615384616,0.044470413422995174,0.04447041342299621,0.3076923076923077,2,0.0,0.0,True,True,True,True,2,1,200,1,0.24,0.24,52321.0,363.77,386.0,6609.0,112.14
