average_node_connectivity,degree_assortativity_coefficient,degree_pearson_correlation_coefficient,density,edge_connectivity,flow_hierarchy,global_reaching_centrality,is_aperiodic,is_attracting_component,is_semiconnected,is_strongly_connected,node_connectivity,number_attracting_components,number_of_edges,number_strongly_connected_components,overall_reciprocity,reciprocity,s_metric,avg_transceivers,max_transceivers,sum_slots,avg_max_slot,set_id,n_requests
1.9497354497354495,-0.2389967393886845,-0.2389967393886848,0.119047619047619,0,0.1444444444444445,0.0699588477366254,False,False,False,False,0,1,90,5,0.0888888888888888,0.0888888888888888,4787.0,186.76,194.0,3447.0,61.79,0,100
2.537037037037037,-0.028130830294859,-0.0281308302948588,0.1309523809523809,1,0.0,0.0,True,True,True,True,1,1,99,1,0.101010101010101,0.101010101010101,6194.0,198.0,198.0,3315.0,59.49,1,100
2.083333333333333,-0.0400028657383206,-0.0400028657383198,0.1243386243386243,0,0.127659574468085,0.0727023319615911,False,False,True,False,0,1,94,3,0.1063829787234042,0.1063829787234042,5419.0,193.04,198.0,3531.0,64.79,2,100
2.265873015873016,-0.087161569033373,-0.0871615690333721,0.1243386243386243,0,0.0638297872340425,0.0356652949245541,False,False,False,False,0,1,94,3,0.1702127659574468,0.1702127659574468,5198.0,197.89,204.0,3723.0,63.66,3,100
2.3253968253968256,0.075453897354973,0.0754538973549748,0.1283068783068783,0,0.0824742268041237,0.0727023319615913,False,False,True,False,0,1,97,3,0.1237113402061855,0.1237113402061855,5864.0,200.39,216.0,4269.0,84.4,4,100
2.4100529100529102,0.0512477000287713,0.0512477000287719,0.1283068783068783,0,0.0309278350515463,0.0727023319615913,False,False,True,False,1,1,97,3,0.1443298969072164,0.1443298969072164,5897.0,197.48,204.0,4104.0,79.02,5,100
2.183862433862434,-0.1324980830855803,-0.132498083085581,0.1296296296296296,0,0.1122448979591836,0.074074074074074,True,False,False,False,1,2,98,3,0.0408163265306122,0.0408163265306122,5910.0,198.14,200.0,3750.0,66.15,6,100
2.293650793650793,0.1070584165057403,0.107058416505741,0.1243386243386243,0,0.074468085106383,0.0727023319615913,False,False,True,False,0,1,94,3,0.1063829787234042,0.1063829787234042,5328.0,201.21,212.0,3795.0,72.95,7,100
2.4933862433862437,0.0633725065480276,0.0633725065480262,0.1243386243386243,0,0.0319148936170212,0.037037037037037,False,False,True,False,1,1,94,2,0.1914893617021276,0.1914893617021276,4903.0,191.99,196.0,3726.0,72.0,8,100
2.3386243386243386,0.0960046236333542,0.0960046236333554,0.1243386243386243,0,0.0851063829787234,0.037037037037037,False,False,True,False,0,1,94,2,0.1276595744680851,0.1276595744680851,5099.0,191.0,198.0,3606.0,65.05,9,100
2.4933862433862437,0.0633725065480276,0.0633725065480262,0.1243386243386243,0,0.0319148936170212,0.037037037037037,False,False,True,False,1,1,94,2,0.1914893617021276,0.1914893617021276,4903.0,192.22,198.0,3708.0,70.57,10,100
2.3386243386243386,0.0960046236333542,0.0960046236333554,0.1243386243386243,0,0.0851063829787234,0.037037037037037,False,False,True,False,0,1,94,2,0.1276595744680851,0.1276595744680851,5099.0,191.03,198.0,3606.0,63.77,11,100
2.3095238095238093,0.047931887847513,0.0479318878475128,0.123015873015873,1,0.0,0.0,True,True,True,True,1,1,93,1,0.043010752688172,0.043010752688172,5204.0,187.67,190.0,3525.0,62.38,12,100
2.242063492063492,-0.1058430129334814,-0.1058430129334816,0.1283068783068783,0,0.0721649484536082,0.1083676268861455,False,False,False,False,1,2,97,4,0.1649484536082474,0.1649484536082474,6139.0,197.51,204.0,3726.0,68.6,13,100
2.240740740740741,0.1073375142302773,0.1073375142302785,0.1243386243386243,0,0.074468085106383,0.074074074074074,True,False,False,False,0,2,94,3,0.1489361702127659,0.1489361702127659,5576.0,192.2,198.0,3381.0,64.28,14,100
2.10978835978836,0.0413104329506603,0.0413104329506615,0.1243386243386243,0,0.0851063829787234,0.0699588477366254,False,False,False,False,0,1,94,4,0.1489361702127659,0.1489361702127659,5508.0,192.0,196.0,3318.0,59.96,15,100
2.3174603174603177,-0.1534861909080638,-0.1534861909080627,0.123015873015873,0,0.021505376344086,0.037037037037037,False,False,True,False,1,1,93,2,0.1505376344086021,0.1505376344086021,5379.0,192.02,198.0,3627.0,64.72,16,100
2.371693121693122,0.0171408099730877,0.0171408099730872,0.1283068783068783,0,0.0927835051546391,0.1056241426611798,False,False,True,False,0,1,97,3,0.1443298969072164,0.1443298969072164,5616.0,195.73,198.0,3654.0,70.68,17,100
2.3505291005291005,-0.1067272951598402,-0.1067272951598405,0.1283068783068783,0,0.0412371134020618,0.037037037037037,False,False,True,False,0,1,97,2,0.1237113402061855,0.1237113402061855,5741.0,196.56,200.0,3447.0,64.5,18,100
2.153439153439153,-0.2665034340454063,-0.2665034340454066,0.123015873015873,0,0.1290322580645161,0.1083676268861455,False,False,False,False,0,2,93,4,0.1720430107526881,0.1720430107526881,5432.0,193.65,204.0,3801.0,69.8,19,100
2.484126984126984,-0.1688964207159894,-0.1688964207159897,0.1256613756613756,1,0.0,0.0,True,True,True,True,1,1,95,1,0.0842105263157894,0.0842105263157894,5315.0,196.49,204.0,4074.0,78.04,20,100
2.3584656084656084,0.0890306097027066,0.0890306097027081,0.1256613756613756,0,0.063157894736842,0.1069958847736626,False,False,True,False,1,1,95,4,0.1684210526315789,0.1684210526315789,5818.0,195.51,204.0,3591.0,67.06,21,100
2.374338624338624,-0.1217172923816527,-0.1217172923816525,0.1216931216931216,0,0.0326086956521739,0.037037037037037,True,False,True,False,1,1,92,2,0.0869565217391304,0.0869565217391304,5010.0,190.92,198.0,3702.0,66.4,22,100
2.191798941798942,0.0913526962094332,0.0913526962094327,0.123015873015873,0,0.1290322580645161,0.0727023319615913,False,False,True,False,0,1,93,3,0.1505376344086021,0.1505376344086021,4897.0,192.95,204.0,3708.0,68.71,23,100
2.1904761904761907,0.0293400214644666,0.0293400214644678,0.1177248677248677,0,0.0786516853932584,0.037037037037037,False,False,True,False,0,1,89,2,0.0674157303370786,0.0674157303370786,4283.0,185.87,196.0,3576.0,63.95,24,100
1.968253968253968,-0.1594037412080828,-0.1594037412080826,0.1137566137566137,0,0.0116279069767442,0.037037037037037,False,False,True,False,1,1,86,2,0.1395348837209302,0.1395348837209302,4520.0,183.16,200.0,3681.0,69.7,25,100
1.89021164021164,-0.0471111696176917,-0.0471111696176918,0.123015873015873,0,0.2473118279569892,0.1742112482853223,False,False,False,False,0,2,93,6,0.1935483870967742,0.1935483870967742,5359.0,190.22,196.0,3528.0,65.34,26,100
2.1521164021164023,-0.1113715689832464,-0.1113715689832438,0.1269841269841269,0,0.125,0.0699588477366254,False,False,False,False,0,1,96,4,0.1041666666666666,0.1041666666666666,5679.0,194.41,198.0,3615.0,68.16,27,100
2.412698412698413,0.0845111902181081,0.0845111902181077,0.1256613756613756,1,0.0,0.0,True,True,True,True,1,1,95,1,0.0210526315789473,0.0210526315789473,5297.0,194.84,200.0,3576.0,64.43,28,100
2.2711640211640214,0.0284243829750956,0.0284243829750958,0.1256613756613756,0,0.1157894736842105,0.0727023319615912,False,False,True,False,1,1,95,3,0.0842105263157894,0.0842105263157894,4951.0,194.8,198.0,3579.0,66.73,29,100
1.89021164021164,0.0667868445191086,0.06678684451911,0.1243386243386243,0,0.276595744680851,0.2002743484224965,False,False,False,False,0,2,94,8,0.1489361702127659,0.1489361702127659,5293.0,193.62,200.0,3522.0,61.35,30,100
2.369047619047619,0.1478319506211496,0.1478319506211497,0.1256613756613756,0,0.0842105263157895,0.0727023319615913,False,False,True,False,0,1,95,3,0.0631578947368421,0.0631578947368421,5198.0,197.0,206.0,3879.0,64.76,31,100
1.7605820105820107,-0.064427274935831,-0.0644272749358304,0.1084656084656084,0,0.0853658536585365,0.0727023319615912,True,False,True,False,1,1,82,3,0.1219512195121951,0.1219512195121951,3521.0,179.87,194.0,3489.0,63.0,32,100
2.4060846560846563,-0.0241099179569473,-0.0241099179569475,0.1283068783068783,0,0.0721649484536082,0.074074074074074,True,False,False,False,0,2,97,3,0.1649484536082474,0.1649484536082474,5645.0,199.22,210.0,3639.0,68.93,33,100
2.235449735449736,-0.1534690734063672,-0.1534690734063667,0.1269841269841269,0,0.0208333333333333,0.037037037037037,False,False,True,False,0,1,96,2,0.125,0.125,6362.0,196.66,204.0,3765.0,67.17,34,100
2.441798941798942,0.0495705142326186,0.0495705142326188,0.1216931216931216,0,0.0326086956521739,0.037037037037037,True,False,True,False,1,1,92,2,0.1521739130434782,0.1521739130434782,4795.0,191.55,200.0,3432.0,64.1,35,100
2.115079365079365,-0.0675081055290666,-0.0675081055290658,0.1256613756613756,0,0.0526315789473684,0.0727023319615913,False,False,True,False,1,1,95,3,0.1473684210526315,0.1473684210526315,5562.0,194.28,198.0,3672.0,63.22,36,100
2.1455026455026456,-0.1846080412060583,-0.1846080412060584,0.1203703703703703,0,0.0439560439560439,0.0727023319615913,False,False,True,False,1,1,91,3,0.0659340659340659,0.0659340659340659,4703.0,188.79,196.0,3780.0,67.1,37,100
2.382275132275132,0.0024012613266488,0.0024012613266499,0.123015873015873,1,0.0,0.0,True,True,True,True,1,1,93,1,0.086021505376344,0.086021505376344,5250.0,193.8,202.0,3684.0,63.0,38,100
2.3253968253968256,-0.0832395340630812,-0.0832395340630803,0.1243386243386243,0,0.0319148936170212,0.037037037037037,False,False,True,False,0,1,94,2,0.1276595744680851,0.1276595744680851,5324.0,193.78,202.0,3360.0,63.26,39,100
2.4933862433862437,0.0633725065480276,0.0633725065480262,0.1243386243386243,0,0.0319148936170212,0.037037037037037,False,False,True,False,1,1,94,2,0.1914893617021276,0.1914893617021276,4903.0,192.19,198.0,3654.0,70.5,40,100
2.3386243386243386,0.0960046236333542,0.0960046236333554,0.1243386243386243,0,0.0851063829787234,0.037037037037037,False,False,True,False,0,1,94,2,0.1276595744680851,0.1276595744680851,5099.0,190.7,196.0,3543.0,63.7,41,100
2.3095238095238093,0.047931887847513,0.0479318878475128,0.123015873015873,1,0.0,0.0,True,True,True,True,1,1,93,1,0.043010752688172,0.043010752688172,5204.0,187.66,190.0,3525.0,61.87,42,100
2.242063492063492,-0.1058430129334814,-0.1058430129334816,0.1283068783068783,0,0.0721649484536082,0.1083676268861455,False,False,False,False,1,2,97,4,0.1649484536082474,0.1649484536082474,6139.0,197.51,204.0,3744.0,69.91,43,100
2.240740740740741,0.1073375142302773,0.1073375142302785,0.1243386243386243,0,0.074468085106383,0.074074074074074,True,False,False,False,0,2,94,3,0.1489361702127659,0.1489361702127659,5576.0,192.19,198.0,3399.0,63.62,44,100
2.10978835978836,0.0413104329506603,0.0413104329506615,0.1243386243386243,0,0.0851063829787234,0.0699588477366254,False,False,False,False,0,1,94,4,0.1489361702127659,0.1489361702127659,5508.0,192.49,196.0,3372.0,60.07,45,100
2.3174603174603177,-0.1534861909080638,-0.1534861909080627,0.123015873015873,0,0.021505376344086,0.037037037037037,False,False,True,False,1,1,93,2,0.1505376344086021,0.1505376344086021,5379.0,190.87,196.0,3498.0,62.12,46,100
2.371693121693122,0.0171408099730877,0.0171408099730872,0.1283068783068783,0,0.0927835051546391,0.1056241426611798,False,False,True,False,0,1,97,3,0.1443298969072164,0.1443298969072164,5616.0,195.9,198.0,3636.0,64.83,47,100
2.3505291005291005,-0.1067272951598402,-0.1067272951598405,0.1283068783068783,0,0.0412371134020618,0.037037037037037,False,False,True,False,0,1,97,2,0.1237113402061855,0.1237113402061855,5741.0,196.55,200.0,3438.0,64.61,48,100
2.153439153439153,-0.2665034340454063,-0.2665034340454066,0.123015873015873,0,0.1290322580645161,0.1083676268861455,False,False,False,False,0,2,93,4,0.1720430107526881,0.1720430107526881,5432.0,192.84,202.0,3663.0,65.85,49,100
2.484126984126984,-0.1688964207159894,-0.1688964207159897,0.1256613756613756,1,0.0,0.0,True,True,True,True,1,1,95,1,0.0842105263157894,0.0842105263157894,5315.0,196.49,204.0,4164.0,77.6,50,100
2.3584656084656084,0.0890306097027066,0.0890306097027081,0.1256613756613756,0,0.063157894736842,0.1069958847736626,False,False,True,False,1,1,95,4,0.1684210526315789,0.1684210526315789,5818.0,195.51,204.0,3591.0,68.27,51,100
2.374338624338624,-0.1217172923816527,-0.1217172923816525,0.1216931216931216,0,0.0326086956521739,0.037037037037037,True,False,True,False,1,1,92,2,0.0869565217391304,0.0869565217391304,5010.0,190.93,198.0,3711.0,65.63,52,100
2.191798941798942,0.0913526962094332,0.0913526962094327,0.123015873015873,0,0.1290322580645161,0.0727023319615913,False,False,True,False,0,1,93,3,0.1505376344086021,0.1505376344086021,4897.0,192.95,204.0,3726.0,69.04,53,100
2.1904761904761907,0.0293400214644666,0.0293400214644678,0.1177248677248677,0,0.0786516853932584,0.037037037037037,False,False,True,False,0,1,89,2,0.0674157303370786,0.0674157303370786,4283.0,190.35,206.0,3891.0,71.2,54,100
1.968253968253968,-0.1594037412080828,-0.1594037412080826,0.1137566137566137,0,0.0116279069767442,0.037037037037037,False,False,True,False,1,1,86,2,0.1395348837209302,0.1395348837209302,4520.0,180.75,194.0,3498.0,66.26,55,100
1.89021164021164,-0.0471111696176917,-0.0471111696176918,0.123015873015873,0,0.2473118279569892,0.1742112482853223,False,False,False,False,0,2,93,6,0.1935483870967742,0.1935483870967742,5359.0,190.21,196.0,3519.0,65.78,56,100
2.1521164021164023,-0.1113715689832464,-0.1113715689832438,0.1269841269841269,0,0.125,0.0699588477366254,False,False,False,False,0,1,96,4,0.1041666666666666,0.1041666666666666,5679.0,194.41,198.0,3687.0,70.76,57,100
