average_node_connectivity,degree_assortativity_coefficient,degree_pearson_correlation_coefficient,density,edge_connectivity,flow_hierarchy,global_reaching_centrality,is_aperiodic,is_attracting_component,is_semiconnected,is_strongly_connected,node_connectivity,number_attracting_components,number_of_edges,number_strongly_connected_components,overall_reciprocity,reciprocity,s_metric,avg_transceivers,max_transceivers,sum_slots,avg_max_slot
9.183862433862434,0.03515942630978993,0.03515942630979011,0.5291005291005291,5,0.0,0.0,True,True,True,True,7,1,400,1,0.36,0.36,352091.0,690.73,748.0,13554.0,256.32
9.712962962962964,-0.018680810519815058,-0.018680810519813615,0.5291005291005291,5,0.0,0.0,True,True,True,True,7,1,400,1,0.295,0.295,340952.0,698.76,738.0,13278.0,251.45
9.617724867724867,0.02009525542650081,0.020095255426501504,0.5291005291005291,4,0.0,0.0,True,True,True,True,4,1,400,1,0.34,0.34,350196.0,693.67,774.0,13860.0,264.73
9.408730158730158,0.06551114530983487,0.06551114530983644,0.5291005291005291,6,0.0,0.0,True,True,True,True,6,1,400,1,0.35,0.35,345162.0,729.37,748.0,13650.0,260.74
9.904761904761905,-0.0710877396173654,-0.07108773961736346,0.5291005291005291,6,0.0,0.0,True,True,True,True,6,1,400,1,0.37,0.37,353879.0,709.21,806.0,14925.0,293.27
10.097883597883598,0.03883055150062346,0.038830551500627156,0.5291005291005291,7,0.0,0.0,True,True,True,True,7,1,400,1,0.42,0.42,349027.0,696.33,772.0,14145.0,281.52
9.365079365079366,0.021815435407267443,0.021815435407268772,0.5291005291005291,6,0.0,0.0,True,True,True,True,6,1,400,1,0.29,0.29,345343.0,674.48,760.0,13944.0,273.59
9.353174603174603,0.0229467651694124,0.022946765169413984,0.5291005291005291,5,0.0,0.0,True,True,True,True,5,1,400,1,0.325,0.325,350223.0,710.13,792.0,13992.0,278.27
9.817460317460318,0.06236651755710912,0.062366517557111915,0.5291005291005291,6,0.0,0.0,True,True,True,True,6,1,400,1,0.345,0.345,340085.0,697.11,770.0,13698.0,261.99
9.527777777777779,0.03443175926859257,0.034431759268593445,0.5291005291005291,6,0.0,0.0,True,True,True,True,6,1,400,1,0.315,0.315,350241.0,690.31,756.0,14142.0,271.46
9.817460317460318,0.06236651755710912,0.062366517557111915,0.5291005291005291,6,0.0,0.0,True,True,True,True,6,1,400,1,0.345,0.345,340085.0,697.32,772.0,13716.0,262.79
9.527777777777779,0.03443175926859257,0.034431759268593445,0.5291005291005291,6,0.0,0.0,True,True,True,True,6,1,400,1,0.315,0.315,350241.0,689.85,762.0,14121.0,269.67
9.277777777777779,0.058810972556126793,0.058810972556130964,0.5291005291005291,3,0.0,0.0,True,True,True,True,3,1,400,1,0.3,0.3,346191.0,666.48,730.0,13284.0,243.84
9.98015873015873,0.023961326503206305,0.023961326503209042,0.5291005291005291,8,0.0,0.0,True,True,True,True,8,1,400,1,0.35,0.35,351718.0,704.41,768.0,14031.0,281.74
9.503968253968255,-0.04561373628328302,-0.04561373628328162,0.5291005291005291,6,0.0,0.0,True,True,True,True,6,1,400,1,0.3,0.3,351721.0,683.58,736.0,13248.0,256.83
9.604497354497354,0.009494547680010996,0.009494547680012295,0.5291005291005291,6,0.0,0.0,True,True,True,True,6,1,400,1,0.34,0.34,347514.0,684.88,742.0,13020.0,256.83
9.890211640211641,0.03267551603734139,0.03267551603734322,0.5291005291005291,6,0.0,0.0,True,True,True,True,6,1,400,1,0.36,0.36,346563.0,687.5,748.0,13410.0,270.84
9.66005291005291,-0.06791807625632049,-0.06791807625631782,0.5291005291005291,6,0.0,0.0,True,True,True,True,6,1,400,1,0.345,0.345,352373.0,684.32,742.0,14235.0,281.67
9.764550264550264,0.02441558893055774,0.02441558893055903,0.5291005291005291,6,0.0,0.0,True,True,True,True,6,1,400,1,0.315,0.315,356037.0,697.14,766.0,13386.0,255.51
10.096560846560847,0.004750400551300095,0.004750400551302037,0.5291005291005291,7,0.0,0.0,True,True,True,True,7,1,400,1,0.405,0.405,351091.0,704.94,770.0,13920.0,275.01
10.16931216931217,0.03794789969029816,0.0379478996902988,0.5291005291005291,7,0.0,0.0,True,True,True,True,7,1,400,1,0.325,0.325,335536.0,696.36,758.0,13572.0,281.78
10.119047619047619,0.06270638608268887,0.06270638608268905,0.5291005291005291,6,0.0,0.0,True,True,True,True,6,1,400,1,0.37,0.37,342950.0,700.03,772.0,14103.0,271.54
9.417989417989418,0.002824722380889437,0.002824722380890196,0.5291005291005291,5,0.0,0.0,True,True,True,True,5,1,400,1,0.32,0.32,353625.0,676.93,754.0,13413.0,257.16
9.477513227513228,0.04798321712710006,0.04798321712710098,0.5291005291005291,5,0.0,0.0,True,True,True,True,5,1,400,1,0.34,0.34,348844.0,688.47,756.0,13782.0,260.3
9.693121693121693,0.0008870396881793883,0.000887039688182524,0.5291005291005291,6,0.0,0.0,True,True,True,True,6,1,400,1,0.345,0.345,342450.0,686.5,752.0,13659.0,276.8
