average_node_connectivity,degree_assortativity_coefficient,degree_pearson_correlation_coefficient,density,edge_connectivity,flow_hierarchy,global_reaching_centrality,is_aperiodic,is_attracting_component,is_semiconnected,is_strongly_connected,node_connectivity,number_attracting_components,number_of_edges,number_strongly_connected_components,overall_reciprocity,reciprocity,s_metric,avg_transceivers,max_transceivers,sum_slots,avg_max_slot
6.58994708994709,-0.038916271516093455,-0.03891627151609366,0.3637566137566138,3,0.0,0.0,True,True,True,True,3,1,275,1,0.24727272727272728,0.24727272727272728,116510.0,490.39,526.0,9384.0,175.79
7.064814814814815,0.026237040294991777,0.026237040294992377,0.3637566137566138,3,0.0,0.0,True,True,True,True,5,1,275,1,0.23272727272727273,0.23272727272727273,111613.0,498.93,522.0,9069.0,167.38
6.878306878306878,0.05179811533057058,0.05179811533057058,0.3637566137566138,3,0.0,0.0,True,True,True,True,3,1,275,1,0.2545454545454545,0.2545454545454545,113650.0,491.99,536.0,9414.0,190.98
6.829365079365079,0.01525825871088274,0.015258258710882208,0.3637566137566138,4,0.0,0.0,True,True,True,True,4,1,275,1,0.32727272727272727,0.32727272727272727,113748.0,517.73,534.0,9651.0,180.0
7.388888888888889,-0.011124618573858441,-0.011124618573858,0.3637566137566138,4,0.0,0.0,True,True,True,True,4,1,275,1,0.31272727272727274,0.31272727272727274,115127.0,516.45,570.0,10395.0,211.5
7.046296296296297,0.02070785508263475,0.020707855082634397,0.3637566137566138,1,0.0,0.0,True,True,True,True,1,1,275,1,0.3709090909090909,0.3709090909090909,120661.0,504.19,546.0,10221.0,218.09
6.6494708994708995,0.018551869994790367,0.018551869994791477,0.3637566137566138,2,0.0,0.0,True,True,True,True,3,1,275,1,0.22545454545454546,0.22545454545454546,115122.0,485.71,524.0,9816.0,195.33
6.751322751322752,0.05439458617937091,0.05439458617937135,0.3637566137566138,2,0.0,0.0,True,True,True,True,2,1,275,1,0.27636363636363637,0.27636363636363637,120192.0,516.01,564.0,9933.0,186.37
7.25,-0.012846765325022706,-0.012846765325025083,0.3637566137566138,3,0.0,0.0,True,True,True,True,5,1,275,1,0.26181818181818184,0.26181818181818184,113492.0,507.39,540.0,9714.0,190.06
6.46957671957672,0.0164984006048785,0.01649840060487871,0.3637566137566138,3,0.0,0.0,True,True,True,True,4,1,275,1,0.2690909090909091,0.2690909090909091,119421.0,488.49,528.0,9951.0,194.49
