n_requests,avg_transceivers_node_0,avg_transceivers_node_1,avg_transceivers_node_2,avg_transceivers_node_3,avg_transceivers_node_4,avg_transceivers_node_5,avg_transceivers_node_6,avg_transceivers_node_7,avg_transceivers_node_8,avg_transceivers_node_9,avg_transceivers_node_10,avg_transceivers_node_11,avg_transceivers_node_12,avg_transceivers_node_13,avg_transceivers_node_14,avg_transceivers_node_15,avg_transceivers_node_16,avg_transceivers_node_17,avg_transceivers_node_18,avg_transceivers_node_19,avg_transceivers_node_20,avg_transceivers_node_21,avg_transceivers_node_22,avg_transceivers_node_23,avg_transceivers_node_24,avg_transceivers_node_25,avg_transceivers_node_26,avg_transceivers_node_27,max_transceivers_node_0,max_transceivers_node_1,max_transceivers_node_2,max_transceivers_node_3,max_transceivers_node_4,max_transceivers_node_5,max_transceivers_node_6,max_transceivers_node_7,max_transceivers_node_8,max_transceivers_node_9,max_transceivers_node_10,max_transceivers_node_11,max_transceivers_node_12,max_transceivers_node_13,max_transceivers_node_14,max_transceivers_node_15,max_transceivers_node_16,max_transceivers_node_17,max_transceivers_node_18,max_transceivers_node_19,max_transceivers_node_20,max_transceivers_node_21,max_transceivers_node_22,max_transceivers_node_23,max_transceivers_node_24,max_transceivers_node_25,max_transceivers_node_26,max_transceivers_node_27,avg_transceivers,max_transceivers,sum_slots,avg_max_slot
100,5.0,10.456445993031359,9.470383275261325,10.0,7.0,3.0,5.0,7.470383275261324,12.0,5.0,10.0,4.0,12.456445993031359,6.83623693379791,7.0,9.83623693379791,6.0,4.0,7.0,9.0,6.0,6.0,5.0,3.0,4.0,5.0,10.0,6.0,5,11,10,10,7,3,5,8,12,5,10,4,13,9,7,12,6,4,7,9,6,6,5,3,4,5,10,6,194.41,198,3687,70.76
125,9.0,11.456445993031359,13.470383275261325,10.0,10.0,3.0,9.0,7.470383275261324,13.0,5.0,11.0,4.0,16.45644599303136,10.83623693379791,9.0,9.83623693379791,6.0,5.0,7.0,10.0,7.0,11.0,6.0,7.0,6.0,5.0,11.0,8.0,9,12,14,10,10,3,9,8,13,5,11,4,17,13,9,12,6,5,7,10,7,11,6,7,6,5,11,8,240.41,244,4476,84.77
150,10.0,11.456445993031359,14.45993031358885,12.696864111498257,10.0,5.0,11.0,10.45993031358885,15.536585365853659,5.0,14.616724738675957,4.616724738675958,20.121951219512194,10.83623693379791,10.0,11.83623693379791,7.0,7.0,8.0,12.536585365853659,7.665505226480836,12.0,7.0,9.0,6.0,9.0,12.0,9.696864111498257,10,12,15,13,10,5,11,11,16,5,15,5,21,13,10,14,7,7,8,13,8,12,7,9,6,9,12,10,283.42,290,5358,103.28
175,13.365853658536585,11.961672473867596,19.34494773519164,13.696864111498257,10.909407665505226,11.303135888501743,13.0,13.470383275261325,15.536585365853659,5.442508710801394,16.78048780487805,8.616724738675957,22.121951219512194,11.83623693379791,12.853658536585366,13.83623693379791,7.0,7.0,8.0,13.536585365853659,10.132404181184668,16.198606271777003,8.0,10.86411149825784,7.0,10.0,14.369337979094077,12.386759581881533,14,13,21,14,12,14,13,14,16,6,20,9,23,14,14,16,7,7,8,14,11,18,8,12,7,10,15,16,329.56,342,6177,121.13
200,15.874564459930314,13.961672473867596,19.99651567944251,15.425087108013937,14.954703832752614,13.303135888501743,15.0,14.470383275261325,16.818815331010452,6.662020905923345,16.693379790940767,9.616724738675957,24.121951219512194,14.662020905923345,13.0,14.83623693379791,8.0,7.0,8.442508710801393,14.536585365853659,11.132404181184668,16.912891986062718,12.0,13.278745644599303,8.0,12.285714285714286,16.738675958188153,11.989547038327526,17,15,23,17,18,16,15,15,18,7,20,10,25,19,13,17,8,7,9,15,12,18,12,14,8,13,18,15,371.39,390,6879,132.8
225,16.874564459930312,15.961672473867596,19.99651567944251,15.139372822299652,15.958188153310104,15.303135888501743,16.0,15.470383275261325,18.818815331010452,8.662020905923345,18.67595818815331,11.616724738675957,25.121951219512194,14.662020905923345,18.0,14.83623693379791,9.0,11.0,11.442508710801393,14.536585365853659,12.132404181184668,21.745644599303137,14.0,14.285714285714286,11.285714285714286,13.0,17.738675958188153,14.066202090592334,18,17,23,16,19,18,16,16,20,9,22,12,26,19,18,17,9,11,12,15,13,25,14,15,12,13,19,20,415.91,436,7827,158.3
250,20.738675958188153,15.961672473867596,20.390243902439025,17.752613240418118,15.362369337979095,15.303135888501743,18.285714285714285,18.317073170731707,18.818815331010452,10.536585365853659,20.613240418118465,13.08362369337979,27.121951219512194,15.662020905923345,18.285714285714285,18.45993031358885,15.881533101045296,11.0,13.404181184668989,17.89547038327526,16.13240418118467,24.285714285714285,15.0,15.285714285714286,11.285714285714286,13.404181184668989,17.926829268292682,17.54006968641115,24,17,24,19,18,18,19,21,20,11,25,14,28,20,19,22,17,11,16,20,17,29,15,16,12,14,19,27,458.98,488,8892,181.61
275,21.550522648083625,17.961672473867594,21.923344947735192,18.752613240418118,15.362369337979095,16.303135888501743,22.578397212543553,22.644599303135887,20.738675958188153,11.536585365853659,19.550522648083625,15.104529616724738,28.665505226480835,16.662020905923345,20.031358885017422,19.627177700348433,17.609756097560975,12.0,15.404181184668989,21.226480836236934,17.71080139372822,26.864111498257838,19.0,15.285714285714286,12.86411149825784,16.505226480836235,18.21951219512195,17.982578397212542,23,19,25,20,18,19,24,28,24,12,21,16,30,21,21,24,20,12,18,26,19,31,19,16,14,19,20,27,504.14,538,9573,201.18
300,25.041811846689896,20.320557491289197,23.968641114982578,18.752613240418118,18.278745644599304,20.303135888501743,23.285714285714285,22.45296167247387,19.818815331010452,12.121951219512194,20.8397212543554,14.930313588850174,30.355400696864113,17.473867595818817,21.393728222996515,19.885017421602786,17.881533101045296,14.588850174216027,15.404181184668989,24.770034843205575,19.71080139372822,28.418118466898953,20.0,17.282229965156795,13.519163763066203,17.519163763066203,19.578397212543553,18.982578397212542,28,22,29,20,22,23,24,27,21,13,23,16,34,23,23,23,19,16,18,29,21,33,20,18,15,20,22,28,540.22,582,10365,213.37
325,28.041811846689896,24.020905923344948,22.627177700348433,19.48780487804878,22.81533101045296,22.303135888501743,23.578397212543553,24.912891986062718,23.442508710801395,13.121951219512194,23.56445993031359,15.390243902439025,30.54355400696864,19.114982578397214,23.494773519163765,20.442508710801395,20.860627177700348,19.121951219512194,16.40418118466899,27.770034843205575,19.71080139372822,27.83275261324042,22.365853658536587,19.285714285714285,14.519163763066203,18.519163763066203,20.581881533101047,21.581881533101047,31,27,25,22,26,25,25,30,27,14,27,16,34,24,27,25,23,21,19,32,21,31,23,21,16,21,23,32,581.28,624,11295,221.38
350,29.337979094076655,26.59581881533101,25.613240418118465,18.735191637630663,24.81533101045296,24.303135888501743,23.285714285714285,25.574912891986063,25.125435540069688,13.121951219512194,24.975609756097562,17.306620209059233,31.738675958188153,19.473867595818817,23.885017421602786,21.885017421602786,20.979094076655052,21.700348432055748,17.40418118466899,28.829268292682926,20.993031358885016,30.72473867595819,23.278745644599304,20.285714285714285,16.519163763066203,20.519163763066203,19.9198606271777,22.801393728222997,33,31,29,20,28,27,24,31,28,14,29,19,36,25,27,25,22,24,20,34,23,35,24,22,18,23,21,32,619.16,672,12216,239.16
375,31.013937282229964,25.48432055749129,26.613240418118465,19.735191637630663,25.860627177700348,27.480836236933797,25.529616724738677,26.101045296167246,31.017421602787458,17.177700348432055,26.982578397212542,18.37979094076655,32.707317073170735,22.13240418118467,27.637630662020907,22.4390243902439,20.0,23.233449477351915,18.937282229965156,30.21254355400697,22.993031358885016,35.96864111498258,23.822299651567945,22.65156794425087,16.578397212543553,24.045296167247386,19.9198606271777,22.801393728222997,35,29,30,21,30,31,29,31,37,19,31,20,35,28,32,27,20,26,22,35,25,41,25,26,17,27,21,32,667.69,730,13239,256.24
