n_requests,avg_transceivers_node_0,avg_transceivers_node_1,avg_transceivers_node_2,avg_transceivers_node_3,avg_transceivers_node_4,avg_transceivers_node_5,avg_transceivers_node_6,avg_transceivers_node_7,avg_transceivers_node_8,avg_transceivers_node_9,avg_transceivers_node_10,avg_transceivers_node_11,avg_transceivers_node_12,avg_transceivers_node_13,avg_transceivers_node_14,avg_transceivers_node_15,avg_transceivers_node_16,avg_transceivers_node_17,avg_transceivers_node_18,avg_transceivers_node_19,avg_transceivers_node_20,avg_transceivers_node_21,avg_transceivers_node_22,avg_transceivers_node_23,avg_transceivers_node_24,avg_transceivers_node_25,avg_transceivers_node_26,avg_transceivers_node_27,max_transceivers_node_0,max_transceivers_node_1,max_transceivers_node_2,max_transceivers_node_3,max_transceivers_node_4,max_transceivers_node_5,max_transceivers_node_6,max_transceivers_node_7,max_transceivers_node_8,max_transceivers_node_9,max_transceivers_node_10,max_transceivers_node_11,max_transceivers_node_12,max_transceivers_node_13,max_transceivers_node_14,max_transceivers_node_15,max_transceivers_node_16,max_transceivers_node_17,max_transceivers_node_18,max_transceivers_node_19,max_transceivers_node_20,max_transceivers_node_21,max_transceivers_node_22,max_transceivers_node_23,max_transceivers_node_24,max_transceivers_node_25,max_transceivers_node_26,max_transceivers_node_27,avg_transceivers,max_transceivers,sum_slots,avg_max_slot
100,4.0,4.0,12.578397212543553,7.0,9.0,6.0,7.0,5.0,6.0,6.0,10.581881533101045,7.0,6.0,5.0,6.0,6.0,12.0,8.0,4.0,9.526132404181185,5.0,6.0,9.365853658536585,8.0,9.0,10.0,5.0,4.0,4,4,14,7,9,6,7,5,6,6,11,7,6,5,6,6,12,8,4,12,5,6,10,8,9,10,5,4,195.9,198,3636,64.83
125,7.0,6.45993031358885,12.0,8.010452961672474,12.414634146341463,6.0,7.0,6.0,8.0,6.0,12.0,10.0,10.0,7.0,6.0,6.0,15.0,9.0,4.0,11.463414634146341,7.0,6.515679442508711,12.463414634146341,11.554006968641115,10.515679442508711,12.0,6.411149825783972,5.0,7,7,12,9,14,6,7,6,8,6,12,10,10,7,6,6,15,9,4,12,7,7,13,12,11,12,8,5,238.94,244,4524,84.48
150,7.0,7.45993031358885,13.574912891986063,9.292682926829269,13.860627177700348,8.463414634146341,8.0,7.0,8.0,6.0,14.0,12.0,12.0,9.0,7.456445993031359,8.0,16.0,10.445993031358885,5.0,15.29965156794425,8.0,9.090592334494774,14.926829268292684,14.010452961672474,13.515679442508711,13.282229965156795,6.411149825783972,7.83623693379791,7,8,14,11,16,9,8,7,8,6,14,12,12,9,8,8,16,11,5,18,8,10,16,15,14,14,8,10,281.94,294,5220,95.05
175,8.0,8.45993031358885,14.139372822299652,14.045296167247386,15.825783972125436,9.818815331010454,10.0,9.0,8.0,6.0,16.45644599303136,17.369337979094077,14.564459930313589,9.0,8.456445993031359,9.0,18.0,14.289198606271777,6.0,17.041811846689896,10.0,9.369337979094077,17.912891986062718,16.5993031358885,13.515679442508711,14.282229965156795,7.693379790940766,9.83623693379791,8,9,16,17,18,11,10,9,8,6,17,18,16,9,9,9,18,17,6,21,10,11,19,21,14,15,12,12,321.51,334,6192,116.89
200,12.0,11.383275261324043,14.853658536585366,14.668989547038327,16.418118466898953,11.818815331010454,13.449477351916377,10.0,8.0,6.0,18.013937282229964,17.369337979094077,16.0,12.83623693379791,8.456445993031359,11.0,18.0,15.445993031358885,6.0,18.205574912891986,12.421602787456447,15.35540069686411,18.37979094076655,17.010452961672474,16.526132404181183,17.585365853658537,7.526132404181185,10.83623693379791,12,12,16,17,19,13,14,10,8,6,20,18,16,15,9,11,18,16,6,22,15,17,20,18,19,18,8,13,369.55,386,7260,135.07
225,12.0,11.449477351916377,16.853658536585368,16.010452961672474,17.43554006968641,13.501742160278745,17.191637630662022,11.0,10.0,8.0,19.372822299651567,17.0,18.0,13.337979094076655,9.456445993031359,13.0,19.0,16.0,8.0,19.209059233449477,15.421602787456447,16.369337979094077,18.926829268292682,17.010452961672474,19.64808362369338,21.585365853658537,8.456445993031359,11.83623693379791,12,12,18,17,20,14,19,11,10,8,21,17,18,16,10,13,19,16,8,23,18,18,20,18,21,22,9,14,411.37,430,7962,145.61
250,13.0,13.665505226480835,17.853658536585368,19.0,18.825783972125436,15.059233449477352,16.909407665505228,14.0,12.0801393728223,10.0,22.045296167247386,17.0,20.585365853658537,18.571428571428573,12.543554006968641,14.146341463414634,19.0,16.0,8.0,21.069686411149824,17.777003484320556,18.407665505226483,19.78048780487805,20.4006968641115,20.18466898954704,23.153310104529616,10.456445993031359,11.83623693379791,13,15,19,25,23,17,18,14,14,10,25,17,23,24,13,17,19,16,8,27,21,22,21,24,21,25,11,14,450.45,480,8964,172.65
275,14.289198606271777,14.735191637630662,18.853658536585368,17.28919860627178,18.43554006968641,16.038327526132406,17.191637630662022,15.0,12.0,12.0,21.35191637630662,20.0,21.818815331010452,17.961672473867594,15.456445993031359,16.285714285714285,22.28919860627178,18.313588850174217,10.0,23.21951219512195,20.73170731707317,17.686411149825783,22.247386759581882,21.37979094076655,23.43205574912892,24.860627177700348,13.456445993031359,13.83623693379791,15,16,20,19,21,18,19,15,12,12,24,20,23,22,16,17,23,21,10,29,26,20,24,25,25,26,14,16,492.94,524,9798,185.27
300,15.289198606271777,15.735191637630662,19.853658536585368,17.0801393728223,19.43554006968641,17.0,18.89198606271777,16.0,12.686411149825783,15.372822299651569,23.313588850174217,22.0,24.372822299651567,17.285714285714285,17.99651567944251,18.29616724738676,24.738675958188153,18.313588850174217,11.70034843205575,26.0,22.21951219512195,18.261324041811847,23.912891986062718,23.871080139372822,24.81533101045296,24.581881533101047,15.9198606271777,18.554006968641115,16,17,21,18,22,17,21,16,14,16,29,22,26,20,19,21,26,21,12,33,29,21,26,27,27,25,18,22,534.89,574,10896,203.71
325,16.86759581881533,17.644599303135887,20.853658536585368,19.442508710801395,21.069686411149824,19.048780487804876,17.912891986062718,20.16376306620209,15.543554006968641,15.0,22.871080139372822,25.735191637630663,25.818815331010452,20.10452961672474,18.99651567944251,19.519163763066203,26.745644599303137,21.33101045296167,14.578397212543553,29.606271777003485,22.641114982578397,18.982578397212542,23.912891986062718,24.982578397212542,26.39721254355401,27.61672473867596,16.9198606271777,18.501742160278745,18,19,22,23,27,22,19,22,18,15,26,28,27,24,20,22,28,25,15,39,31,23,26,30,29,30,19,21,570.52,616,11571,229.5
