n_requests,avg_transceivers_node_0,avg_transceivers_node_1,avg_transceivers_node_2,avg_transceivers_node_3,avg_transceivers_node_4,avg_transceivers_node_5,avg_transceivers_node_6,avg_transceivers_node_7,avg_transceivers_node_8,avg_transceivers_node_9,avg_transceivers_node_10,avg_transceivers_node_11,avg_transceivers_node_12,avg_transceivers_node_13,avg_transceivers_node_14,avg_transceivers_node_15,avg_transceivers_node_16,avg_transceivers_node_17,avg_transceivers_node_18,avg_transceivers_node_19,avg_transceivers_node_20,avg_transceivers_node_21,avg_transceivers_node_22,avg_transceivers_node_23,avg_transceivers_node_24,avg_transceivers_node_25,max_transceivers_node_0,max_transceivers_node_1,max_transceivers_node_2,max_transceivers_node_3,max_transceivers_node_4,max_transceivers_node_5,max_transceivers_node_6,max_transceivers_node_7,max_transceivers_node_8,max_transceivers_node_9,max_transceivers_node_10,max_transceivers_node_11,max_transceivers_node_12,max_transceivers_node_13,max_transceivers_node_14,max_transceivers_node_15,max_transceivers_node_16,max_transceivers_node_17,max_transceivers_node_18,max_transceivers_node_19,max_transceivers_node_20,max_transceivers_node_21,max_transceivers_node_22,max_transceivers_node_23,max_transceivers_node_24,max_transceivers_node_25,avg_transceivers,max_transceivers,sum_slots,avg_max_slot
100,13.745644599303136,9.588850174216027,6.0,5.0,4.620209059233449,10.0,7.0,8.588850174216027,6.912891986062718,5.0,11.087108013937282,5.0,8.0,4.0,7.0,11.735191637630662,11.742160278745645,11.0,10.069686411149826,10.62020905923345,6.0,9.0,5.585365853658536,7.087108013937282,7.0,9.167247386759582,17,11,6,5,5,10,7,10,8,5,13,5,8,4,7,15,13,11,11,11,6,9,7,9,7,12,196.14,204,3522,60.71
125,15.745644599303136,11.08362369337979,7.83623693379791,7.456445993031359,12.75609756097561,11.452961672473867,9.0,9.588850174216027,6.912891986062718,7.0,12.554006968641115,6.0,10.0,7.0,10.794425087108014,11.735191637630662,12.742160278745645,12.0,13.519163763066203,13.62020905923345,7.40418118466899,9.0,5.585365853658536,8.554006968641115,7.0,14.696864111498257,19,13,10,8,16,12,9,11,8,7,15,6,10,7,13,15,14,12,15,14,8,9,7,11,7,22,240.48,254,4365,76.32
150,19.442508710801395,12.912891986062718,10.83623693379791,8.456445993031359,15.369337979094077,12.285714285714286,12.0,11.588850174216027,7.0,8.0,13.554006968641115,6.0,11.0,9.0,12.24390243902439,13.059233449477352,13.759581881533101,16.254355400696863,14.128919860627178,15.926829268292684,10.268292682926829,9.557491289198607,9.529616724738675,10.554006968641115,7.0,15.81184668989547,24,15,13,9,20,13,12,13,7,8,16,6,11,9,15,17,16,18,17,17,12,10,10,13,7,22,284.62,302,5316,101.25
175,21.700348432055748,14.588850174216027,11.83623693379791,10.979094076655052,16.59581881533101,17.18815331010453,14.32404181184669,11.588850174216027,8.0,9.0,14.554006968641115,7.0,12.439024390243903,9.0,13.24390243902439,13.933797909407666,13.031358885017422,17.557491289198605,18.18466898954704,17.45993031358885,10.404181184668989,11.139372822299652,9.529616724738675,14.013937282229966,7.0,18.202090592334496,26,16,14,13,20,19,16,13,8,9,17,7,14,9,16,18,14,18,21,18,11,12,10,17,7,25,322.61,344,5940,110.0
200,22.700348432055748,14.588850174216027,14.292682926829269,12.745644599303136,19.254355400696863,19.29616724738676,19.571428571428573,12.588850174216027,9.0,11.0,14.554006968641115,7.0,11.466898954703833,9.0,12.456445993031359,13.735191637630662,14.031358885017422,18.557491289198605,21.54703832752613,20.45993031358885,14.125435540069686,13.874564459930314,9.529616724738675,18.226480836236934,11.0,20.470383275261323,27,16,17,15,24,23,21,14,9,11,17,7,12,9,13,17,15,19,25,21,15,16,10,24,11,28,363.47,388,6699,120.57
225,23.700348432055748,15.874564459930314,15.717770034843205,14.0,20.27526132404181,18.38327526132404,20.310104529616726,12.588850174216027,12.543554006968641,16.825783972125436,16.257839721254356,7.0,13.32404181184669,10.0,12.456445993031359,16.21951219512195,15.031358885017422,19.010452961672474,22.65156794425087,21.45993031358885,14.125435540069686,14.846689895470384,13.059233449477352,16.37630662020906,14.0,22.881533101045296,28,18,19,15,23,21,23,14,13,19,20,7,15,10,13,21,16,20,25,22,15,16,14,20,14,31,402.79,436,7626,145.25
250,28.696864111498257,15.874564459930314,16.717770034843205,19.45993031358885,24.11149825783972,19.89198606271777,26.142857142857142,14.167247386759582,12.996515679442508,16.825783972125436,17.83623693379791,8.0,14.40766550522648,16.78745644599303,12.456445993031359,18.49128919860627,19.031358885017422,19.010452961672474,23.874564459930312,21.94773519163763,15.142857142857142,15.846689895470384,14.529616724738675,16.45993031358885,14.0,24.972125435540068,36,18,20,21,29,21,31,16,14,19,22,8,16,19,13,24,20,20,28,23,17,17,15,20,14,33,443.89,482,8385,159.79
275,32.01393728222997,17.693379790940767,19.717770034843205,21.449477351916375,25.56445993031359,20.369337979094077,26.142857142857142,15.703832752613241,13.996515679442508,17.303135888501743,20.299651567944252,8.0,15.337979094076655,18.78745644599303,14.54006968641115,20.975609756097562,22.031358885017422,20.010452961672474,27.65156794425087,24.89547038327526,16.679442508710803,17.846689895470384,17.529616724738677,16.390243902439025,16.0,26.881533101045296,42,21,23,23,31,22,31,18,15,20,25,8,17,21,16,28,23,21,33,28,19,19,18,20,16,36,486.49,534,9516,181.68
300,31.54355400696864,23.386759581881535,21.18466898954704,23.45993031358885,25.574912891986063,21.177700348432055,25.024390243902438,17.70383275261324,14.543554006968641,20.062717770034844,20.299651567944252,9.0,18.205574912891986,20.78745644599303,17.494773519163765,22.933797909407666,24.306620209059233,24.54355400696864,28.26829268292683,24.59581881533101,19.797909407665504,19.264808362369337,18.871080139372822,19.191637630662022,18.393728222996515,28.878048780487806,41,29,25,25,31,23,29,20,15,23,25,9,21,24,19,30,28,26,32,26,23,20,21,24,20,39,527.55,580,10296,193.25
325,34.67595818815331,24.641114982578397,27.066202090592334,27.045296167247386,28.40418118466899,21.177700348432055,25.930313588850176,18.70383275261324,15.543554006968641,21.65505226480836,21.299651567944252,10.0,20.066202090592334,26.034843205574912,19.494773519163765,25.679442508710803,26.40418118466899,28.257839721254356,31.076655052264808,25.658536585365855,20.16724738675958,19.264808362369337,19.365853658536587,22.156794425087107,19.930313588850176,29.372822299651567,47,30,35,30,35,23,31,21,16,24,26,10,23,31,21,34,30,32,35,29,24,20,22,29,21,39,571.01,630,11505,218.93
