n_requests,avg_transceivers_node_0,avg_transceivers_node_1,avg_transceivers_node_2,avg_transceivers_node_3,avg_transceivers_node_4,avg_transceivers_node_5,avg_transceivers_node_6,avg_transceivers_node_7,avg_transceivers_node_8,avg_transceivers_node_9,avg_transceivers_node_10,avg_transceivers_node_11,avg_transceivers_node_12,avg_transceivers_node_13,avg_transceivers_node_14,avg_transceivers_node_15,avg_transceivers_node_16,avg_transceivers_node_17,avg_transceivers_node_18,avg_transceivers_node_19,avg_transceivers_node_20,avg_transceivers_node_21,avg_transceivers_node_22,avg_transceivers_node_23,avg_transceivers_node_24,avg_transceivers_node_25,max_transceivers_node_0,max_transceivers_node_1,max_transceivers_node_2,max_transceivers_node_3,max_transceivers_node_4,max_transceivers_node_5,max_transceivers_node_6,max_transceivers_node_7,max_transceivers_node_8,max_transceivers_node_9,max_transceivers_node_10,max_transceivers_node_11,max_transceivers_node_12,max_transceivers_node_13,max_transceivers_node_14,max_transceivers_node_15,max_transceivers_node_16,max_transceivers_node_17,max_transceivers_node_18,max_transceivers_node_19,max_transceivers_node_20,max_transceivers_node_21,max_transceivers_node_22,max_transceivers_node_23,max_transceivers_node_24,max_transceivers_node_25,avg_transceivers,max_transceivers,sum_slots,avg_max_slot
100,9.588850174216027,7.588850174216028,10.0,5.428571428571429,4.0,8.0,8.588850174216027,8.0,11.588850174216027,13.376306620209059,8.0,5.578397212543554,8.344947735191637,7.0,13.0,8.0,11.0,4.0,11.721254355400697,9.167247386759582,7.0,5.0,3.0,8.588850174216027,10.428571428571429,3.0,11,9,10,6,4,8,10,8,13,14,8,7,11,7,13,8,11,4,15,12,7,5,3,10,11,3,200.07,208,3795,63.0
125,11.588850174216027,9.588850174216027,12.0,8.89198606271777,7.83623693379791,9.0,11.588850174216027,9.0,12.588850174216027,14.376306620209059,11.83623693379791,7.578397212543554,9.344947735191637,9.0,16.393728222996515,11.0,12.0,7.0,12.721254355400697,11.167247386759582,9.0,7.930313588850174,3.0,10.588850174216027,10.428571428571429,6.0,13,11,12,10,10,9,13,9,14,15,14,9,12,9,18,11,12,7,16,14,9,9,3,12,11,6,249.56,260,4665,78.0
150,12.588850174216027,11.588850174216027,13.0,10.89198606271777,10.83623693379791,13.0,12.508710801393729,12.0,16.588850174216027,15.376306620209059,11.83623693379791,9.578397212543553,11.344947735191637,13.0,20.393728222996515,11.0,15.0,8.0,12.721254355400697,12.167247386759582,11.0,9.850174216027874,7.0,13.588850174216027,12.428571428571429,6.0,14,13,13,12,13,13,15,12,18,16,14,11,14,13,22,11,15,8,16,15,11,12,7,15,13,6,299.56,310,5586,98.89
175,12.588850174216027,11.588850174216027,13.0,15.895470383275262,10.83623693379791,14.533101045296167,11.588850174216027,14.0,20.588850174216027,15.376306620209059,11.83623693379791,11.578397212543553,12.344947735191637,13.0,23.37630662020906,13.0,18.73170731707317,8.0,15.254355400696864,12.456445993031359,13.452961672473867,12.0,9.0,15.878048780487806,15.428571428571429,9.18815331010453,14,13,13,17,13,15,13,14,22,16,14,13,15,13,25,13,20,8,19,16,14,12,9,18,16,11,343.02,358,6303,107.96
200,14.75609756097561,12.588850174216027,16.411149825783973,16.34494773519164,14.334494773519165,16.65505226480836,11.588850174216027,16.641114982578397,21.916376306620208,16.825783972125436,13.202090592334494,13.073170731707316,14.80836236933798,14.578397212543553,25.362369337979093,14.0,20.470383275261323,11.365853658536585,16.71080139372822,13.456445993031359,14.749128919860627,12.0,13.0,15.878048780487806,16.885017421602786,10.404181184668989,18,14,18,18,19,20,13,17,25,18,16,15,18,15,29,14,23,15,21,17,16,12,13,18,18,14,379.76,406,7350,132.32
225,16.8397212543554,13.885017421602788,18.606271777003485,16.34494773519164,15.334494773519165,20.355400696864113,11.588850174216027,16.641114982578397,24.076655052264808,17.39721254355401,13.202090592334494,13.64459930313589,15.80836236933798,15.0,25.62020905923345,15.895470383275262,19.449477351916375,11.787456445993032,20.797909407665504,16.407665505226483,16.7595818815331,13.0,16.445993031358885,16.606271777003485,18.885017421602786,10.930313588850174,21,16,21,18,20,27,13,17,27,20,16,17,19,15,28,17,20,15,26,21,20,13,17,20,20,12,411.17,440,7959,141.07
250,19.8397212543554,13.888501742160278,19.411149825783973,19.808362369337978,20.54006968641115,21.902439024390244,14.041811846689896,16.641114982578397,24.076655052264808,17.825783972125436,14.202090592334494,15.358885017421603,17.78745644599303,16.581881533101047,27.34843205574913,19.355400696864113,20.449477351916375,16.365853658536587,21.797909407665504,19.11149825783972,16.905923344947734,15.452961672473867,17.445993031358885,16.94425087108014,20.606271777003485,13.466898954703833,24,16,21,23,28,26,16,17,27,19,17,18,22,18,31,21,21,20,27,23,18,16,18,21,22,14,458.62,496,8895,162.18
275,19.261324041811847,17.05923344947735,19.411149825783973,20.522648083623693,19.770034843205575,23.902439024390244,16.588850174216027,19.090592334494772,26.773519163763066,19.27526132404181,16.202090592334496,16.94773519163763,21.139372822299652,17.536585365853657,28.358885017421603,19.592334494773517,21.449477351916375,17.365853658536587,24.81184668989547,20.696864111498257,18.986062717770036,19.37630662020906,22.118466898954704,19.742160278745644,20.606271777003485,13.749128919860627,22,20,21,23,23,28,18,20,30,21,19,20,25,19,32,21,22,21,30,25,21,20,23,23,22,15,505.55,548,9738,172.39
300,20.550522648083625,17.181184668989548,20.073170731707318,22.522648083623693,22.522648083623693,25.905923344947734,17.933797909407666,23.247386759581882,26.23693379790941,19.27526132404181,18.205574912891986,21.65156794425087,22.139372822299652,17.81533101045296,31.010452961672474,20.717770034843205,21.45644599303136,19.365853658536587,25.81184668989547,25.418118466898953,23.069686411149824,23.696864111498257,22.118466898954704,22.766550522648085,23.26829268292683,13.466898954703833,24,20,22,25,27,30,22,26,31,21,22,25,26,20,35,24,22,23,31,32,25,26,23,29,25,14,547.41,598,10497,185.18
325,21.550522648083625,19.466898954703833,21.073170731707318,24.644599303135887,23.81533101045296,27.70731707317073,21.261324041811847,24.247386759581882,26.114982578397214,21.43554006968641,21.18815331010453,23.717770034843205,24.89198606271777,18.989547038327526,33.278745644599304,23.463414634146343,21.45644599303136,22.39721254355401,26.522648083623693,25.665505226480835,22.16376306620209,25.696864111498257,22.61672473867596,25.21951219512195,24.65156794425087,15.125435540069686,25,22,23,30,29,33,27,27,30,25,25,28,31,21,38,28,22,27,32,32,24,28,24,33,28,16,582.49,640,11076,200.18
350,21.94773519163763,21.45993031358885,22.076655052264808,25.644599303135887,23.881533101045296,28.076655052264808,22.714285714285715,26.247386759581882,27.871080139372822,23.153310104529616,22.742160278745644,26.170731707317074,26.581881533101047,20.630662020905923,34.10801393728223,27.480836236933797,21.825783972125436,23.864111498257838,26.749128919860627,29.048780487804876,23.630662020905923,29.60278745644599,23.61672473867596,24.78745644599303,27.48780487804878,19.045296167247386,26,24,26,31,28,34,29,29,32,28,26,31,34,24,40,34,23,29,33,40,26,33,25,32,33,22,619.49,688,11907,211.71
375,23.393728222996515,23.529616724738677,26.73170731707317,28.355400696864113,25.550522648083625,29.554006968641115,23.982578397212542,26.76306620209059,30.557491289198605,22.606271777003485,24.202090592334496,27.48780487804878,27.679442508710803,20.8397212543554,33.22996515679443,27.804878048780488,23.742160278745644,22.808362369337978,27.749128919860627,29.99651567944251,26.421602787456447,31.35191637630662,27.285714285714285,26.777003484320556,29.205574912891986,20.902439024390244,28,27,31,37,30,36,29,30,37,25,27,32,37,25,38,36,25,27,34,40,29,35,29,35,34,25,656.54,730,12732,232.0
400,25.174216027874564,22.470383275261323,28.21602787456446,29.355400696864113,28.88850174216028,30.554006968641115,24.463414634146343,27.693379790940767,33.801393728223,23.5993031358885,28.1602787456446,28.121951219512194,26.871080139372822,22.285714285714285,35.63066202090592,33.48432055749129,24.766550522648085,25.21602787456446,28.67595818815331,33.153310104529616,28.083623693379792,32.55400696864111,27.67247386759582,30.982578397212542,29.78745644599303,22.37979094076655,31,25,33,38,35,37,30,31,43,27,37,34,34,28,46,44,27,31,36,46,33,38,30,43,37,28,689.59,782,13851,251.89
425,26.156794425087107,24.721254355400696,28.21602787456446,32.58885017421603,31.29268292682927,31.261324041811847,26.686411149825783,28.693379790940767,33.637630662020904,23.05226480836237,36.801393728223,29.7595818815331,28.146341463414632,22.94773519163763,35.8780487804878,34.278745644599304,25.777003484320556,25.554006968641115,31.682926829268293,35.3205574912892,29.56445993031359,33.250871080139376,29.29268292682927,31.125435540069688,30.61672473867596,22.128919860627178,32,28,33,41,40,37,32,32,40,26,49,38,35,28,44,43,28,30,38,47,33,41,33,43,38,27,729.67,824,14415,258.57
