n_requests,avg_transceivers_node_0,avg_transceivers_node_1,avg_transceivers_node_2,avg_transceivers_node_3,avg_transceivers_node_4,avg_transceivers_node_5,avg_transceivers_node_6,avg_transceivers_node_7,avg_transceivers_node_8,avg_transceivers_node_9,avg_transceivers_node_10,avg_transceivers_node_11,avg_transceivers_node_12,avg_transceivers_node_13,avg_transceivers_node_14,avg_transceivers_node_15,avg_transceivers_node_16,avg_transceivers_node_17,avg_transceivers_node_18,avg_transceivers_node_19,avg_transceivers_node_20,avg_transceivers_node_21,avg_transceivers_node_22,avg_transceivers_node_23,avg_transceivers_node_24,avg_transceivers_node_25,avg_transceivers_node_26,avg_transceivers_node_27,max_transceivers_node_0,max_transceivers_node_1,max_transceivers_node_2,max_transceivers_node_3,max_transceivers_node_4,max_transceivers_node_5,max_transceivers_node_6,max_transceivers_node_7,max_transceivers_node_8,max_transceivers_node_9,max_transceivers_node_10,max_transceivers_node_11,max_transceivers_node_12,max_transceivers_node_13,max_transceivers_node_14,max_transceivers_node_15,max_transceivers_node_16,max_transceivers_node_17,max_transceivers_node_18,max_transceivers_node_19,max_transceivers_node_20,max_transceivers_node_21,max_transceivers_node_22,max_transceivers_node_23,max_transceivers_node_24,max_transceivers_node_25,max_transceivers_node_26,max_transceivers_node_27,avg_transceivers,max_transceivers,sum_slots,avg_max_slot
100,7.0,5.0,3.0,11.296167247386759,10.902439024390244,8.0,6.344947735191638,6.0,10.83623693379791,6.0,4.557491289198606,9.578397212543553,7.355400696864112,8.29965156794425,13.184668989547038,4.0,10.0,7.588850174216028,5.355400696864112,8.871080139372822,5.0,6.0,5.0,10.128919860627178,6.0,4.0,7.0,10.0,7,5,3,12,15,8,9,6,13,6,6,11,10,9,16,4,10,9,8,11,5,6,5,13,6,4,7,10,198.91,210,3597,69.4
125,9.0,6.0,6.0,12.296167247386759,11.229965156794425,10.0,6.229965156794425,6.449477351916376,12.83623693379791,7.449477351916376,5.0,10.578397212543553,9.35540069686411,10.29965156794425,13.463414634146341,5.0,11.0,12.048780487804878,7.355400696864112,9.871080139372822,6.0,6.0,8.0,12.128919860627178,8.45993031358885,4.2787456445993035,8.0,13.0,9,6,6,13,13,10,8,7,15,8,5,12,12,11,17,5,11,14,10,12,6,6,8,15,9,5,8,13,241.06,254,4614,86.05
150,10.0,8.0,8.0,14.9198606271777,12.529616724738675,13.923344947735192,7.229965156794425,6.449477351916376,14.83623693379791,7.449477351916376,5.0,11.951219512195122,11.35540069686411,11.29965156794425,14.167247386759582,7.153310104529616,12.564459930313589,13.898954703832752,10.35540069686411,12.526132404181185,7.0,8.0,12.29965156794425,15.003484320557492,10.0,7.2787456445993035,10.0,14.0,10,8,8,18,15,17,9,7,17,8,5,14,14,12,17,8,14,18,13,15,7,8,13,21,10,8,10,14,285.68,302,5343,96.4
175,13.0,9.588850174216027,9.418118466898955,16.29616724738676,17.54355400696864,15.477351916376307,9.229965156794425,6.0,15.714285714285714,8.0,6.0,15.668989547038327,13.35540069686411,13.32404181184669,15.554006968641115,10.599303135888501,14.177700348432056,18.21254355400697,11.35540069686411,17.114982578397214,9.0,10.0,14.735191637630662,15.317073170731707,11.0,10.45993031358885,10.0,16.59581881533101,13,11,10,17,21,18,11,6,20,8,6,19,16,15,19,13,17,23,14,21,9,10,18,22,11,11,10,19,330.48,348,6123,112.39
200,15.205574912891986,11.714285714285714,10.418118466898955,17.031358885017422,16.64808362369338,17.557491289198605,11.229965156794425,8.0,18.933797909407666,10.968641114982578,7.414634146341464,16.233449477351915,14.35540069686411,14.477351916376307,17.61672473867596,11.034843205574912,13.0,17.076655052264808,13.35540069686411,17.156794425087107,13.0801393728223,13.0,16.871080139372822,18.24390243902439,13.445993031358885,10.278745644599303,15.306620209059233,18.993031358885016,17,14,11,19,19,19,13,8,25,12,8,18,17,16,21,13,13,19,16,20,15,13,20,24,14,11,16,23,369.73,386,6984,129.4
225,16.0,12.445993031358885,11.0,18.742160278745644,20.21254355400697,19.11149825783972,12.574912891986063,12.156794425087108,17.369337979094077,10.0,8.0,20.090592334494772,15.634146341463415,14.975609756097562,21.090592334494772,11.139372822299652,14.0,21.017421602787458,14.35540069686411,20.581881533101047,15.0,18.156794425087107,14.463414634146341,20.28919860627178,16.445993031358885,10.45993031358885,15.386759581881533,18.33101045296167,16,14,11,20,24,21,17,14,21,10,8,23,19,17,25,13,14,25,17,25,15,20,15,29,17,11,16,21,419.91,446,8061,148.28
250,18.45644599303136,14.393728222996515,11.0,20.477351916376307,21.554006968641115,21.923344947735192,14.94425087108014,12.156794425087108,16.29616724738676,12.0,12.114982578397212,22.853658536585368,18.56445993031359,15.979094076655052,24.00348432055749,11.062717770034844,15.641114982578397,23.034843205574912,15.017421602787456,21.428571428571427,18.38327526132404,20.156794425087107,15.832752613240418,21.045296167247386,16.445993031358885,11.557491289198607,17.37630662020906,19.8397212543554,19,17,11,23,25,25,20,14,19,12,14,27,23,18,28,12,16,28,18,28,20,22,17,30,17,13,18,24,458.58,490,8736,168.91
275,21.35191637630662,15.334494773519165,12.585365853658537,21.965156794425088,21.9198606271777,24.202090592334496,15.529616724738675,12.609756097560975,17.766550522648085,13.0,12.45993031358885,25.37630662020906,19.56445993031359,17.94425087108014,25.745644599303137,14.13588850174216,16.477351916376307,25.993031358885016,19.749128919860627,20.369337979094077,18.850174216027874,27.0,17.83275261324042,22.041811846689896,17.445993031358885,15.557491289198607,18.33101045296167,21.29268292682927,24,17,14,25,26,28,22,15,21,13,13,30,24,21,31,16,18,33,25,26,21,33,19,30,18,17,20,26,501.13,542,9444,186.99
300,23.37979094076655,15.735191637630662,14.0,23.090592334494772,23.78745644599303,24.29268292682927,17.857142857142858,12.609756097560975,19.75609756097561,13.0,15.888501742160278,24.550522648083625,17.70731707317073,20.0801393728223,24.749128919860627,15.35191637630662,19.261324041811847,26.463414634146343,19.557491289198605,21.369337979094077,19.533101045296167,25.8397212543554,20.414634146341463,24.48780487804878,17.445993031358885,16.411149825783973,18.37630662020906,22.39721254355401,28,18,14,26,27,28,23,15,23,13,20,28,20,24,29,17,22,35,25,27,23,30,22,34,18,20,19,28,530.75,580,10587,196.9
325,25.76306620209059,17.445993031358885,15.655052264808363,22.634146341463413,26.61672473867596,26.303135888501743,18.76306620209059,13.059233449477352,19.75609756097561,14.449477351916377,17.54006968641115,27.445993031358885,18.923344947735192,20.954703832752614,26.209059233449477,20.94773519163763,18.125435540069688,25.191637630662022,20.317073170731707,21.843205574912893,21.13240418118467,27.94076655052265,21.878048780487806,25.282229965156795,19.445993031358885,16.773519163763066,22.024390243902438,26.498257839721255,32,20,16,25,32,31,25,16,23,15,22,33,23,25,31,25,20,31,26,29,24,33,24,34,20,20,26,35,569.99,636,11553,225.88
