n_requests,avg_transceivers_node_0,avg_transceivers_node_1,avg_transceivers_node_2,avg_transceivers_node_3,avg_transceivers_node_4,avg_transceivers_node_5,avg_transceivers_node_6,avg_transceivers_node_7,avg_transceivers_node_8,avg_transceivers_node_9,avg_transceivers_node_10,avg_transceivers_node_11,avg_transceivers_node_12,avg_transceivers_node_13,avg_transceivers_node_14,avg_transceivers_node_15,avg_transceivers_node_16,avg_transceivers_node_17,avg_transceivers_node_18,avg_transceivers_node_19,avg_transceivers_node_20,avg_transceivers_node_21,avg_transceivers_node_22,avg_transceivers_node_23,avg_transceivers_node_24,avg_transceivers_node_25,max_transceivers_node_0,max_transceivers_node_1,max_transceivers_node_2,max_transceivers_node_3,max_transceivers_node_4,max_transceivers_node_5,max_transceivers_node_6,max_transceivers_node_7,max_transceivers_node_8,max_transceivers_node_9,max_transceivers_node_10,max_transceivers_node_11,max_transceivers_node_12,max_transceivers_node_13,max_transceivers_node_14,max_transceivers_node_15,max_transceivers_node_16,max_transceivers_node_17,max_transceivers_node_18,max_transceivers_node_19,max_transceivers_node_20,max_transceivers_node_21,max_transceivers_node_22,max_transceivers_node_23,max_transceivers_node_24,max_transceivers_node_25,avg_transceivers,max_transceivers,sum_slots,avg_max_slot
100,7.0,8.0,10.0,11.0,7.0,8.278745644599303,10.0,9.0,6.905923344947735,9.0,7.2822299651567945,6.0,11.0,8.825783972125436,7.843205574912892,5.0,3.0,6.0,8.825783972125436,5.0,6.825783972125436,6.0,4.0,9.564459930313589,7.0,11.362369337979095,7,8,10,11,7,9,10,9,8,9,10,6,11,11,10,5,3,6,11,5,9,6,4,11,7,13,194.6,200,3552,66.57
125,9.0,8.735191637630662,11.0,12.45993031358885,9.020905923344948,12.846689895470384,10.285714285714286,13.0,6.905923344947735,10.0,8.282229965156795,6.0,13.0,10.550522648083623,11.557491289198607,5.0,3.0,9.0,9.550522648083623,7.0,7.825783972125436,9.567944250871081,5.0,10.738675958188153,10.0,13.362369337979095,9,10,11,13,11,15,11,13,8,10,11,6,13,12,13,5,3,9,11,7,10,11,5,12,10,15,234.34,240,4080,68.14
150,11.0,10.0,13.0,13.9198606271777,11.0,13.64808362369338,12.442508710801393,14.341463414634147,11.445993031358885,11.0,10.735191637630662,8.0,16.0,14.292682926829269,11.557491289198607,6.0,3.0,10.358885017421603,13.289198606271777,9.0,8.825783972125436,12.010452961672474,7.0,13.689895470383275,12.0,14.94425087108014,11,10,13,15,11,17,13,16,15,11,14,8,16,19,13,6,3,11,16,9,11,14,7,17,12,18,279.57,290,4992,84.29
175,13.0,12.0,15.0,13.735191637630662,11.0,14.64808362369338,14.0,16.069686411149824,11.292682926829269,13.418118466898955,10.735191637630662,10.0,16.0,15.278745644599303,14.557491289198607,12.0,5.0,12.362369337979095,13.0,10.0,10.275261324041812,13.017421602787456,10.0,16.101045296167246,15.0,14.348432055749129,13,12,15,15,11,18,14,19,15,14,14,10,16,18,16,12,5,13,13,10,13,15,10,18,15,16,323.03,336,5628,92.64
200,15.0,14.717770034843205,19.10452961672474,17.073170731707318,11.449477351916377,16.05226480836237,14.0,17.923344947735192,12.787456445993032,13.418118466898955,10.735191637630662,11.0,18.735191637630663,15.477351916376307,16.557491289198605,13.0,6.449477351916376,14.80836236933798,18.801393728222997,11.0,11.275261324041812,16.67247386759582,11.0,17.693379790940767,15.97212543554007,16.39721254355401,15,16,22,19,12,20,14,21,16,14,14,11,22,17,18,13,7,16,20,11,14,19,11,21,17,20,362.02,380,6522,110.46
225,16.21254355400697,16.27526132404181,19.885017421602786,17.51219512195122,13.142857142857142,16.05226480836237,17.878048780487806,17.902439024390244,15.773519163763066,13.707317073170731,11.738675958188153,11.557491289198607,17.8397212543554,17.679442508710803,16.557491289198605,17.477351916376307,7.449477351916376,19.017421602787458,20.745644599303137,13.449477351916377,12.275261324041812,18.041811846689896,14.45993031358885,17.101045296167246,19.75609756097561,17.362369337979093,18,18,24,20,14,20,21,22,20,15,15,12,20,23,18,20,8,22,25,14,15,22,17,19,23,19,400.77,440,7608,128.68
250,17.222996515679444,18.937282229965156,20.494773519163765,17.48780487804878,15.142857142857142,16.21951219512195,19.006968641114984,17.54355400696864,16.766550522648085,17.205574912891986,11.738675958188153,12.557491289198607,21.024390243902438,16.721254355400696,18.445993031358885,18.5993031358885,7.0,19.749128919860627,21.62369337979094,15.898954703832752,13.825783972125436,20.982578397212542,17.233449477351915,18.45993031358885,22.37979094076655,21.38327526132404,21,21,23,19,16,20,22,21,21,21,15,13,22,20,19,22,7,22,24,17,16,26,23,19,26,24,438.95,480,8367,139.39
275,17.222996515679444,18.505226480836235,24.986062717770036,21.909407665505228,18.156794425087107,16.21951219512195,21.51567944250871,18.522648083623693,19.54355400696864,17.742160278745644,12.790940766550523,14.982578397212544,22.853658536585368,17.752613240418118,18.445993031358885,18.76306620209059,9.522648083623693,23.101045296167246,22.048780487804876,16.898954703832754,15.275261324041812,24.574912891986063,17.337979094076655,21.822299651567945,23.40418118466899,22.874564459930312,21,20,30,25,19,20,25,22,24,22,16,16,26,21,19,22,11,26,24,18,18,31,23,23,28,26,476.45,524,8991,151.71
300,20.020905923344948,21.965156794425088,27.13240418118467,23.933797909407666,21.156794425087107,16.21951219512195,21.522648083623693,19.54355400696864,20.195121951219512,18.742160278745644,15.020905923344948,14.982578397212544,23.480836236933797,21.989547038327526,20.027874564459932,20.76306620209059,9.456445993031359,23.125435540069688,25.498257839721255,18.463414634146343,17.846689895470384,27.118466898954704,16.89198606271777,23.317073170731707,24.40418118466899,24.156794425087107,24,24,31,28,22,20,25,23,25,23,19,16,25,27,21,24,10,26,30,20,21,33,22,25,29,29,517.77,574,10068,168.46
325,21.742160278745644,21.965156794425088,28.770034843205575,25.463414634146343,22.529616724738677,22.358885017421603,24.797909407665504,21.54355400696864,22.752613240418118,22.790940766550523,18.2404181184669,15.982578397212544,25.81533101045296,25.70731707317073,22.125435540069688,21.37630662020906,12.278745644599303,24.5609756097561,26.54703832752613,19.8397212543554,17.013937282229964,30.609756097560975,22.749128919860627,24.721254355400696,27.912891986062718,25.156794425087107,25,24,34,30,24,28,30,25,28,31,24,17,29,34,25,26,14,28,34,22,20,39,32,28,35,30,560.13,628,11136,188.18
