n_requests,avg_transceivers_node_0,avg_transceivers_node_1,avg_transceivers_node_2,avg_transceivers_node_3,avg_transceivers_node_4,avg_transceivers_node_5,avg_transceivers_node_6,avg_transceivers_node_7,avg_transceivers_node_8,avg_transceivers_node_9,avg_transceivers_node_10,avg_transceivers_node_11,avg_transceivers_node_12,avg_transceivers_node_13,avg_transceivers_node_14,avg_transceivers_node_15,avg_transceivers_node_16,avg_transceivers_node_17,avg_transceivers_node_18,avg_transceivers_node_19,avg_transceivers_node_20,avg_transceivers_node_21,avg_transceivers_node_22,avg_transceivers_node_23,avg_transceivers_node_24,avg_transceivers_node_25,max_transceivers_node_0,max_transceivers_node_1,max_transceivers_node_2,max_transceivers_node_3,max_transceivers_node_4,max_transceivers_node_5,max_transceivers_node_6,max_transceivers_node_7,max_transceivers_node_8,max_transceivers_node_9,max_transceivers_node_10,max_transceivers_node_11,max_transceivers_node_12,max_transceivers_node_13,max_transceivers_node_14,max_transceivers_node_15,max_transceivers_node_16,max_transceivers_node_17,max_transceivers_node_18,max_transceivers_node_19,max_transceivers_node_20,max_transceivers_node_21,max_transceivers_node_22,max_transceivers_node_23,max_transceivers_node_24,max_transceivers_node_25,avg_transceivers,max_transceivers,sum_slots,avg_max_slot
100,8.0,10.0,7.334494773519164,15.825783972125436,6.0,8.0,5.0,7.0,13.160278745644598,8.0,4.0,7.825783972125436,7.473867595818815,6.0,5.0,12.0,4.0,7.825783972125436,3.0,6.0,11.0,7.0,6.0,8.0,5.473867595818815,8.0,8,10,10,18,6,8,5,7,18,8,4,10,8,6,5,12,4,10,3,6,11,7,6,8,6,8,194.27,200,3369,58.61
125,10.0,11.0,9.334494773519165,18.010452961672474,11.254355400696864,9.0,5.0,10.0,15.285714285714286,9.825783972125436,6.0,9.543554006968641,9.473867595818815,10.411149825783973,6.0,14.0,4.411149825783972,8.825783972125436,5.0,8.752613240418118,12.0,7.0,7.529616724738676,10.428571428571429,6.473867595818815,9.0,10,11,12,21,14,9,5,10,23,12,6,13,10,11,6,14,5,11,5,10,12,7,8,11,7,9,236.87,248,4128,72.11
150,13.818815331010454,13.574912891986063,10.982578397212544,21.70731707317073,11.254355400696864,11.282229965156795,7.0,11.804878048780488,15.78048780487805,13.400696864111499,6.0,9.470383275261325,13.006968641114982,13.21602787456446,8.0,16.0,6.411149825783972,11.825783972125436,6.648083623693379,11.752613240418118,12.0,8.0,9.773519163763066,13.501742160278745,8.505226480836237,12.411149825783973,20,14,14,27,14,12,7,14,24,16,6,13,15,16,8,16,7,14,7,13,12,8,14,15,9,15,280.57,298,4977,89.93
175,13.909407665505226,15.32404181184669,16.982578397212542,25.320557491289197,13.254355400696864,14.282229965156795,8.0,12.804878048780488,17.191637630662022,14.742160278745645,7.0,9.825783972125436,15.006968641114982,16.21602787456446,10.0,17.0,7.825783972125436,12.825783972125436,7.648083623693379,13.752613240418118,13.0,12.0,8.10801393728223,15.501742160278745,10.505226480836237,14.390243902439025,20,17,20,34,16,15,8,15,27,18,7,14,17,19,10,17,9,15,8,15,13,12,9,17,11,15,324.51,342,5784,105.82
200,13.724738675958188,16.229965156794425,16.982578397212542,25.320557491289197,14.254355400696864,16.282229965156795,12.0,12.804878048780488,19.191637630662022,14.376306620209059,8.0,12.250871080139373,16.45993031358885,18.21602787456446,14.05226480836237,18.0,7.825783972125436,14.766550522648084,10.70034843205575,14.752613240418118,16.0,14.0,10.111498257839722,15.888501742160278,13.627177700348431,16.390243902439025,20,18,20,34,17,17,12,15,29,17,8,17,19,21,15,18,9,18,12,16,16,14,11,17,15,17,364.34,386,6429,112.46
225,15.149825783972126,16.229965156794425,16.790940766550523,26.88850174216028,15.254355400696864,19.66898954703833,13.0,14.45993031358885,18.56794425087108,16.37630662020906,10.0,14.40766550522648,19.45993031358885,22.609756097560975,14.0,19.0,9.306620209059233,14.766550522648084,11.86411149825784,14.449477351916377,17.0,14.278745644599303,13.111498257839722,16.88850174216028,14.627177700348431,18.066202090592334,20,18,20,32,18,22,13,17,26,19,10,21,22,27,14,19,11,18,13,15,17,15,14,18,16,19,404.39,434,7266,128.25
250,19.334494773519165,16.571428571428573,17.790940766550523,28.278745644599304,15.254355400696864,20.777003484320556,14.0,17.10452961672474,19.466898954703833,18.39721254355401,11.735191637630662,15.70034843205575,20.662020905923345,25.99651567944251,15.236933797909408,25.574912891986063,10.32752613240418,15.146341463414634,12.27177700348432,17.7595818815331,22.76306620209059,14.278745644599303,14.111498257839722,17.449477351916375,16.533101045296167,20.7595818815331,24,17,21,34,18,23,14,22,26,21,13,21,22,33,16,32,12,18,14,20,25,15,15,20,18,24,447.57,490,7752,136.57
275,22.878048780487806,19.142857142857142,18.790940766550523,31.247386759581882,15.78048780487805,23.114982578397214,17.533101045296167,17.10452961672474,22.29268292682927,19.89198606271777,11.445993031358885,16.27526132404181,23.362369337979093,27.445993031358885,15.0,23.693379790940767,10.250871080139373,15.146341463414634,16.65505226480836,20.923344947735192,25.006968641114984,15.278745644599303,15.104529616724738,17.174216027874564,17.864111498257838,25.142857142857142,28,22,22,37,19,26,18,22,31,23,12,21,26,32,15,26,12,18,19,22,30,16,16,19,21,29,485.55,530,8682,153.64
300,22.878048780487806,19.146341463414632,20.257839721254356,32.59233449477352,18.16724738675958,24.114982578397214,20.355400696864113,17.94773519163763,23.128919860627178,22.735191637630663,13.745644599303136,18.808362369337978,24.717770034843205,29.522648083623693,17.54355400696864,25.29268292682927,10.658536585365853,16.146341463414632,16.65505226480836,21.94076655052265,25.006968641114984,17.278745644599304,17.56445993031359,19.181184668989548,20.609756097560975,27.0,28,21,24,39,22,27,24,23,32,27,15,24,30,36,19,28,13,19,19,25,30,18,19,22,25,33,523.97,582,9669,169.5
325,28.5609756097561,20.094076655052266,20.714285714285715,38.62020905923345,20.37630662020906,26.393728222996515,23.51567944250871,22.229965156794425,24.421602787456447,25.878048780487806,16.5993031358885,18.808362369337978,24.717770034843205,29.850174216027874,20.60278745644599,24.972125435540068,12.658536585365853,19.808362369337978,17.428571428571427,22.013937282229964,26.585365853658537,19.013937282229964,19.696864111498257,18.581881533101047,20.609756097560975,28.0,42,22,25,51,27,30,29,30,32,32,19,24,30,36,23,28,15,25,21,24,33,21,23,21,25,34,561.82,638,10809,195.21
