n_requests,avg_transceivers_node_0,avg_transceivers_node_1,avg_transceivers_node_2,avg_transceivers_node_3,avg_transceivers_node_4,avg_transceivers_node_5,avg_transceivers_node_6,avg_transceivers_node_7,avg_transceivers_node_8,avg_transceivers_node_9,avg_transceivers_node_10,avg_transceivers_node_11,avg_transceivers_node_12,avg_transceivers_node_13,avg_transceivers_node_14,avg_transceivers_node_15,avg_transceivers_node_16,avg_transceivers_node_17,avg_transceivers_node_18,avg_transceivers_node_19,avg_transceivers_node_20,avg_transceivers_node_21,avg_transceivers_node_22,avg_transceivers_node_23,avg_transceivers_node_24,avg_transceivers_node_25,max_transceivers_node_0,max_transceivers_node_1,max_transceivers_node_2,max_transceivers_node_3,max_transceivers_node_4,max_transceivers_node_5,max_transceivers_node_6,max_transceivers_node_7,max_transceivers_node_8,max_transceivers_node_9,max_transceivers_node_10,max_transceivers_node_11,max_transceivers_node_12,max_transceivers_node_13,max_transceivers_node_14,max_transceivers_node_15,max_transceivers_node_16,max_transceivers_node_17,max_transceivers_node_18,max_transceivers_node_19,max_transceivers_node_20,max_transceivers_node_21,max_transceivers_node_22,max_transceivers_node_23,max_transceivers_node_24,max_transceivers_node_25,avg_transceivers,max_transceivers,sum_slots,avg_max_slot
100,6.0,6.83623693379791,2.0,8.306620209059233,5.0,6.83623693379791,12.177700348432056,7.0,6.0,7.0,7.0,8.0,7.0,7.0,5.0,4.0,10.83623693379791,8.0,7.0,8.0,5.0,7.7073170731707314,9.0,13.0,18.0,2.0,6,9,2,11,5,9,13,7,6,7,7,8,7,7,5,4,13,8,7,8,5,8,9,13,18,2,191.47,196,3369,54.86
125,11.588850174216027,9.825783972125436,4.466898954703833,9.306620209059233,7.696864111498257,6.83623693379791,15.794425087108014,9.588850174216027,7.696864111498257,8.0,7.0,9.0,11.0,8.550522648083623,8.0,5.581881533101045,12.393728222996515,9.658536585365853,9.0,11.156794425087108,7.581881533101045,9.066202090592334,10.0,14.0,21.72473867595819,4.0,13,13,5,12,9,9,18,11,8,8,7,9,11,10,8,6,16,10,9,14,8,10,10,14,26,4,234.75,246,4185,66.11
150,16.11149825783972,12.414634146341463,5.466898954703833,11.306620209059233,7.696864111498257,8.83623693379791,16.21254355400697,12.331010452961673,10.087108013937282,9.404181184668989,12.160278745644598,9.0,13.118466898954704,8.578397212543553,8.0,10.317073170731707,16.54006968641115,12.658536585365853,11.282229965156795,13.156794425087108,8.041811846689896,11.850174216027874,10.0,14.0,23.770034843205575,6.578397212543554,20,15,6,14,9,11,18,15,13,11,14,9,15,9,8,14,23,13,12,16,9,13,10,14,29,8,277.34,296,5109,87.79
175,17.11149825783972,16.006968641114984,7.466898954703833,12.306620209059233,10.358885017421603,10.83623693379791,17.536585365853657,12.588850174216027,10.090592334494774,11.529616724738675,12.529616724738675,11.0,12.041811846689896,10.10801393728223,11.0,12.317073170731707,17.386759581881535,15.550522648083623,13.285714285714286,19.034843205574912,10.041811846689896,14.111498257839722,11.0,15.463414634146341,23.846689895470384,10.167247386759582,21,20,8,15,12,13,19,14,13,12,14,11,13,11,11,16,20,16,14,23,11,15,11,16,28,13,326.38,350,6312,113.04
200,19.463414634146343,16.00348432055749,7.466898954703833,13.306620209059233,10.358885017421603,16.571428571428573,19.257839721254356,15.83623693379791,10.804878048780488,11.979094076655052,18.71080139372822,12.0,15.658536585365853,10.67247386759582,12.0,15.317073170731707,20.825783972125436,18.198606271777003,16.56445993031359,21.006968641114984,10.581881533101045,14.149825783972126,13.0,20.34494773519164,24.334494773519165,11.167247386759582,24,20,8,16,12,22,22,19,12,13,23,12,17,13,12,19,25,20,18,28,11,16,13,24,27,14,369.18,400,6981,126.89
225,21.463414634146343,17.501742160278745,9.303135888501743,16.66898954703833,18.28919860627178,18.45296167247387,22.682926829268293,17.585365853658537,9.986062717770034,13.449477351916377,19.67595818815331,13.0,17.989547038327526,13.341463414634147,16.24390243902439,15.317073170731707,20.27526132404181,19.024390243902438,20.686411149825783,23.9198606271777,12.445993031358885,13.871080139372822,13.0,22.818815331010452,24.334494773519165,16.742160278745644,26,22,12,21,23,25,27,22,11,14,24,13,20,15,19,19,24,20,26,30,14,15,13,28,27,24,413.98,454,8043,149.68
250,23.968641114982578,20.393728222996515,12.303135888501743,16.76306620209059,18.574912891986063,18.881533101045296,25.355400696864113,18.37979094076655,11.226480836236934,14.449477351916377,20.808362369337978,13.0,18.494773519163765,17.264808362369337,16.369337979094077,16.641114982578397,22.198606271777003,23.146341463414632,18.853658536585368,24.480836236933797,15.484320557491289,15.832752613240418,18.529616724738677,23.463414634146343,23.174216027874564,20.679442508710803,30,26,15,20,20,24,28,21,12,15,25,13,20,20,18,21,27,27,21,29,18,19,19,28,25,29,458.17,498,8952,172.07
275,26.75609756097561,22.069686411149824,13.303135888501743,19.149825783972126,20.4006968641115,23.73170731707317,26.51567944250871,18.66898954703833,12.515679442508711,14.449477351916377,20.369337979094077,14.0,18.031358885017422,17.264808362369337,16.45644599303136,17.317073170731707,23.337979094076655,23.23693379790941,25.128919860627178,26.864111498257838,16.024390243902438,18.23693379790941,19.135888501742162,25.825783972125436,23.170731707317074,22.679442508710803,34,27,16,25,22,31,30,22,14,15,24,14,19,20,17,21,30,26,31,31,18,22,21,32,25,31,487.57,530,9420,169.93
300,26.254355400696863,21.006968641114984,15.759581881533101,21.407665505226483,22.5993031358885,25.43205574912892,34.11149825783972,20.498257839721255,13.508710801393729,16.449477351916375,21.43554006968641,14.0,18.031358885017422,16.29616724738676,17.45644599303136,17.317073170731707,24.78745644599303,24.299651567944252,28.526132404181183,28.930313588850176,19.362369337979093,19.445993031358885,18.529616724738677,26.804878048780488,26.170731707317074,23.738675958188153,32,25,19,28,26,33,42,24,15,17,26,14,19,18,18,21,33,27,36,34,22,21,19,33,28,32,526.38,574,10050,182.32
325,26.45993031358885,23.191637630662022,17.18466898954704,23.407665505226483,25.5993031358885,24.585365853658537,34.641114982578394,20.498257839721255,16.522648083623693,21.804878048780488,23.912891986062718,14.0,20.689895470383274,16.60278745644599,17.45644599303136,19.60278745644599,27.066202090592334,24.752613240418118,31.125435540069688,29.073170731707318,19.822299651567945,20.62369337979094,22.073170731707318,28.369337979094077,28.700348432055748,25.48780487804878,31,29,21,30,29,31,43,24,18,25,30,14,24,18,18,24,37,28,39,33,23,22,25,38,32,34,564.12,620,11055,205.25
