n_requests,avg_transceivers_node_0,avg_transceivers_node_1,avg_transceivers_node_2,avg_transceivers_node_3,avg_transceivers_node_4,avg_transceivers_node_5,avg_transceivers_node_6,avg_transceivers_node_7,avg_transceivers_node_8,avg_transceivers_node_9,avg_transceivers_node_10,avg_transceivers_node_11,avg_transceivers_node_12,avg_transceivers_node_13,avg_transceivers_node_14,avg_transceivers_node_15,avg_transceivers_node_16,avg_transceivers_node_17,avg_transceivers_node_18,avg_transceivers_node_19,avg_transceivers_node_20,avg_transceivers_node_21,avg_transceivers_node_22,avg_transceivers_node_23,avg_transceivers_node_24,avg_transceivers_node_25,max_transceivers_node_0,max_transceivers_node_1,max_transceivers_node_2,max_transceivers_node_3,max_transceivers_node_4,max_transceivers_node_5,max_transceivers_node_6,max_transceivers_node_7,max_transceivers_node_8,max_transceivers_node_9,max_transceivers_node_10,max_transceivers_node_11,max_transceivers_node_12,max_transceivers_node_13,max_transceivers_node_14,max_transceivers_node_15,max_transceivers_node_16,max_transceivers_node_17,max_transceivers_node_18,max_transceivers_node_19,max_transceivers_node_20,max_transceivers_node_21,max_transceivers_node_22,max_transceivers_node_23,max_transceivers_node_24,max_transceivers_node_25,avg_transceivers,max_transceivers,sum_slots,avg_max_slot
100,7.0,8.209059233449477,10.146341463414634,12.034843205574912,7.0,8.282229965156795,10.195121951219512,9.397212543554007,6.912891986062718,9.0,7.29616724738676,6.0,11.195121951219512,8.557491289198607,7.853658536585366,5.0,3.0,6.0,8.752613240418118,5.0,6.83623693379791,6.442508710801394,4.0,9.571428571428571,8.128919860627178,11.372822299651569,7,9,11,15,7,9,11,11,8,9,10,6,12,10,10,5,3,6,11,5,9,7,4,11,9,13,194.85,204,3651,62.89
125,9.0,8.954703832752614,11.146341463414634,12.926829268292684,9.038327526132404,12.860627177700348,10.742160278745645,13.543554006968641,7.919860627177701,10.0,8.296167247386759,6.0,13.0,10.557491289198607,11.564459930313589,5.0,3.0,9.0,9.557491289198607,7.0,8.289198606271777,10.480836236933797,5.0,10.745644599303136,11.128919860627178,13.372822299651569,9,11,12,14,11,15,12,14,10,10,11,6,13,12,13,5,3,9,11,7,11,13,5,12,12,15,235.44,244,4305,79.5
150,11.0,10.209059233449477,13.146341463414634,13.926829268292684,11.0,13.67595818815331,12.445993031358885,14.358885017421603,11.463414634146341,11.0,10.752613240418118,8.0,16.0,14.477351916376307,12.013937282229966,6.0,3.0,10.0,13.048780487804878,9.0,8.83623693379791,12.024390243902438,7.491289198606272,13.024390243902438,13.128919860627178,15.094076655052264,11,11,14,15,11,17,13,16,15,11,14,8,16,19,14,6,3,10,15,9,11,14,8,15,14,18,278.03,288,4857,78.86
175,13.0,12.209059233449477,14.613240418118467,13.738675958188153,11.0,15.041811846689896,14.0,16.090592334494772,11.933797909407666,13.421602787456447,10.752613240418118,10.0,16.898954703832754,16.773519163763066,14.449477351916377,12.0,5.0,12.365853658536585,14.048780487804878,10.0,10.289198606271777,13.031358885017422,10.491289198606271,16.574912891986063,15.794425087108014,14.815331010452962,13,13,15,15,11,19,14,19,16,14,14,10,18,22,15,12,5,13,16,10,13,15,11,19,17,17,321.96,336,5679,92.79
200,15.0,14.0,18.846689895470384,17.45644599303136,11.0,16.076655052264808,14.0,17.94425087108014,12.742160278745645,13.421602787456447,10.752613240418118,11.0,17.850174216027874,15.484320557491289,16.56445993031359,13.0,6.452961672473868,14.815331010452962,18.9198606271777,11.0,11.289198606271777,16.689895470383274,11.491289198606271,17.477351916376307,15.979094076655052,15.358885017421603,15,14,21,20,11,20,14,21,17,14,14,11,20,19,18,13,7,16,21,11,14,19,12,20,17,17,363.09,384,6429,102.32
225,16.222996515679444,16.013937282229964,18.846689895470384,17.466898954703833,13.149825783972126,16.076655052264808,15.989547038327526,18.32752613240418,15.797909407665506,13.714285714285714,11.296167247386759,11.560975609756097,17.850174216027874,16.968641114982578,16.56445993031359,17.585365853658537,7.452961672473868,18.33101045296167,20.522648083623693,13.54006968641115,12.289198606271777,18.27177700348432,13.435540069686411,18.0801393728223,18.993031358885016,17.372822299651567,18,17,21,20,14,20,17,22,20,15,14,12,20,21,18,20,8,20,24,14,15,22,15,21,21,19,399.0,432,7506,131.32
250,17.5993031358885,18.67595818815331,20.745644599303137,18.466898954703833,15.149825783972126,16.24390243902439,18.29268292682927,18.32752613240418,16.51219512195122,16.745644599303137,11.296167247386759,12.560975609756097,21.989547038327526,16.034843205574912,18.449477351916375,18.588850174216027,7.452961672473868,19.89547038327526,21.878048780487806,15.369337979094077,14.289198606271777,22.48780487804878,15.29965156794425,19.797909407665504,22.73170731707317,21.766550522648085,21,20,24,21,16,20,21,22,20,19,14,13,26,19,19,21,8,23,25,16,17,28,18,22,26,25,440.15,480,8427,137.14
275,17.59581881533101,18.65505226480836,23.83623693379791,21.33101045296167,18.61672473867596,16.24390243902439,20.135888501742162,19.306620209059233,18.933797909407666,16.94425087108014,13.212543554006968,14.996515679442508,22.425087108013937,19.0801393728223,18.449477351916375,18.588850174216027,9.752613240418118,22.627177700348433,23.153310104529616,17.202090592334496,15.763066202090592,25.18815331010453,15.655052264808363,22.797909407665504,22.73170731707317,23.222996515679444,21,20,27,24,20,20,23,23,22,20,17,16,25,23,19,21,12,25,27,18,19,31,19,25,26,27,479.33,526,9165,151.14
300,20.39721254355401,21.70383275261324,26.501742160278745,23.337979094076655,21.1602787456446,16.24390243902439,21.993031358885016,21.317073170731707,21.21254355400697,18.78048780487805,15.958188153310104,15.529616724738675,23.024390243902438,21.965156794425088,20.034843205574912,20.588850174216027,9.0,22.794425087108014,24.226480836236934,18.10801393728223,17.76306620209059,30.10452961672474,15.655052264808363,24.355400696864113,24.017421602787458,23.662020905923345,24,23,29,27,22,20,27,25,26,23,21,17,24,27,21,23,9,25,28,19,21,38,19,28,28,28,521.15,578,9921,166.14
325,23.027874564459932,22.156794425087107,28.358885017421603,25.689895470383274,23.114982578397214,23.306620209059233,23.550522648083625,22.32752613240418,21.94425087108014,20.581881533101047,18.26829268292683,16.529616724738677,24.501742160278745,25.174216027874564,21.975609756097562,20.588850174216027,11.466898954703833,23.916376306620208,25.70731707317073,19.202090592334496,17.76306620209059,34.36933797909408,18.926829268292682,24.916376306620208,27.533101045296167,25.114982578397214,27,24,32,30,25,30,28,26,26,25,24,18,26,32,24,23,12,26,32,20,21,46,22,29,34,30,558.49,616,10725,180.71
