n_requests,avg_transceivers_node_0,avg_transceivers_node_1,avg_transceivers_node_2,avg_transceivers_node_3,avg_transceivers_node_4,avg_transceivers_node_5,avg_transceivers_node_6,avg_transceivers_node_7,avg_transceivers_node_8,avg_transceivers_node_9,avg_transceivers_node_10,avg_transceivers_node_11,avg_transceivers_node_12,avg_transceivers_node_13,avg_transceivers_node_14,avg_transceivers_node_15,avg_transceivers_node_16,avg_transceivers_node_17,avg_transceivers_node_18,avg_transceivers_node_19,avg_transceivers_node_20,avg_transceivers_node_21,avg_transceivers_node_22,avg_transceivers_node_23,avg_transceivers_node_24,avg_transceivers_node_25,max_transceivers_node_0,max_transceivers_node_1,max_transceivers_node_2,max_transceivers_node_3,max_transceivers_node_4,max_transceivers_node_5,max_transceivers_node_6,max_transceivers_node_7,max_transceivers_node_8,max_transceivers_node_9,max_transceivers_node_10,max_transceivers_node_11,max_transceivers_node_12,max_transceivers_node_13,max_transceivers_node_14,max_transceivers_node_15,max_transceivers_node_16,max_transceivers_node_17,max_transceivers_node_18,max_transceivers_node_19,max_transceivers_node_20,max_transceivers_node_21,max_transceivers_node_22,max_transceivers_node_23,max_transceivers_node_24,max_transceivers_node_25,avg_transceivers,max_transceivers,sum_slots,avg_max_slot
100,5.0,3.0,4.0,11.0,13.0,7.355400696864112,7.0,5.0,5.0,5.0,9.0,5.0,9.0,6.0,9.0,8.35540069686411,5.0,6.0,7.0,7.0,7.0,8.0,14.0,8.0,4.0,13.0,5,3,4,11,13,10,7,5,5,5,9,5,9,6,9,11,5,6,7,7,7,8,14,8,4,13,190.24,192,3066,47.86
125,6.0,5.0,7.0,12.0,14.0,10.35540069686411,8.0,8.0,10.0,6.0,9.0,8.0,11.0,11.0,10.0,9.35540069686411,6.0,10.0,8.0,10.0,9.655052264808363,8.0,17.0,8.655052264808363,5.0,15.0,6,5,7,12,14,13,8,8,10,6,9,8,11,11,10,12,6,10,8,10,10,8,17,9,5,15,241.55,244,3924,62.89
150,8.0,8.0,9.334494773519165,12.0,17.0,11.35540069686411,8.0,11.0,13.0,9.0,10.334494773519165,9.0,14.0,11.616724738675957,11.0,10.35540069686411,7.0,13.0,9.0,13.0,9.655052264808363,11.616724738675957,21.0,11.655052264808363,6.0,17.0,8,8,12,12,17,14,8,11,13,9,13,9,14,12,11,13,7,13,9,13,10,12,21,12,6,17,291.0,296,4827,81.61
175,12.574912891986063,8.0,10.334494773519165,15.0,19.0,14.35540069686411,10.616724738675957,11.0,14.334494773519165,11.184668989547038,11.902439024390244,15.19163763066202,17.0,13.616724738675957,12.0,13.35540069686411,9.0,13.0,9.0,13.0,9.655052264808363,13.951219512195122,21.61672473867596,12.655052264808363,7.0,17.0,13,8,13,15,19,17,11,11,17,12,15,16,17,14,12,16,9,13,9,13,10,17,22,13,7,17,333.98,344,5775,98.0
200,14.574912891986063,9.0,10.334494773519165,16.637630662020907,20.637630662020907,14.958188153310104,12.616724738675957,13.303135888501743,17.334494773519165,13.184668989547038,13.902439024390244,15.19163763066202,19.65505226480836,15.9198606271777,12.0,16.355400696864113,11.0,14.0,10.0,14.0,9.655052264808363,17.554006968641115,25.61672473867596,16.310104529616726,10.0,18.0,15,9,13,17,21,18,13,16,20,14,17,16,20,19,12,19,11,14,10,14,10,21,26,17,10,18,379.97,394,6633,114.5
225,15.574912891986063,12.0,11.334494773519165,19.637630662020907,22.637630662020907,14.958188153310104,13.616724738675957,14.303135888501743,19.334494773519165,13.184668989547038,14.902439024390244,20.191637630662022,20.65505226480836,18.9198606271777,13.0,19.355400696864113,12.0,16.0,13.0,15.0,10.655052264808363,18.554006968641115,26.61672473867596,19.310104529616726,13.0,18.0,16,12,14,20,23,18,14,17,22,14,18,21,21,22,13,22,12,16,13,15,11,22,27,20,13,18,423.97,438,7386,128.79
250,18.05923344947735,15.111498257839722,11.334494773519165,19.637630662020907,24.637630662020907,16.958188153310104,15.616724738675957,18.303135888501743,22.818815331010452,15.184668989547038,15.522648083623693,21.191637630662022,20.65505226480836,19.9198606271777,15.0,19.355400696864113,12.0,20.0,15.491289198606271,17.0,11.655052264808363,19.554006968641115,29.61672473867596,21.310104529616726,15.0,18.0,19,16,14,20,25,20,16,21,26,16,19,22,21,23,15,22,12,20,16,17,12,23,30,22,15,18,467.16,484,8208,147.07
275,20.05923344947735,15.111498257839722,12.334494773519165,21.637630662020907,28.125435540069688,20.581881533101047,16.61672473867596,21.303135888501743,25.33101045296167,17.18466898954704,16.522648083623693,21.191637630662022,21.65505226480836,19.9198606271777,17.62369337979094,20.843205574912893,13.623693379790941,20.0,15.491289198606271,18.62369337979094,13.655052264808363,20.442508710801395,30.61672473867596,23.310104529616726,18.0,21.62369337979094,21,16,15,22,29,24,17,24,28,18,20,22,22,23,18,24,14,20,16,19,14,23,31,24,18,22,509.66,528,8898,163.79
300,20.67247386759582,16.11149825783972,13.334494773519165,25.637630662020907,29.738675958188153,22.61672473867596,16.61672473867596,22.303135888501743,25.33101045296167,20.18466898954704,17.522648083623693,24.191637630662022,24.65505226480836,24.9198606271777,17.62369337979094,21.843205574912893,14.0,20.0,16.49128919860627,20.62369337979094,16.65505226480836,24.477351916376307,30.61672473867596,23.310104529616726,20.0,24.0,22,17,16,26,31,26,17,25,28,21,21,25,25,28,18,25,14,20,17,21,17,27,31,24,20,24,551.71,570,9561,169.32
325,23.18815331010453,18.11149825783972,15.334494773519165,26.61672473867596,35.34494773519164,24.61672473867596,18.61672473867596,25.303135888501743,24.846689895470384,21.18466898954704,18.522648083623693,26.191637630662022,25.65505226480836,26.9198606271777,19.62369337979094,25.843205574912893,14.0,22.0,17.49128919860627,21.62369337979094,16.65505226480836,24.477351916376307,35.616724738675956,24.937282229965156,23.0,24.0,24,19,18,27,37,28,19,28,27,22,22,27,26,30,20,29,14,22,18,22,17,27,36,26,23,24,597.95,616,10413,191.29
