n_requests,avg_transceivers_node_0,avg_transceivers_node_1,avg_transceivers_node_2,avg_transceivers_node_3,avg_transceivers_node_4,avg_transceivers_node_5,avg_transceivers_node_6,avg_transceivers_node_7,avg_transceivers_node_8,avg_transceivers_node_9,avg_transceivers_node_10,avg_transceivers_node_11,avg_transceivers_node_12,avg_transceivers_node_13,avg_transceivers_node_14,avg_transceivers_node_15,avg_transceivers_node_16,avg_transceivers_node_17,avg_transceivers_node_18,avg_transceivers_node_19,avg_transceivers_node_20,avg_transceivers_node_21,avg_transceivers_node_22,avg_transceivers_node_23,avg_transceivers_node_24,avg_transceivers_node_25,avg_transceivers_node_26,avg_transceivers_node_27,max_transceivers_node_0,max_transceivers_node_1,max_transceivers_node_2,max_transceivers_node_3,max_transceivers_node_4,max_transceivers_node_5,max_transceivers_node_6,max_transceivers_node_7,max_transceivers_node_8,max_transceivers_node_9,max_transceivers_node_10,max_transceivers_node_11,max_transceivers_node_12,max_transceivers_node_13,max_transceivers_node_14,max_transceivers_node_15,max_transceivers_node_16,max_transceivers_node_17,max_transceivers_node_18,max_transceivers_node_19,max_transceivers_node_20,max_transceivers_node_21,max_transceivers_node_22,max_transceivers_node_23,max_transceivers_node_24,max_transceivers_node_25,max_transceivers_node_26,max_transceivers_node_27,avg_transceivers,max_transceivers,sum_slots,avg_max_slot
100,8.0,4.0,5.0,3.0,3.0,8.0,8.0,5.0,7.0,3.6550522648083623,5.0,6.0,8.0,6.0,13.296167247386759,7.0,7.414634146341464,4.0,8.414634146341463,8.658536585365853,9.470383275261325,8.0,3.5749128919860627,6.414634146341464,8.0,11.989547038327526,5.0,11.139372822299652,8,4,5,3,3,8,8,5,7,4,5,6,8,6,16,7,8,4,9,9,10,8,4,7,8,13,5,14,190.93,198,3711,65.63
125,10.731707317073171,6.0,7.0,8.0,3.0,10.64459930313589,13.0,6.0,8.64459930313589,4.655052264808362,6.0,7.0,9.0,10.0,13.70034843205575,9.588850174216027,7.414634146341464,5.0,11.414634146341463,12.895470383275262,11.195121951219512,9.484320557491289,4.574912891986063,6.414634146341464,10.484320557491289,19.40418118466899,5.0,11.139372822299652,12,6,7,8,3,11,13,6,9,5,6,7,9,10,17,11,8,5,12,16,13,10,5,7,11,24,5,14,239.96,250,4620,87.73
150,13.0,9.0,9.0,12.0,6.0,13.64459930313589,14.452961672473867,6.0,9.094076655052264,5.386759581881533,8.285714285714286,7.0,10.0,10.0,14.752613240418118,13.428571428571429,8.386759581881533,6.456445993031359,12.414634146341463,13.484320557491289,11.470383275261325,12.456445993031359,7.574912891986063,7.386759581881533,12.19163763066202,20.40418118466899,6.0,13.257839721254355,13,9,9,12,6,14,15,6,10,6,9,7,10,10,18,16,9,7,13,16,12,13,8,8,14,25,6,17,286.66,302,5535,99.55
175,13.83623693379791,10.0,9.0,19.114982578397214,8.0,16.644599303135887,17.923344947735192,10.0,11.094076655052264,10.275261324041812,9.285714285714286,7.0,10.885017421602788,11.278745644599303,16.752613240418118,13.041811846689896,11.386759581881533,7.456445993031359,12.414634146341463,14.94773519163763,11.470383275261325,14.456445993031359,9.038327526132404,7.386759581881533,13.19163763066202,21.40418118466899,6.0,16.34494773519164,16,10,9,22,8,17,22,10,12,13,10,7,13,12,20,15,12,8,13,18,12,15,10,8,15,26,6,23,330.43,354,6402,117.37
200,16.28919860627178,11.452961672473867,11.282229965156795,21.28919860627178,9.369337979094077,17.930313588850176,17.9198606271777,10.0,14.094076655052264,11.623693379790941,10.285714285714286,8.0,11.006968641114982,14.0,17.121951219512194,15.041811846689896,11.67247386759582,8.456445993031359,14.867595818815332,14.94773519163763,12.470383275261325,19.73170731707317,9.038327526132404,8.386759581881533,14.641114982578397,22.40418118466899,6.0,17.024390243902438,19,12,12,24,10,19,22,10,15,14,11,8,14,14,21,17,13,9,16,18,13,21,10,9,17,27,6,23,366.48,396,7314,142.98
225,18.571428571428573,13.452961672473867,14.282229965156795,23.571428571428573,10.362369337979095,18.644599303135887,20.466898954703833,10.0,15.094076655052264,14.630662020905923,12.362369337979095,10.452961672473867,13.006968641114982,15.452961672473867,19.658536585365855,16.588850174216027,13.386759581881533,10.456445993031359,18.86759581881533,15.94773519163763,12.470383275261325,20.181184668989548,10.045296167247386,8.386759581881533,15.35540069686411,24.40418118466899,7.449477351916376,18.930313588850176,22,14,15,27,11,19,24,10,16,17,13,11,16,16,23,18,14,11,20,19,13,22,11,9,17,29,8,25,412.61,442,7818,144.91
250,20.902439024390244,13.452961672473867,14.0,23.766550522648085,13.369337979094077,20.317073170731707,22.658536585365855,11.0,16.094076655052266,19.609756097560975,12.285714285714286,11.871080139372822,14.641114982578397,16.45296167247387,20.665505226480835,18.418118466898953,15.501742160278745,10.456445993031359,20.86759581881533,16.951219512195124,13.470383275261325,24.020905923344948,15.118466898954704,9.278745644599303,16.421602787456447,24.094076655052266,9.449477351916377,21.045296167247386,26,14,14,28,14,22,25,11,17,25,13,13,15,17,24,21,16,11,22,21,14,28,19,10,20,29,10,29,452.69,492,8718,162.51
275,22.020905923344948,13.445993031358885,16.0,26.045296167247386,14.369337979094077,19.644599303135887,24.37630662020906,12.0,19.094076655052266,19.609756097560975,15.285714285714286,13.871080139372822,17.006968641114984,16.64808362369338,22.341463414634145,20.700348432055748,17.644599303135887,11.456445993031359,22.766550522648085,19.76306620209059,14.470383275261325,25.989547038327526,15.641114982578397,10.749128919860627,17.421602787456447,24.972125435540068,12.449477351916377,22.181184668989548,26,14,16,31,15,20,29,12,20,25,16,15,20,18,27,24,21,12,25,24,15,31,19,12,21,31,13,30,491.88,538,9420,185.38
300,23.031358885017422,20.365853658536587,17.0,27.81184668989547,18.21602787456446,20.644599303135887,24.094076655052266,13.0,20.372822299651567,19.60278745644599,17.285714285714285,15.013937282229966,16.641114982578397,22.142857142857142,23.536585365853657,23.696864111498257,17.644599303135887,11.456445993031359,23.766550522648085,20.94425087108014,14.470383275261325,27.445993031358885,15.634146341463415,12.278745644599303,17.421602787456447,24.972125435540068,12.449477351916377,25.010452961672474,27,22,17,33,20,21,25,13,22,25,18,16,17,23,29,27,21,12,26,24,15,33,19,13,21,31,13,33,530.36,576,10242,200.09
325,23.310104529616726,22.930313588850176,18.0,27.35191637630662,18.21602787456446,20.644599303135887,27.797909407665504,14.0,22.801393728222997,23.010452961672474,17.0,15.013937282229966,20.372822299651567,23.142857142857142,28.233449477351915,25.64808362369338,17.644599303135887,16.714285714285715,26.885017421602786,23.665505226480835,15.132404181184668,28.445993031358885,18.634146341463413,16.735191637630663,20.135888501742162,25.972125435540068,15.749128919860627,26.282229965156795,28,26,18,32,20,21,32,14,25,32,17,16,24,24,36,30,21,20,32,28,17,34,22,18,23,32,17,35,574.08,626,11214,222.7
350,26.320557491289197,28.2404181184669,18.29268292682927,29.797909407665504,20.10801393728223,21.644599303135887,29.94773519163763,16.0,23.128919860627178,23.233449477351915,19.247386759581882,18.609756097560975,20.37979094076655,24.29616724738676,27.846689895470384,25.121951219512194,16.912891986062718,17.38327526132404,25.149825783972126,24.923344947735192,16.470383275261323,28.641114982578397,18.797909407665504,18.205574912891986,20.27177700348432,26.264808362369337,16.449477351916375,26.480836236933797,33,33,19,35,22,22,34,16,25,34,20,21,22,26,34,28,19,21,27,29,17,35,22,20,23,33,17,35,607.16,666,11733,224.89
