n_requests,avg_transceivers_node_0,avg_transceivers_node_1,avg_transceivers_node_2,avg_transceivers_node_3,avg_transceivers_node_4,avg_transceivers_node_5,avg_transceivers_node_6,avg_transceivers_node_7,avg_transceivers_node_8,avg_transceivers_node_9,avg_transceivers_node_10,avg_transceivers_node_11,avg_transceivers_node_12,avg_transceivers_node_13,avg_transceivers_node_14,avg_transceivers_node_15,avg_transceivers_node_16,avg_transceivers_node_17,avg_transceivers_node_18,avg_transceivers_node_19,avg_transceivers_node_20,avg_transceivers_node_21,avg_transceivers_node_22,avg_transceivers_node_23,avg_transceivers_node_24,avg_transceivers_node_25,max_transceivers_node_0,max_transceivers_node_1,max_transceivers_node_2,max_transceivers_node_3,max_transceivers_node_4,max_transceivers_node_5,max_transceivers_node_6,max_transceivers_node_7,max_transceivers_node_8,max_transceivers_node_9,max_transceivers_node_10,max_transceivers_node_11,max_transceivers_node_12,max_transceivers_node_13,max_transceivers_node_14,max_transceivers_node_15,max_transceivers_node_16,max_transceivers_node_17,max_transceivers_node_18,max_transceivers_node_19,max_transceivers_node_20,max_transceivers_node_21,max_transceivers_node_22,max_transceivers_node_23,max_transceivers_node_24,max_transceivers_node_25,avg_transceivers,max_transceivers,sum_slots,avg_max_slot
100,7.383275261324042,10.0,6.0,7.0,6.0,8.668989547038327,6.0,12.0,7.0,5.0,9.0,6.0,6.0,8.0,5.0,6.0,7.0,8.0,2.0,7.0,8.0,8.289198606271777,4.289198606271777,8.0,10.285714285714286,8.0,9,10,6,7,6,11,6,12,7,5,9,6,6,8,5,6,7,8,2,7,8,9,5,8,11,8,185.15,188,3081,52.75
125,12.170731707317072,11.0,8.0,8.689895470383275,7.2822299651567945,9.668989547038327,8.0,14.226480836236934,10.278745644599303,5.0,9.0,8.452961672473867,8.296167247386759,10.452961672473867,7.7526132404181185,10.0,7.0,12.0,2.0,9.0,8.285714285714286,11.696864111498257,6.289198606271777,9.0,10.581881533101045,10.097560975609756,16,11,8,11,8,12,8,16,11,5,9,9,9,11,9,10,7,12,2,9,9,14,7,9,12,12,230.79,244,4002,68.39
150,13.170731707317072,14.041811846689896,8.0,8.689895470383275,7.7386759581881535,12.668989547038327,9.0,15.519163763066203,13.024390243902438,10.588850174216027,11.0,8.449477351916377,10.0,11.905923344947736,8.752613240418118,12.456445993031359,9.0,15.0,3.0,11.0,12.285714285714286,15.153310104529616,8.289198606271777,10.0,12.285714285714286,11.097560975609756,17,16,8,11,9,15,9,18,15,12,11,9,10,13,10,13,9,15,3,11,13,18,9,10,13,13,275.43,290,4794,80.14
175,13.170731707317072,15.588850174216027,9.0,10.449477351916377,7.905923344947735,15.132404181184668,11.0,15.588850174216027,12.278745644599303,14.588850174216027,13.0,9.452961672473867,10.0,15.369337979094077,9.752613240418118,16.45644599303136,12.0,16.13240418118467,4.0,14.0,13.285714285714286,17.45644599303136,10.0,12.13588850174216,12.285714285714286,13.45993031358885,17,17,9,11,9,18,11,18,13,16,13,10,10,17,11,17,12,17,4,14,14,18,10,13,13,16,318.79,336,5451,92.04
200,12.815331010452962,19.069686411149824,11.0,13.986062717770034,7.905923344947735,18.285714285714285,12.0,15.898954703832752,14.0,15.588850174216027,14.0,9.452961672473867,10.0,16.369337979094077,10.362369337979095,19.45644599303136,14.0,19.864111498257838,7.0,18.0,14.0,19.65505226480836,10.0,13.613240418118467,16.45993031358885,16.372822299651567,14,23,11,15,9,21,12,17,14,17,14,10,10,18,11,20,14,24,7,18,14,21,10,15,18,19,364.11,384,6312,105.82
225,15.331010452961673,20.069686411149824,15.0,14.986062717770034,8.905923344947736,21.45993031358885,13.0,17.846689895470384,17.285714285714285,18.905923344947734,18.0,9.452961672473867,12.64808362369338,16.909407665505228,10.627177700348431,20.45644599303136,14.0,21.118466898954704,7.0,21.658536585365855,16.421602787456447,21.766550522648085,12.0,13.435540069686411,17.592334494773517,17.362369337979093,17,24,15,16,10,27,13,20,18,21,18,10,13,18,11,21,14,25,7,22,17,23,12,15,19,18,406.44,428,6993,121.25
250,17.533101045296167,20.64808362369338,15.0,15.989547038327526,10.435540069686411,20.13240418118467,16.0,18.846689895470384,21.7595818815331,19.909407665505228,20.0,10.449477351916377,14.64808362369338,19.905923344947734,10.951219512195122,20.930313588850176,17.0,24.229965156794425,9.0,23.18815331010453,19.49128919860627,21.118466898954704,12.0,15.940766550522648,18.78048780487805,20.362369337979093,19,25,15,17,12,24,16,21,23,22,20,11,15,21,12,22,17,27,9,24,21,22,12,17,21,21,449.44,474,7935,135.07
275,18.533101045296167,20.64808362369338,16.45993031358885,19.031358885017422,11.435540069686411,20.75609756097561,17.0,18.494773519163765,24.473867595818817,24.909407665505228,25.0,10.463414634146341,16.64808362369338,23.37979094076655,12.777003484320558,21.930313588850176,17.0,24.29616724738676,10.0,24.18815331010453,23.49128919860627,22.689895470383274,16.28919860627178,18.94076655052265,20.797909407665504,21.822299651567945,20,25,17,23,13,24,17,20,25,27,25,11,17,25,16,23,17,27,10,25,25,25,17,20,23,23,495.99,524,8808,153.43
300,20.156794425087107,20.64808362369338,17.313588850174217,19.48780487804878,11.435540069686411,20.62369337979094,20.0,19.78048780487805,27.61672473867596,24.909407665505228,26.073170731707318,12.912891986062718,19.808362369337978,25.369337979094077,16.64808362369338,22.850174216027874,17.9198606271777,24.874564459930312,10.0,25.139372822299652,22.658536585365855,24.62020905923345,18.874564459930312,22.613240418118465,23.94076655052265,22.72822299651568,22,25,19,24,13,24,20,22,30,27,27,14,22,27,21,25,19,28,10,27,24,28,20,24,28,26,528.65,568,9486,170.82
325,22.156794425087107,22.48432055749129,19.121951219512194,19.48780487804878,12.703832752613241,21.902439024390244,20.445993031358885,20.529616724738677,27.71080139372822,24.909407665505228,26.609756097560975,13.202090592334494,19.993031358885016,28.069686411149824,20.4390243902439,21.930313588850176,19.0,27.752613240418118,10.0,27.860627177700348,25.425087108013937,27.282229965156795,20.574912891986063,26.181184668989548,25.794425087108014,25.94425087108014,24,29,21,24,16,25,21,24,29,27,30,15,22,31,28,23,19,34,10,31,27,32,22,31,30,31,562.47,612,10062,185.43
350,24.090592334494772,23.592334494773517,21.94773519163763,20.48780487804878,13.435540069686411,22.714285714285715,27.993031358885016,21.24390243902439,30.721254355400696,27.48780487804878,27.21254355400697,16.202090592334496,22.229965156794425,28.4006968641115,24.101045296167246,24.29268292682927,20.282229965156795,30.066202090592334,10.0,28.808362369337978,27.337979094076655,26.926829268292682,24.94425087108014,27.56794425087108,28.121951219512194,25.89547038327526,26,31,24,25,15,26,31,24,34,31,30,18,27,31,34,27,21,36,10,31,30,32,29,33,34,30,607.09,668,11070,206.54
375,24.89547038327526,26.679442508710803,26.076655052264808,23.48432055749129,16.662020905923345,23.181184668989548,30.013937282229964,22.878048780487806,31.45296167247387,29.853658536585368,28.641114982578397,17.902439024390244,23.749128919860627,28.9198606271777,24.634146341463413,25.114982578397214,20.0,32.11498257839721,10.0,31.26829268292683,27.714285714285715,29.72473867595819,27.64808362369338,31.50871080139373,28.533101045296167,27.89198606271777,27,36,29,28,20,27,32,26,34,34,32,22,30,33,34,29,20,37,10,35,31,36,32,40,36,32,641.36,706,12075,215.11
400,27.334494773519165,27.679442508710803,27.076655052264808,24.72473867595819,20.662020905923345,24.195121951219512,33.01393728222997,23.1602787456446,35.89198606271777,31.585365853658537,30.770034843205575,18.902439024390244,26.407665505226483,28.9198606271777,25.912891986062718,27.477351916376307,23.9198606271777,33.11498257839721,13.0,34.41114982578397,31.81184668989547,29.790940766550523,30.902439024390244,31.50871080139373,28.860627177700348,31.89198606271777,30,37,30,30,24,28,35,27,43,37,35,23,31,33,36,34,25,38,13,39,35,36,36,40,35,36,687.83,758,13173,236.57
425,29.334494773519165,28.16376306620209,29.05923344947735,25.48432055749129,21.871080139372822,24.571428571428573,33.00696864111498,24.89198606271777,36.602787456445995,32.57839721254356,32.47386759581882,20.902439024390244,25.05923344947735,28.9198606271777,27.912891986062718,28.146341463414632,25.4390243902439,34.02439024390244,15.0,35.77351916376307,33.21602787456446,30.442508710801395,31.662020905923345,33.54006968641115,30.45296167247387,34.34146341463415,32,36,32,30,25,29,35,28,44,38,38,25,28,33,38,35,28,40,15,41,37,36,36,43,35,39,721.61,796,13626,242.04
450,31.773519163763066,29.05574912891986,31.066202090592334,28.425087108013937,22.81184668989547,25.54355400696864,32.52613240418118,24.418118466898953,37.13588850174216,31.48780487804878,33.926829268292686,22.209059233449477,28.390243902439025,32.045296167247386,29.414634146341463,27.149825783972126,28.466898954703833,34.00696864111498,15.285714285714286,35.87456445993031,33.22996515679443,32.66550522648084,35.12543554006969,37.292682926829265,35.181184668989545,35.26132404181185,37,37,35,35,25,30,34,27,44,35,39,24,33,37,39,33,32,40,16,41,35,41,40,47,45,41,756.26,838,14103,260.89
475,30.843205574912893,31.874564459930312,33.33797909407666,26.94076655052265,24.18466898954704,27.045296167247386,34.386759581881535,25.418118466898953,39.041811846689896,33.21254355400697,37.397212543554005,25.37630662020906,29.18466898954704,32.829268292682926,30.70731707317073,29.358885017421603,27.519163763066203,34.45296167247387,16.285714285714285,39.937282229965156,35.149825783972126,35.97909407665505,37.055749128919864,38.58188153310105,35.96864111498258,37.714285714285715,35,41,38,32,28,32,37,28,48,40,45,28,33,38,41,36,29,41,17,46,38,45,42,48,44,44,793.95,882,14967,273.14
