n_requests,avg_transceivers_node_0,avg_transceivers_node_1,avg_transceivers_node_2,avg_transceivers_node_3,avg_transceivers_node_4,avg_transceivers_node_5,avg_transceivers_node_6,avg_transceivers_node_7,avg_transceivers_node_8,avg_transceivers_node_9,avg_transceivers_node_10,avg_transceivers_node_11,avg_transceivers_node_12,avg_transceivers_node_13,avg_transceivers_node_14,avg_transceivers_node_15,avg_transceivers_node_16,avg_transceivers_node_17,avg_transceivers_node_18,avg_transceivers_node_19,avg_transceivers_node_20,avg_transceivers_node_21,avg_transceivers_node_22,avg_transceivers_node_23,avg_transceivers_node_24,avg_transceivers_node_25,max_transceivers_node_0,max_transceivers_node_1,max_transceivers_node_2,max_transceivers_node_3,max_transceivers_node_4,max_transceivers_node_5,max_transceivers_node_6,max_transceivers_node_7,max_transceivers_node_8,max_transceivers_node_9,max_transceivers_node_10,max_transceivers_node_11,max_transceivers_node_12,max_transceivers_node_13,max_transceivers_node_14,max_transceivers_node_15,max_transceivers_node_16,max_transceivers_node_17,max_transceivers_node_18,max_transceivers_node_19,max_transceivers_node_20,max_transceivers_node_21,max_transceivers_node_22,max_transceivers_node_23,max_transceivers_node_24,max_transceivers_node_25,avg_transceivers,max_transceivers,sum_slots,avg_max_slot
100,5.0,8.0,8.0,9.0,7.0,4.0,11.0,11.0,5.0,9.0,12.205574912891986,5.0,7.0,6.0,10.505226480836237,11.550522648083623,8.0,4.0,9.0,8.0,6.0,6.0,6.0,5.505226480836237,5.0,6.655052264808362,5,8,8,9,7,4,11,11,5,9,14,5,7,6,11,13,8,4,9,8,6,6,6,6,5,7,192.32,194,3282,54.93
125,8.0,10.369337979094077,10.0,12.369337979094077,10.0,6.0,13.0,12.825783972125436,7.0,10.0,14.205574912891986,6.0,10.0,7.456445993031359,13.505226480836237,11.550522648083623,8.0,5.456445993031359,11.0,8.0,8.0,6.0,9.0,5.505226480836237,8.0,11.480836236933797,8,11,10,13,10,6,13,15,7,10,16,6,10,8,14,13,8,6,11,8,8,6,9,6,8,14,240.52,246,4197,71.75
150,10.0,11.369337979094077,12.282229965156795,13.369337979094077,14.282229965156795,7.0,14.0,13.825783972125436,11.0,12.0,15.480836236933797,8.0,11.0,9.456445993031359,16.505226480836235,14.825783972125436,10.0,10.456445993031359,13.0,11.0,9.0,6.0,9.0,8.505226480836237,8.0,12.480836236933797,10,12,13,14,15,7,14,16,11,12,18,8,11,10,17,17,10,11,13,11,9,6,9,9,8,15,289.64,298,5124,88.5
175,13.0,12.369337979094077,14.815331010452962,16.369337979094077,14.846689895470384,9.0,16.0,16.825783972125436,14.0,13.0,17.62369337979094,9.0,12.547038327526133,11.456445993031359,17.355400696864113,15.550522648083623,10.0,11.456445993031359,17.696864111498257,14.567944250871081,10.829268292682928,6.2787456445993035,11.567944250871081,10.599303135888501,8.0,15.480836236933797,13,13,18,17,17,9,16,19,14,13,20,9,13,12,18,17,10,12,18,16,12,7,13,12,8,18,334.29,348,5640,97.32
200,16.0,15.369337979094077,18.017421602787458,17.369337979094077,19.027874564459932,11.0,16.0,17.825783972125436,15.0,15.0,18.62369337979094,10.0,13.547038327526133,13.456445993031359,21.912891986062718,16.550522648083625,10.466898954703833,12.94425087108014,20.0,15.975609756097562,11.829268292682928,6.2787456445993035,15.567944250871081,12.05226480836237,10.0,15.480836236933797,16,16,21,18,21,11,16,20,15,15,21,10,14,14,23,18,11,14,20,18,13,7,17,13,10,18,379.34,394,6753,110.0
225,18.0,17.369337979094077,19.679442508710803,18.369337979094077,20.853658536585368,14.0,16.0,19.825783972125436,17.662020905923345,17.407665505226483,19.62369337979094,10.0,14.456445993031359,17.51219512195122,23.912891986062718,17.550522648083625,11.86411149825784,13.94425087108014,22.0,16.463414634146343,11.829268292682928,7.2787456445993035,16.56794425087108,14.993031358885018,14.024390243902438,17.480836236933797,18,18,23,19,23,14,16,22,18,18,22,10,15,20,25,19,13,15,22,19,13,8,18,16,16,20,420.63,440,7392,123.0
250,21.28919860627178,19.369337979094077,22.21951219512195,19.83275261324042,20.864111498257838,15.0,18.0,22.72822299651568,17.902439024390244,17.0,20.073170731707318,12.83623693379791,16.0,17.51219512195122,24.912891986062718,17.449477351916375,12.707317073170731,14.484320557491289,22.533101045296167,17.090592334494772,12.536585365853659,8.278745644599303,18.149825783972126,16.21254355400697,18.031358885017422,19.480836236933797,24,20,26,21,23,15,18,26,19,17,21,15,16,20,26,18,14,16,23,20,14,9,20,17,20,22,454.44,480,7950,133.43
275,22.75609756097561,20.369337979094077,22.21951219512195,23.59581881533101,23.198606271777003,15.0,19.334494773519165,24.18466898954704,20.902439024390244,17.0,20.62369337979094,13.83623693379791,18.745644599303137,17.05574912891986,27.581881533101047,19.0,15.986062717770034,16.027874564459932,22.533101045296167,20.083623693379792,14.536585365853659,11.557491289198607,20.421602787456447,17.578397212543553,19.94773519163763,20.32752613240418,26,21,26,26,28,15,22,28,22,17,23,16,20,19,30,21,18,17,23,23,16,13,23,19,22,24,492.17,522,8805,142.82
300,24.195121951219512,20.369337979094077,25.658536585365855,25.742160278745644,26.18815331010453,15.0,20.334494773519165,27.355400696864113,21.35191637630662,19.463414634146343,24.912891986062718,17.43205574912892,21.473867595818817,17.51219512195122,28.519163763066203,20.0,18.45644599303136,16.48432055749129,22.533101045296167,21.738675958188153,15.829268292682928,11.965156794425088,20.829268292682926,20.505226480836235,24.979094076655052,22.850174216027874,28,21,30,28,31,15,23,32,23,20,28,20,23,20,32,22,23,18,23,25,17,14,24,22,29,29,535.86,576,9855,163.5
325,24.386759581881535,22.94425087108014,28.010452961672474,26.742160278745644,29.083623693379792,16.578397212543553,21.745644599303137,27.45644599303136,23.414634146341463,20.463414634146343,26.94425087108014,17.43205574912892,23.11149825783972,19.05574912891986,30.45296167247387,21.0,21.21254355400697,18.83623693379791,23.533101045296167,21.738675958188153,17.278745644599304,12.557491289198607,21.83275261324042,22.0801393728223,26.979094076655052,21.923344947735192,29,24,34,29,36,17,25,33,27,21,30,20,26,21,34,23,24,22,24,25,19,14,25,24,31,25,571.37,618,10506,184.61
350,27.222996515679444,24.94425087108014,28.843205574912893,29.034843205574912,29.170731707317074,21.578397212543553,24.745644599303137,28.73170731707317,26.156794425087107,22.407665505226483,29.630662020905923,19.069686411149824,22.923344947735192,21.550522648083625,31.578397212543553,22.27526132404181,22.393728222996515,20.21602787456446,24.571428571428573,22.226480836236934,19.533101045296167,13.557491289198607,22.407665505226483,25.627177700348433,27.097560975609756,23.45993031358885,34,26,35,33,36,22,28,35,31,23,36,24,24,26,35,25,25,24,27,26,21,15,26,29,31,27,611.54,668,11418,197.54
375,29.641114982578397,25.637630662020907,29.679442508710803,29.034843205574912,28.51567944250871,23.717770034843205,26.045296167247386,33.51567944250871,28.808362369337978,23.463414634146343,32.78397212543554,21.069686411149824,23.65505226480836,24.88850174216028,33.602787456445995,23.0,22.21254355400697,22.32404181184669,26.32404181184669,22.86759581881533,19.822299651567945,14.83623693379791,26.306620209059233,27.174216027874564,29.069686411149824,24.749128919860627,37,27,36,33,36,25,31,43,33,24,42,26,26,28,37,25,25,28,30,27,22,17,34,31,34,29,649.79,718,12072,211.43
