n_requests,avg_transceivers_node_0,avg_transceivers_node_1,avg_transceivers_node_2,avg_transceivers_node_3,avg_transceivers_node_4,avg_transceivers_node_5,avg_transceivers_node_6,avg_transceivers_node_7,avg_transceivers_node_8,avg_transceivers_node_9,avg_transceivers_node_10,avg_transceivers_node_11,avg_transceivers_node_12,avg_transceivers_node_13,avg_transceivers_node_14,avg_transceivers_node_15,avg_transceivers_node_16,avg_transceivers_node_17,avg_transceivers_node_18,avg_transceivers_node_19,avg_transceivers_node_20,avg_transceivers_node_21,avg_transceivers_node_22,avg_transceivers_node_23,avg_transceivers_node_24,avg_transceivers_node_25,max_transceivers_node_0,max_transceivers_node_1,max_transceivers_node_2,max_transceivers_node_3,max_transceivers_node_4,max_transceivers_node_5,max_transceivers_node_6,max_transceivers_node_7,max_transceivers_node_8,max_transceivers_node_9,max_transceivers_node_10,max_transceivers_node_11,max_transceivers_node_12,max_transceivers_node_13,max_transceivers_node_14,max_transceivers_node_15,max_transceivers_node_16,max_transceivers_node_17,max_transceivers_node_18,max_transceivers_node_19,max_transceivers_node_20,max_transceivers_node_21,max_transceivers_node_22,max_transceivers_node_23,max_transceivers_node_24,max_transceivers_node_25,avg_transceivers,max_transceivers,sum_slots,avg_max_slot
100,8.0,5.2822299651567945,9.0,7.83623693379791,3.0,8.024390243902438,6.0,6.0,6.0,6.0,5.0,5.0,11.627177700348431,11.0,6.442508710801394,6.857142857142857,8.0,10.679442508710801,5.0,4.442508710801394,6.843205574912892,11.076655052264808,10.320557491289199,7.0,7.320557491289199,9.0,8,6,9,10,3,9,6,6,6,6,5,5,12,11,7,8,8,15,5,5,9,12,11,7,8,9,189.22,198,3285,58.25
125,8.0,6.2822299651567945,10.554006968641115,10.390243902439025,4.0,11.024390243902438,7.0,7.0,7.0,9.0,7.0,7.0,14.463414634146341,13.550522648083623,10.442508710801393,7.857142857142857,11.0,12.679442508710801,6.0,5.442508710801394,9.393728222996515,12.912891986062718,13.320557491289199,10.0,10.320557491289199,9.0,8,7,11,13,4,12,7,7,7,9,7,7,15,15,11,9,11,17,6,6,13,14,14,10,11,9,238.0,248,4014,70.75
150,9.0,8.282229965156795,11.554006968641115,11.390243902439025,6.825783972125436,13.484320557491289,7.45993031358885,11.578397212543553,8.0,9.0,7.0,11.578397212543553,16.463414634146343,15.550522648083623,12.442508710801393,8.857142857142858,13.397212543554007,14.470383275261325,9.0,11.268292682926829,10.184668989547038,12.912891986062718,13.397212543554007,11.0,13.0,13.0,9,9,12,14,9,15,8,13,8,9,7,13,17,17,13,10,14,17,9,14,12,14,14,11,13,13,284.68,298,4833,86.07
175,11.567944250871081,8.282229965156795,14.574912891986063,10.83623693379791,8.825783972125436,16.257839721254356,7.7735191637630665,12.578397212543553,8.0,9.0,8.296167247386759,12.578397212543553,20.031358885017422,19.0,13.442508710801393,12.54006968641115,13.926829268292684,16.470383275261323,14.418118466898955,12.268292682926829,10.634146341463415,13.912891986062718,14.397212543554007,14.331010452961673,13.0,14.296167247386759,12,9,15,13,11,19,9,14,8,9,9,14,21,19,14,15,15,19,17,15,11,15,15,16,13,15,322.68,342,5499,101.57
200,12.567944250871081,9.282229965156795,17.78745644599303,12.895470383275262,12.599303135888501,18.257839721254356,7.7735191637630665,13.578397212543553,10.0,11.0,10.296167247386759,15.578397212543553,21.031358885017422,22.0,14.442508710801393,13.602787456445993,14.397212543554007,21.153310104529616,18.21602787456446,15.268292682926829,11.843205574912892,13.912891986062718,17.156794425087107,15.331010452961673,13.0,14.714285714285714,13,10,19,17,16,21,9,15,10,11,11,17,22,22,15,16,15,27,21,18,14,15,20,17,13,16,367.36,388,6495,113.32
225,14.567944250871081,11.282229965156795,19.930313588850176,14.895470383275262,12.599303135888501,20.477351916376307,8.118466898954704,17.578397212543553,11.0,12.536585365853659,12.296167247386759,16.578397212543553,24.554006968641115,23.0,15.466898954703833,17.48432055749129,15.0,21.153310104529616,20.480836236933797,18.65505226480836,15.843205574912892,14.912891986062718,17.226480836236934,15.581881533101045,15.721254355400697,15.714285714285714,15,12,21,19,16,23,9,19,11,13,13,18,27,23,16,21,15,27,23,22,18,16,20,16,18,17,412.51,436,7359,132.32
250,18.48780487804878,14.282229965156795,21.386759581881535,14.9198606271777,12.825783972125436,21.902439024390244,9.118466898954704,21.118466898954704,12.0,13.456445993031359,13.466898954703833,19.578397212543553,23.264808362369337,27.087108013937282,16.466898954703833,16.592334494773517,16.0,20.679442508710803,22.498257839721255,18.65505226480836,18.70731707317073,15.912891986062718,21.069686411149824,17.581881533101047,18.202090592334496,16.885017421602786,21,15,23,18,15,24,10,23,12,14,14,21,26,29,17,19,16,25,28,22,25,17,22,18,22,18,451.11,478,8112,142.61
275,19.770034843205575,18.45644599303136,27.362369337979093,18.020905923344948,14.825783972125436,21.961672473867594,9.174216027874564,23.975609756097562,12.0,14.926829268292684,14.466898954703833,22.017421602787458,25.125435540069688,28.752613240418118,17.466898954703833,18.857142857142858,18.860627177700348,20.470383275261323,23.303135888501743,20.480836236933797,18.94773519163763,15.912891986062718,25.770034843205575,19.083623693379792,19.135888501742162,17.16724738675958,23,21,33,23,17,24,10,27,12,16,15,25,28,31,18,23,21,23,28,26,22,17,29,22,23,19,487.37,524,9039,163.75
300,21.425087108013937,19.45644599303136,28.362369337979093,18.020905923344948,15.825783972125436,22.902439024390244,11.567944250871081,24.975609756097562,13.0,17.926829268292682,15.466898954703833,24.017421602787458,27.125435540069688,28.871080139372822,19.0,20.857142857142858,20.027874564459932,22.578397212543553,23.770034843205575,23.013937282229964,20.156794425087107,17.912891986062718,26.770034843205575,22.083623693379792,23.135888501742162,18.885017421602786,25,22,34,23,18,25,13,28,13,19,16,27,30,31,19,25,22,28,28,28,25,19,30,25,27,20,529.94,568,9867,177.32
325,24.982578397212542,21.37630662020906,29.65505226480836,17.76306620209059,16.38327526132404,22.902439024390244,12.567944250871081,26.905923344947734,13.0,19.749128919860627,16.466898954703833,26.550522648083625,27.114982578397214,31.470383275261323,19.466898954703833,24.51219512195122,21.094076655052266,23.369337979094077,27.766550522648085,22.75609756097561,22.087108013937282,21.721254355400696,27.735191637630663,22.083623693379792,26.23693379790941,21.013937282229964,29,25,36,22,19,25,14,30,13,21,17,32,30,36,20,30,25,27,33,29,27,25,31,25,32,25,562.62,610,10740,192.75
