n_requests,avg_transceivers_node_0,avg_transceivers_node_1,avg_transceivers_node_2,avg_transceivers_node_3,avg_transceivers_node_4,avg_transceivers_node_5,avg_transceivers_node_6,avg_transceivers_node_7,avg_transceivers_node_8,avg_transceivers_node_9,avg_transceivers_node_10,avg_transceivers_node_11,avg_transceivers_node_12,avg_transceivers_node_13,avg_transceivers_node_14,avg_transceivers_node_15,avg_transceivers_node_16,avg_transceivers_node_17,avg_transceivers_node_18,avg_transceivers_node_19,avg_transceivers_node_20,avg_transceivers_node_21,avg_transceivers_node_22,avg_transceivers_node_23,avg_transceivers_node_24,avg_transceivers_node_25,avg_transceivers_node_26,avg_transceivers_node_27,max_transceivers_node_0,max_transceivers_node_1,max_transceivers_node_2,max_transceivers_node_3,max_transceivers_node_4,max_transceivers_node_5,max_transceivers_node_6,max_transceivers_node_7,max_transceivers_node_8,max_transceivers_node_9,max_transceivers_node_10,max_transceivers_node_11,max_transceivers_node_12,max_transceivers_node_13,max_transceivers_node_14,max_transceivers_node_15,max_transceivers_node_16,max_transceivers_node_17,max_transceivers_node_18,max_transceivers_node_19,max_transceivers_node_20,max_transceivers_node_21,max_transceivers_node_22,max_transceivers_node_23,max_transceivers_node_24,max_transceivers_node_25,max_transceivers_node_26,max_transceivers_node_27,avg_transceivers,max_transceivers,sum_slots,avg_max_slot
100,8.0,4.0,5.0,3.0,3.0,8.0,8.0,5.0,7.0,3.6550522648083623,5.0,6.0,8.0,6.0,13.296167247386759,7.0,7.411149825783972,4.0,8.414634146341463,8.658536585365853,9.470383275261325,8.0,3.5749128919860627,6.411149825783972,8.0,11.989547038327526,5.0,11.139372822299652,8,4,5,3,3,8,8,5,7,4,5,6,8,6,16,7,8,4,9,9,10,8,4,7,8,13,5,14,190.92,198,3702,66.4
125,10.731707317073171,6.0,7.0,8.0,3.0,10.64459930313589,13.0,6.0,8.64459930313589,4.655052264808362,6.0,7.0,9.484320557491289,10.0,13.70034843205575,9.86411149825784,7.411149825783972,5.0,11.414634146341463,12.895470383275262,11.470383275261325,9.0,4.574912891986063,6.411149825783972,10.484320557491289,19.40418118466899,5.0,11.139372822299652,12,6,7,8,3,11,13,6,9,5,6,7,10,10,17,12,8,5,12,16,14,9,5,7,11,24,5,14,240.5,252,4656,86.05
150,13.0,9.0,9.0,12.0,6.0,13.64459930313589,14.452961672473867,6.0,9.094076655052264,5.386759581881533,8.285714285714286,7.0,10.0,10.0,14.752613240418118,13.428571428571429,8.411149825783973,6.456445993031359,12.414634146341463,13.484320557491289,11.470383275261325,12.456445993031359,7.574912891986063,7.411149825783972,12.19163763066202,20.40418118466899,6.0,13.257839721254355,13,9,9,12,6,14,15,6,10,6,9,7,10,10,18,16,9,7,13,16,12,13,8,8,14,25,6,17,286.71,302,5532,95.93
175,13.83623693379791,10.0,9.0,19.114982578397214,8.0,16.644599303135887,17.923344947735192,10.0,11.094076655052264,10.275261324041812,9.285714285714286,7.0,10.885017421602788,11.278745644599303,16.752613240418118,12.512195121951219,11.411149825783973,7.456445993031359,12.414634146341463,14.94773519163763,11.470383275261325,14.456445993031359,9.038327526132404,7.411149825783972,13.19163763066202,20.874564459930312,6.0,16.34494773519164,16,10,9,22,8,17,22,10,12,13,10,7,13,12,20,14,12,8,13,18,12,15,10,8,15,25,6,23,329.42,352,6174,116.56
200,16.28919860627178,11.731707317073171,11.282229965156795,21.28919860627178,9.369337979094077,17.930313588850176,17.337979094076655,10.0,14.372822299651569,11.623693379790941,10.0,8.0,10.885017421602788,14.0,16.665505226480835,14.512195121951219,11.696864111498257,8.456445993031359,14.867595818815332,14.94773519163763,12.470383275261325,19.73170731707317,9.038327526132404,8.411149825783973,14.35540069686411,21.874564459930312,6.0,16.10801393728223,19,13,12,24,10,19,20,10,16,14,10,8,13,14,20,16,13,9,16,18,13,21,10,9,16,26,6,21,365.22,392,7014,135.11
225,18.571428571428573,13.452961672473867,14.282229965156795,23.571428571428573,10.362369337979095,18.644599303135887,20.466898954703833,10.0,15.094076655052264,14.630662020905923,12.362369337979095,10.452961672473867,13.006968641114982,15.452961672473867,19.658536585365855,16.588850174216027,14.285714285714286,10.456445993031359,18.86759581881533,15.94773519163763,12.470383275261325,20.1602787456446,10.045296167247386,8.411149825783973,15.35540069686411,24.40418118466899,7.445993031358885,18.930313588850176,22,14,15,27,11,19,24,10,16,17,13,11,16,16,23,18,16,11,20,19,13,22,11,9,17,29,8,25,413.51,444,7869,151.9
250,19.571428571428573,13.452961672473867,14.0,23.571428571428573,13.369337979094077,19.930313588850176,22.658536585365855,11.0,16.094076655052266,19.60278745644599,12.285714285714286,11.871080139372822,14.641114982578397,16.45296167247387,20.665505226480835,18.418118466898953,16.738675958188153,10.456445993031359,20.86759581881533,16.75609756097561,13.470383275261325,24.0,14.167247386759582,9.477351916376307,16.027874564459932,24.094076655052266,9.445993031358885,21.045296167247386,23,14,14,27,14,21,25,11,17,25,13,13,15,17,24,21,19,11,22,20,14,28,17,10,19,29,10,29,452.52,490,8778,168.91
275,22.303135888501743,13.445993031358885,16.0,26.34843205574913,14.369337979094077,20.578397212543553,24.505226480836235,12.0,19.094076655052266,19.609756097560975,15.285714285714286,13.871080139372822,16.641114982578397,16.64808362369338,22.341463414634145,20.700348432055748,17.097560975609756,11.456445993031359,22.32752613240418,19.56794425087108,14.470383275261325,26.278745644599304,16.45644599303136,10.94425087108014,17.027874564459932,24.972125435540068,12.452961672473867,22.181184668989548,27,14,16,31,15,23,27,12,20,25,16,15,17,18,27,24,20,12,24,23,15,32,21,12,20,31,13,30,493.34,540,9654,184.76
300,22.75609756097561,20.365853658536587,17.0,27.905923344947734,17.825783972125436,22.066202090592334,25.05923344947735,13.0,20.372822299651567,19.609756097560975,17.0,14.874564459930314,16.641114982578397,22.0,23.797909407665504,22.641114982578397,17.38327526132404,11.456445993031359,23.32752613240418,20.94425087108014,14.470383275261325,27.735191637630663,17.031358885017422,13.229965156794425,17.027874564459932,24.5609756097561,12.452961672473867,25.010452961672474,26,22,17,32,19,26,27,13,22,25,17,16,17,23,29,25,21,12,25,24,15,34,23,15,20,31,13,33,532.89,582,10446,191.85
325,23.494773519163765,22.937282229965156,18.0,28.365853658536587,17.825783972125436,21.21602787456446,27.303135888501743,14.0,22.801393728222997,23.010452961672474,17.0,14.89198606271777,19.505226480836235,23.017421602787458,26.797909407665504,25.581881533101047,17.097560975609756,16.742160278745644,25.609756097560975,22.937282229965156,14.470383275261325,28.449477351916375,19.905923344947734,17.4006968641115,19.742160278745644,25.773519163763066,15.452961672473867,26.71080139372822,28,26,18,33,19,23,31,14,25,32,17,16,24,24,32,30,20,20,28,26,15,34,25,19,22,31,16,36,572.98,620,11124,212.23
