n_requests,avg_transceivers_node_0,avg_transceivers_node_1,avg_transceivers_node_2,avg_transceivers_node_3,avg_transceivers_node_4,avg_transceivers_node_5,avg_transceivers_node_6,avg_transceivers_node_7,avg_transceivers_node_8,avg_transceivers_node_9,avg_transceivers_node_10,avg_transceivers_node_11,avg_transceivers_node_12,avg_transceivers_node_13,avg_transceivers_node_14,avg_transceivers_node_15,avg_transceivers_node_16,avg_transceivers_node_17,avg_transceivers_node_18,avg_transceivers_node_19,avg_transceivers_node_20,avg_transceivers_node_21,avg_transceivers_node_22,avg_transceivers_node_23,avg_transceivers_node_24,avg_transceivers_node_25,avg_transceivers_node_26,avg_transceivers_node_27,max_transceivers_node_0,max_transceivers_node_1,max_transceivers_node_2,max_transceivers_node_3,max_transceivers_node_4,max_transceivers_node_5,max_transceivers_node_6,max_transceivers_node_7,max_transceivers_node_8,max_transceivers_node_9,max_transceivers_node_10,max_transceivers_node_11,max_transceivers_node_12,max_transceivers_node_13,max_transceivers_node_14,max_transceivers_node_15,max_transceivers_node_16,max_transceivers_node_17,max_transceivers_node_18,max_transceivers_node_19,max_transceivers_node_20,max_transceivers_node_21,max_transceivers_node_22,max_transceivers_node_23,max_transceivers_node_24,max_transceivers_node_25,max_transceivers_node_26,max_transceivers_node_27,avg_transceivers,max_transceivers,sum_slots,avg_max_slot
100,10.91637630662021,4.0,8.0,8.059233449477352,7.825783972125436,7.581881533101045,8.282229965156795,5.0,5.0,2.0,10.477351916376307,6.825783972125436,5.0,6.0,6.0,13.742160278745645,7.0,5.0,9.658536585365853,6.0,6.2822299651567945,9.376306620209059,8.0,6.0,5.0,7.83623693379791,5.83623693379791,9.139372822299652,15,4,8,9,10,8,9,5,5,2,14,9,5,6,6,15,7,5,12,6,7,10,8,6,5,9,8,11,192.95,204,3708,68.71
125,11.425087108013937,9.0,10.0,10.059233449477352,10.184668989547038,10.574912891986063,10.54006968641115,6.0,5.0,3.0,14.477351916376307,7.825783972125436,5.0,8.0,6.0,14.662020905923345,9.275261324041812,6.0,14.731707317073171,7.0,9.64808362369338,10.376306620209059,10.72822299651568,7.0,8.571428571428571,8.310104529616725,6.2020905923344944,9.139372822299652,16,9,10,11,13,11,13,6,5,3,18,10,5,8,6,17,10,6,18,7,11,11,12,7,9,10,9,11,237.02,250,4425,82.43
150,13.91637630662021,10.0,10.0,12.498257839721255,11.184668989547038,11.498257839721255,10.54006968641115,7.0,6.0,6.198606271777003,14.418118466898955,8.825783972125436,6.0,8.0,7.198606271777003,14.662020905923345,11.275261324041812,7.0,14.390243902439025,12.0,13.233449477351916,10.951219512195122,10.72822299651568,11.313588850174217,10.0,8.29965156794425,8.202090592334494,11.139372822299652,18,10,10,13,14,12,13,7,6,7,17,11,6,8,8,17,12,7,19,12,15,12,12,14,10,10,11,13,278.75,296,5379,95.71
175,14.076655052264808,11.554006968641115,10.0,14.885017421602788,11.114982578397212,11.498257839721255,9.742160278745645,8.0,10.613240418118467,7.052264808362369,15.418118466898955,10.37979094076655,8.383275261324043,10.0,9.519163763066203,17.045296167247386,13.275261324041812,8.0,17.777003484320556,13.89198606271777,16.916376306620208,14.125435540069686,15.0,13.313588850174217,11.428571428571429,8.933797909407666,11.236933797909408,12.581881533101045,16,12,10,16,14,12,11,8,13,8,18,13,9,10,11,20,14,8,23,15,21,17,15,16,13,10,16,13,323.07,342,6321,117.0
200,18.076655052264808,13.554006968641115,11.0,16.885017421602786,13.184668989547038,12.498257839721255,10.54006968641115,8.0,11.0,10.968641114982578,18.418118466898953,11.37979094076655,12.383275261324043,11.0,11.45993031358885,17.574912891986063,13.275261324041812,10.0,20.48432055749129,15.707317073170731,17.310104529616726,15.491289198606271,15.72822299651568,15.313588850174217,12.560975609756097,9.463414634146341,13.602787456445993,12.581881533101045,20,14,11,18,16,13,13,8,11,13,21,14,13,11,14,20,14,10,26,16,21,17,17,18,13,10,17,13,367.15,386,7146,138.55
225,18.526132404181183,13.369337979094077,11.0,19.874564459930312,16.38327526132404,15.0801393728223,10.923344947735192,10.0,13.898954703832752,14.303135888501743,22.128919860627178,11.825783972125436,13.9198606271777,12.0801393728223,14.954703832752614,22.18466898954704,17.550522648083625,10.0,24.37630662020906,17.634146341463413,17.73170731707317,17.414634146341463,17.658536585365855,17.313588850174217,13.369337979094077,12.452961672473867,14.602787456445993,13.581881533101045,21,14,11,23,21,16,12,10,15,18,28,14,15,13,18,27,19,10,32,19,22,20,18,20,15,13,18,14,410.64,436,7959,144.88
250,20.34843205574913,15.229965156794425,13.696864111498257,18.285714285714285,18.411149825783973,15.867595818815332,14.655052264808363,12.0,16.958188153310104,13.358885017421603,23.0,12.37979094076655,14.45993031358885,13.763066202090592,13.979094076655052,23.902439024390244,19.0,10.0,24.26829268292683,22.48780487804878,17.752613240418118,19.78745644599303,18.362369337979093,17.313588850174217,15.428571428571429,16.45993031358885,16.60278745644599,18.505226480836235,24,16,14,20,23,17,17,12,19,15,27,15,15,15,16,27,19,10,32,25,22,23,19,20,17,17,20,20,459.26,488,9111,173.52
275,20.341463414634145,15.67595818815331,14.696864111498257,23.26829268292683,18.83623693379791,16.0801393728223,16.285714285714285,13.0,19.958188153310104,14.560975609756097,23.721254355400696,13.118466898954704,15.195121951219512,14.348432055749129,14.986062717770034,27.128919860627178,19.585365853658537,11.0,26.21951219512195,25.229965156794425,18.752613240418118,20.825783972125436,19.71080139372822,18.313588850174217,15.560975609756097,23.738675958188153,18.60278745644599,18.505226480836235,24,16,15,26,22,17,18,13,22,15,28,16,17,17,17,32,21,11,35,31,23,26,21,21,16,30,22,20,497.92,536,10095,187.46
300,20.898954703832754,15.679442508710801,16.355400696864113,23.898954703832754,18.83275261324042,15.581881533101045,19.29616724738676,15.742160278745645,21.407665505226483,15.560975609756097,24.477351916376307,15.118466898954704,16.445993031358885,15.498257839721255,16.933797909407666,30.66898954703833,19.0,11.0,26.519163763066203,31.372822299651567,18.480836236933797,20.825783972125436,20.637630662020907,18.745644599303137,15.560975609756097,23.665505226480835,18.801393728222997,19.041811846689896,25,16,17,26,22,16,21,17,22,16,28,18,18,17,19,35,19,11,34,39,22,26,22,22,16,28,22,20,528.6,566,10347,205.28
325,22.365853658536587,16.679442508710803,18.0801393728223,24.658536585365855,23.32752613240418,19.735191637630663,19.45993031358885,17.742160278745644,22.878048780487806,15.759581881533101,23.411149825783973,15.818815331010454,17.29616724738676,19.10452961672474,18.045296167247386,33.289198606271775,21.470383275261323,11.0,28.749128919860627,31.470383275261323,20.442508710801395,19.878048780487806,23.013937282229964,18.745644599303137,17.097560975609756,27.961672473867594,19.299651567944252,20.034843205574912,26,17,19,27,27,21,21,19,26,17,26,19,19,20,21,39,24,11,38,39,24,24,26,22,18,34,23,21,569.37,616,11196,218.09
350,27.034843205574912,17.470383275261323,18.822299651567945,25.27177700348432,25.773519163763066,19.735191637630663,23.83623693379791,19.742160278745644,24.306620209059233,18.0,24.94076655052265,18.372822299651567,19.34843205574913,21.37630662020906,18.72822299651568,35.142857142857146,22.470383275261323,12.0,29.00348432055749,32.0,21.020905923344948,19.878048780487806,23.979094076655052,19.32404181184669,18.536585365853657,27.961672473867594,20.299651567944252,20.67595818815331,31,19,21,27,30,21,26,21,29,18,28,22,21,24,21,43,25,12,38,40,25,24,28,23,19,34,24,22,605.09,660,11973,244.65
375,26.857142857142858,16.365853658536587,20.0801393728223,26.989547038327526,24.285714285714285,23.10801393728223,24.45296167247387,22.742160278745644,27.902439024390244,19.0,25.94076655052265,17.818815331010452,21.975609756097562,22.777003484320556,20.449477351916375,36.397212543554005,23.78048780487805,13.574912891986063,31.7595818815331,32.73170731707317,21.480836236933797,23.501742160278745,23.979094076655052,19.982578397212542,20.536585365853657,29.5609756097561,23.317073170731707,21.67595818815331,30,17,21,28,27,25,26,24,33,19,29,21,24,26,22,45,26,14,40,40,26,28,28,24,21,37,28,23,646.34,700,12672,245.56
400,26.857142857142858,18.9198606271777,23.358885017421603,28.337979094076655,26.86759581881533,25.365853658536587,27.442508710801395,24.195121951219512,29.581881533101047,21.5609756097561,27.428571428571427,18.951219512195124,23.358885017421603,22.48780487804878,21.878048780487806,37.35191637630662,25.38327526132404,13.574912891986063,33.62020905923345,33.602787456445995,22.70731707317073,24.372822299651567,25.149825783972126,19.874564459930312,21.017421602787458,31.641114982578397,26.10801393728223,25.16376306620209,30,20,25,30,32,28,32,26,34,22,31,23,26,25,24,46,30,14,42,39,27,29,29,23,22,38,32,27,685.17,746,13443,267.18
425,27.609756097560975,19.9198606271777,23.658536585365855,31.65505226480836,28.658536585365855,25.65156794425087,29.804878048780488,25.195121951219512,32.29616724738676,23.0,30.592334494773517,19.66898954703833,27.066202090592334,24.48780487804878,22.066202090592334,38.836236933797906,27.428571428571427,14.574912891986063,36.397212543554005,38.57839721254356,23.846689895470384,24.372822299651567,26.05923344947735,21.445993031358885,21.0,33.01045296167247,27.54006968641115,28.993031358885016,32,21,24,37,34,27,36,27,40,23,36,23,33,27,25,49,33,15,46,48,28,29,30,25,21,40,34,33,716.17,776,13983,279.7
450,30.909407665505228,20.9198606271777,25.031358885017422,32.2404181184669,29.034843205574912,26.65156794425087,28.45644599303136,27.24390243902439,32.721254355400696,24.641114982578397,31.5993031358885,21.66898954703833,27.341463414634145,25.48780487804878,23.592334494773517,40.31358885017421,26.968641114982578,15.574912891986063,35.926829268292686,38.609756097560975,25.11149825783972,25.372822299651567,25.54703832752613,23.89547038327526,26.29616724738676,36.56445993031359,30.0801393728223,29.926829268292682,38,22,27,38,34,28,33,29,39,26,37,25,31,28,26,48,32,16,45,49,28,30,29,28,28,44,37,33,753.96,812,14418,285.22
475,31.466898954703833,24.529616724738677,25.18466898954704,32.47386759581882,32.22996515679443,26.905923344947734,27.989547038327526,26.27526132404181,34.815331010452965,27.49128919860627,32.86759581881533,21.804878048780488,27.693379790940767,26.470383275261323,23.965156794425088,41.21951219512195,25.076655052264808,17.49128919860627,36.05226480836237,40.65156794425087,24.56794425087108,27.313588850174217,26.860627177700348,25.05574912891986,26.466898954703833,37.400696864111495,30.177700348432055,31.334494773519165,38,28,27,36,39,28,32,27,41,29,39,26,32,30,27,49,27,20,46,51,27,33,31,30,29,44,38,34,777.38,834,14937,290.41
500,32.02439024390244,26.069686411149824,26.027874564459932,33.167247386759584,35.20209059233449,29.874564459930312,30.54006968641115,28.191637630662022,38.358885017421606,28.682926829268293,32.47038327526133,22.65156794425087,30.94425087108014,28.048780487804876,25.81533101045296,38.62717770034843,26.686411149825783,16.78048780487805,37.045296167247386,39.801393728223,25.125435540069688,29.714285714285715,29.05923344947735,25.89547038327526,27.202090592334496,38.29616724738676,30.428571428571427,31.0801393728223,40,31,28,38,44,33,34,31,46,31,37,26,36,32,29,44,31,19,47,49,29,36,33,30,29,46,38,33,805.22,864,15051,291.99
525,33.825783972125436,26.54703832752613,26.78397212543554,36.07665505226481,34.68292682926829,29.59581881533101,32.77003484320557,30.006968641114984,38.37282229965157,28.226480836236934,35.01393728222997,23.526132404181183,31.006968641114984,28.83623693379791,27.320557491289197,40.37282229965157,26.414634146341463,18.533101045296167,37.68989547038328,39.285714285714285,24.982578397212542,28.414634146341463,28.72473867595819,27.463414634146343,27.735191637630663,37.5191637630662,29.926829268292682,31.864111498257838,42,31,28,42,43,33,37,35,43,30,39,26,34,32,31,45,28,19,49,48,28,32,34,31,29,43,37,35,824.72,876,15429,290.34
550,34.11149825783972,26.334494773519165,28.23693379790941,36.48780487804878,32.5191637630662,33.822299651567945,32.68989547038328,30.99651567944251,39.91637630662021,29.73170731707317,36.10104529616725,22.94076655052265,31.822299651567945,30.905923344947734,27.529616724738677,41.397212543554005,28.34843205574913,19.65156794425087,38.609756097560975,36.75609756097561,26.247386759581882,28.365853658536587,30.449477351916375,27.177700348432055,29.76306620209059,36.6794425087108,33.609756097560975,32.75609756097561,41,29,30,42,37,40,37,37,45,32,42,25,35,35,30,49,31,21,50,44,31,33,35,31,32,40,43,37,842.3,894,15480,292.46
575,36.01742160278746,28.522648083623693,30.128919860627178,34.9198606271777,34.64459930313589,35.26132404181185,33.51219512195122,33.94773519163763,39.37282229965157,29.696864111498257,36.926829268292686,24.174216027874564,34.42160278745644,31.480836236933797,28.78745644599303,44.08362369337979,28.71080139372822,20.37630662020906,36.44599303135889,37.22996515679443,25.090592334494772,28.313588850174217,30.78397212543554,29.693379790940767,31.693379790940767,40.498257839721255,34.6794425087108,31.749128919860627,42,30,31,42,41,42,38,40,45,32,42,27,39,35,32,57,32,21,44,44,28,32,35,34,34,48,45,36,870.75,930,15897,297.04
600,37.36585365853659,29.51567944250871,31.65156794425087,33.198606271777,34.65853658536585,37.47038327526133,33.64808362369338,33.2404181184669,43.4808362369338,29.979094076655052,40.501742160278745,26.024390243902438,34.174216027874564,30.64808362369338,29.689895470383274,39.90940766550523,32.48780487804878,20.898954703832754,38.12543554006969,38.46341463414634,26.303135888501743,30.961672473867594,31.8397212543554,33.048780487804876,32.73867595818815,44.069686411149824,34.177700348432055,33.58885017421603,47,31,37,39,41,48,38,36,51,33,50,30,38,34,34,47,39,22,49,47,30,37,39,40,37,54,42,38,889.97,960,16158,292.87
625,40.78745644599303,28.010452961672474,30.843205574912893,34.68641114982579,34.742160278745644,36.271777003484324,33.76306620209059,34.836236933797906,44.825783972125436,31.777003484320556,39.79442508710802,25.083623693379792,40.174216027874564,32.815331010452965,29.588850174216027,41.8397212543554,30.818815331010452,21.533101045296167,42.846689895470384,37.41463414634146,29.34843205574913,32.33797909407666,33.30662020905923,36.70383275261324,32.041811846689896,44.18815331010453,34.99651567944251,38.77003484320557,53,29,33,41,43,43,40,40,53,37,48,28,51,38,32,52,36,22,57,43,36,40,41,43,36,57,44,50,902.38,968,16344,292.68
650,36.43205574912892,29.477351916376307,30.916376306620208,35.8815331010453,35.393728222996515,38.3205574912892,35.198606271777,36.5609756097561,49.43554006968641,35.30313588850174,39.13937282229965,26.149825783972126,41.19163763066202,34.0801393728223,30.494773519163765,39.958188153310104,35.944250871080136,23.125435540069688,43.12891986062718,40.78048780487805,28.27177700348432,33.00348432055749,37.30313588850174,39.97909407665505,36.23693379790941,46.33797909407666,36.68989547038328,36.41463414634146,46,34,34,45,43,49,42,46,63,43,50,31,52,43,34,49,44,27,56,47,36,37,47,49,44,60,45,44,924.14,1004,16575,292.65
