n_requests,avg_transceivers_node_0,avg_transceivers_node_1,avg_transceivers_node_2,avg_transceivers_node_3,avg_transceivers_node_4,avg_transceivers_node_5,avg_transceivers_node_6,avg_transceivers_node_7,avg_transceivers_node_8,avg_transceivers_node_9,avg_transceivers_node_10,avg_transceivers_node_11,avg_transceivers_node_12,avg_transceivers_node_13,avg_transceivers_node_14,avg_transceivers_node_15,avg_transceivers_node_16,avg_transceivers_node_17,avg_transceivers_node_18,avg_transceivers_node_19,avg_transceivers_node_20,avg_transceivers_node_21,avg_transceivers_node_22,avg_transceivers_node_23,avg_transceivers_node_24,avg_transceivers_node_25,max_transceivers_node_0,max_transceivers_node_1,max_transceivers_node_2,max_transceivers_node_3,max_transceivers_node_4,max_transceivers_node_5,max_transceivers_node_6,max_transceivers_node_7,max_transceivers_node_8,max_transceivers_node_9,max_transceivers_node_10,max_transceivers_node_11,max_transceivers_node_12,max_transceivers_node_13,max_transceivers_node_14,max_transceivers_node_15,max_transceivers_node_16,max_transceivers_node_17,max_transceivers_node_18,max_transceivers_node_19,max_transceivers_node_20,max_transceivers_node_21,max_transceivers_node_22,max_transceivers_node_23,max_transceivers_node_24,max_transceivers_node_25,avg_transceivers,max_transceivers,sum_slots,avg_max_slot
100,4.0,7.0,7.0,5.456445993031359,9.452961672473867,7.0,11.585365853658537,5.087108013937282,8.445993031358885,7.0,8.993031358885018,7.0,6.0,11.456445993031359,13.0,4.0,10.0,9.498257839721255,7.0,5.0,9.0,6.0,10.0,10.0,5.0,5.0,4,7,7,6,10,7,16,7,10,7,10,7,6,12,13,4,10,12,7,5,9,6,10,10,5,5,194.6,200,3474,60.86
125,7.0,9.0,7.439024390243903,5.456445993031359,11.254355400696864,7.519163763066202,13.08362369337979,10.665505226480835,10.445993031358885,9.0,9.993031358885018,10.0,10.0,13.536585365853659,16.0,5.0,11.564459930313589,10.498257839721255,9.0,7.439024390243903,10.0,7.0,12.282229965156795,10.0,7.0,7.0,7,9,8,6,13,8,18,14,12,9,11,10,10,15,16,5,13,13,9,8,10,7,13,10,7,7,239.68,248,4389,84.71
150,8.376306620209059,11.247386759581882,9.470383275261325,5.456445993031359,13.254355400696864,8.519163763066203,16.083623693379792,13.940766550522648,11.445993031358885,10.0,10.993031358885018,11.111498257839722,12.578397212543553,14.536585365853659,18.54703832752613,5.0,12.564459930313589,13.498257839721255,11.470383275261325,9.0,13.275261324041812,9.0,14.282229965156795,13.445993031358885,11.19163763066202,7.0,9,12,10,6,15,9,21,20,13,10,12,13,14,16,22,5,14,16,12,9,16,9,15,15,14,7,281.98,296,5127,90.29
175,9.0,11.247386759581882,10.749128919860627,7.456445993031359,14.254355400696864,9.519163763066203,17.222996515679444,14.588850174216027,12.445993031358885,12.195121951219512,12.993031358885018,13.759581881533101,14.0,18.418118466898953,18.735191637630663,7.0,13.759581881533101,14.498257839721255,14.470383275261325,12.369337979094077,14.923344947735192,10.0,16.282229965156795,17.644599303135887,12.0,8.0,9,12,12,8,16,10,22,20,14,13,14,16,14,20,20,7,16,17,15,13,19,10,17,20,12,8,330.15,350,6090,104.64
200,11.581881533101045,12.247386759581882,11.749128919860627,9.456445993031359,15.787456445993032,13.519163763066203,19.641114982578397,17.860627177700348,12.881533101045296,12.195121951219512,14.989547038327526,16.34843205574913,16.445993031358885,20.027874564459932,20.365853658536587,8.0,15.484320557491289,16.94425087108014,17.470383275261323,13.369337979094077,18.358885017421603,10.0,18.28919860627178,17.247386759581882,13.696864111498257,10.0,12,13,13,10,18,14,25,25,15,13,16,18,17,22,21,8,17,20,18,14,24,10,19,18,14,10,375.37,400,6774,120.21
225,14.930313588850174,14.142857142857142,12.19163763066202,9.0,15.170731707317072,14.968641114982578,23.32752613240418,19.860627177700348,15.602787456445993,12.585365853658537,17.714285714285715,18.411149825783973,17.445993031358885,23.299651567944252,21.0,11.512195121951219,16.874564459930312,21.59581881533101,17.470383275261323,16.975609756097562,21.51567944250871,10.0,19.28919860627178,20.181184668989548,15.81184668989547,12.801393728222996,17,16,14,9,17,16,31,27,17,13,20,21,18,27,21,13,18,26,18,21,28,10,20,22,18,14,414.81,444,7464,133.11
250,16.48780487804878,17.574912891986063,12.480836236933797,11.456445993031359,16.463414634146343,18.797909407665504,22.78745644599303,22.43205574912892,16.641114982578397,14.585365853658537,19.574912891986063,18.40418118466899,17.99651567944251,22.933797909407666,22.4390243902439,11.578397212543553,18.874564459930312,21.498257839721255,17.470383275261323,17.076655052264808,21.18815331010453,14.0,19.28919860627178,19.54703832752613,20.05923344947735,12.801393728222996,18,20,15,12,18,21,29,30,18,15,20,21,19,25,23,12,20,24,18,20,28,14,20,20,24,14,456.06,490,8217,146.29
275,19.306620209059233,18.574912891986063,14.480836236933797,15.550522648083623,19.463414634146343,19.797909407665504,23.78745644599303,25.43205574912892,18.031358885017422,16.67595818815331,20.965156794425088,19.407665505226483,18.99651567944251,25.313588850174217,23.264808362369337,12.498257839721255,21.05574912891986,21.498257839721255,18.470383275261323,18.442508710801395,23.16724738675958,18.0,21.473867595818817,20.54703832752613,20.05923344947735,15.0,23,21,17,17,21,22,30,33,21,18,23,22,20,28,24,14,22,24,19,22,31,18,22,21,24,15,495.88,532,8868,155.04
300,19.303135888501743,19.860627177700348,17.34494773519164,17.550522648083625,19.665505226480835,20.797909407665504,24.205574912891986,27.64808362369338,18.317073170731707,18.67595818815331,21.965156794425088,19.407665505226483,19.278745644599304,25.94773519163763,25.658536585365855,15.425087108013937,22.05574912891986,24.78048780487805,20.139372822299652,21.60278745644599,26.637630662020907,18.28919860627178,21.76306620209059,24.790940766550523,22.557491289198605,17.285714285714285,23,23,22,19,22,23,31,35,22,20,24,22,21,28,28,18,23,28,21,27,35,19,23,28,27,18,530.61,574,9504,167.36
325,22.794425087108014,20.860627177700348,19.494773519163765,19.773519163763066,21.864111498257838,21.797909407665504,27.1602787456446,29.43205574912892,21.317073170731707,18.67595818815331,22.94773519163763,22.411149825783973,22.153310104529616,30.75609756097561,25.498257839721255,19.522648083623693,22.05574912891986,29.846689895470384,19.89547038327526,23.689895470383274,26.153310104529616,19.67595818815331,23.76306620209059,24.45296167247387,23.006968641114984,18.86759581881533,27,24,24,23,27,24,36,37,25,20,26,25,25,36,26,24,23,38,21,30,34,21,25,27,28,20,572.85,624,10296,184.46
