n_requests,avg_transceivers_node_0,avg_transceivers_node_1,avg_transceivers_node_2,avg_transceivers_node_3,avg_transceivers_node_4,avg_transceivers_node_5,avg_transceivers_node_6,avg_transceivers_node_7,avg_transceivers_node_8,avg_transceivers_node_9,avg_transceivers_node_10,avg_transceivers_node_11,avg_transceivers_node_12,avg_transceivers_node_13,avg_transceivers_node_14,avg_transceivers_node_15,avg_transceivers_node_16,avg_transceivers_node_17,avg_transceivers_node_18,avg_transceivers_node_19,avg_transceivers_node_20,avg_transceivers_node_21,avg_transceivers_node_22,avg_transceivers_node_23,avg_transceivers_node_24,avg_transceivers_node_25,avg_transceivers_node_26,avg_transceivers_node_27,max_transceivers_node_0,max_transceivers_node_1,max_transceivers_node_2,max_transceivers_node_3,max_transceivers_node_4,max_transceivers_node_5,max_transceivers_node_6,max_transceivers_node_7,max_transceivers_node_8,max_transceivers_node_9,max_transceivers_node_10,max_transceivers_node_11,max_transceivers_node_12,max_transceivers_node_13,max_transceivers_node_14,max_transceivers_node_15,max_transceivers_node_16,max_transceivers_node_17,max_transceivers_node_18,max_transceivers_node_19,max_transceivers_node_20,max_transceivers_node_21,max_transceivers_node_22,max_transceivers_node_23,max_transceivers_node_24,max_transceivers_node_25,max_transceivers_node_26,max_transceivers_node_27,avg_transceivers,max_transceivers,sum_slots,avg_max_slot
100,10.91637630662021,4.0,8.0,8.059233449477352,7.825783972125436,7.581881533101045,8.282229965156795,5.0,5.0,2.0,10.477351916376307,6.825783972125436,5.0,6.0,6.0,13.742160278745645,7.0,5.0,9.658536585365853,6.0,6.2822299651567945,9.376306620209059,8.0,6.0,5.0,7.83623693379791,5.83623693379791,9.139372822299652,15,4,8,9,10,8,9,5,5,2,14,9,5,6,6,15,7,5,12,6,7,10,8,6,5,9,8,11,192.95,204,3726,69.04
125,10.91637630662021,9.0,10.282229965156795,10.059233449477352,10.278745644599303,10.574912891986063,10.477351916376307,6.0,5.0,3.0,14.477351916376307,7.825783972125436,5.0,8.0,6.0,14.86411149825784,9.0,6.0,14.574912891986063,7.0,9.64808362369338,10.376306620209059,10.376306620209059,7.0,8.923344947735192,8.310104529616725,6.2020905923344944,9.139372822299652,15,9,11,11,13,11,13,6,5,3,18,10,5,8,6,18,9,6,18,7,11,11,11,7,10,10,9,11,238.05,254,4524,80.78
150,13.91637630662021,10.0,10.0,12.498257839721255,11.114982578397212,12.073170731707316,9.571428571428571,7.0,6.0,7.097560975609756,14.418118466898955,8.825783972125436,6.0,8.0,7.198606271777003,14.21602787456446,11.0,7.0,15.585365853658537,12.0,14.494773519163763,10.94773519163763,10.0,11.0,10.933797909407666,7.933797909407666,8.202090592334494,11.139372822299652,18,10,10,13,14,13,11,7,6,9,17,11,6,8,8,16,11,7,19,12,18,12,10,11,12,9,11,13,279.74,298,5457,99.77
175,14.076655052264808,12.031358885017422,10.0,14.885017421602788,11.114982578397212,12.0801393728223,9.742160278745645,8.0,10.013937282229966,6.536585365853658,15.418118466898955,11.139372822299652,8.37979094076655,10.0,9.05226480836237,16.766550522648085,13.0,8.0,18.045296167247386,13.885017421602788,16.442508710801395,13.526132404181185,15.0,13.282229965156795,11.421602787456447,8.933797909407666,10.714285714285714,12.581881533101045,16,14,10,16,14,13,11,8,11,7,18,16,9,10,10,19,13,8,21,15,19,15,15,14,13,10,14,13,325.37,348,6342,111.29
200,18.076655052264808,14.031358885017422,11.0,16.885017421602786,13.278745644599303,13.0801393728223,10.651567944250871,8.0,11.0,9.560975609756097,18.418118466898953,12.139372822299652,12.0,11.0,10.05574912891986,16.916376306620208,13.0,10.0,20.752613240418118,15.707317073170731,17.37979094076655,15.491289198606271,15.745644599303136,15.282229965156795,12.560975609756097,9.463414634146341,13.668989547038327,12.581881533101045,20,16,11,18,16,14,13,8,11,10,21,17,12,11,11,18,13,10,24,16,21,17,17,16,13,10,17,13,367.43,386,7131,136.17
225,18.64808362369338,14.710801393728223,11.0,19.393728222996515,16.411149825783973,14.867595818815332,11.665505226480835,10.0,13.89198606271777,12.588850174216027,22.118466898954704,13.139372822299652,13.839721254355402,12.905923344947736,13.979094076655052,22.313588850174217,17.0,10.0,22.630662020905923,17.641114982578397,18.766550522648085,16.49128919860627,17.658536585365855,17.282229965156795,13.463414634146341,12.909407665505226,14.668989547038327,13.581881533101045,22,17,11,22,21,16,14,10,15,14,28,18,15,15,16,26,17,10,26,19,25,18,18,18,15,14,18,14,412.87,440,8112,157.65
250,19.898954703832754,14.67595818815331,13.696864111498257,19.425087108013937,18.421602787456447,15.951219512195122,14.665505226480835,12.0,16.407665505226483,13.358885017421603,25.372822299651567,11.825783972125436,14.839721254355402,14.634146341463415,13.979094076655052,24.51567944250871,19.0,10.376306620209059,23.686411149825783,22.480836236933797,18.61672473867596,19.78745644599303,18.362369337979093,17.0,15.421602787456447,16.45993031358885,16.66898954703833,18.505226480836235,23,15,14,22,23,17,17,12,17,15,32,14,16,17,16,28,19,11,28,25,24,23,19,17,17,17,20,20,460.79,490,8991,169.68
275,19.076655052264808,16.70731707317073,14.696864111498257,22.28919860627178,18.83623693379791,15.581881533101045,15.923344947735192,13.0,19.407665505226483,14.560975609756097,22.881533101045296,14.418118466898955,15.195121951219512,15.21951219512195,14.595818815331011,26.34843205574913,19.585365853658537,11.376306620209059,26.202090592334496,25.33101045296167,19.5993031358885,20.81184668989547,19.71080139372822,18.282229965156795,15.560975609756097,24.505226480836235,18.66898954703833,18.505226480836235,21,19,15,24,22,16,17,13,20,15,26,20,17,19,16,28,21,12,32,30,25,26,21,19,16,30,22,20,500.39,538,9831,189.04
300,20.51567944250871,15.679442508710801,16.149825783972126,23.797909407665504,19.414634146341463,16.031358885017422,19.29616724738676,15.742160278745645,21.689895470383274,15.560975609756097,24.75609756097561,15.118466898954704,16.916376306620208,15.634146341463415,16.951219512195124,31.557491289198605,19.0,11.832752613240418,26.770034843205575,32.606271777003485,18.738675958188153,20.825783972125436,21.250871080139373,18.43205574912892,16.017421602787458,25.139372822299652,18.66898954703833,19.041811846689896,24,16,17,26,23,17,21,17,23,16,29,18,19,17,19,37,19,13,32,41,23,26,24,19,17,31,22,20,537.0,586,10587,203.23
325,21.94425087108014,18.745644599303137,18.86759581881533,24.65505226480836,23.358885017421603,20.634146341463413,19.529616724738677,17.742160278745644,22.88850174216028,15.560975609756097,25.28919860627178,17.13240418118467,17.372822299651567,21.717770034843205,17.05226480836237,31.613240418118465,21.480836236933797,11.832752613240418,28.99651567944251,34.78048780487805,20.923344947735192,19.878048780487806,23.303135888501743,18.714285714285715,17.554006968641115,28.425087108013937,19.365853658536587,20.034843205574912,25,22,21,27,27,23,21,19,26,16,30,23,19,25,18,37,24,13,36,45,25,24,27,20,19,34,23,21,575.52,630,11205,214.87
