n_requests,avg_transceivers_node_0,avg_transceivers_node_1,avg_transceivers_node_2,avg_transceivers_node_3,avg_transceivers_node_4,avg_transceivers_node_5,avg_transceivers_node_6,avg_transceivers_node_7,avg_transceivers_node_8,avg_transceivers_node_9,avg_transceivers_node_10,avg_transceivers_node_11,avg_transceivers_node_12,avg_transceivers_node_13,avg_transceivers_node_14,avg_transceivers_node_15,avg_transceivers_node_16,avg_transceivers_node_17,avg_transceivers_node_18,avg_transceivers_node_19,avg_transceivers_node_20,avg_transceivers_node_21,avg_transceivers_node_22,avg_transceivers_node_23,avg_transceivers_node_24,avg_transceivers_node_25,max_transceivers_node_0,max_transceivers_node_1,max_transceivers_node_2,max_transceivers_node_3,max_transceivers_node_4,max_transceivers_node_5,max_transceivers_node_6,max_transceivers_node_7,max_transceivers_node_8,max_transceivers_node_9,max_transceivers_node_10,max_transceivers_node_11,max_transceivers_node_12,max_transceivers_node_13,max_transceivers_node_14,max_transceivers_node_15,max_transceivers_node_16,max_transceivers_node_17,max_transceivers_node_18,max_transceivers_node_19,max_transceivers_node_20,max_transceivers_node_21,max_transceivers_node_22,max_transceivers_node_23,max_transceivers_node_24,max_transceivers_node_25,avg_transceivers,max_transceivers,sum_slots,avg_max_slot
100,3.0,10.738675958188153,8.0,4.0,6.0,7.662020905923345,8.0,6.0,9.174216027874564,8.871080139372822,6.034843205574913,7.425087108013937,6.0,13.0,9.170731707317072,8.0,7.198606271777003,6.456445993031359,4.0,1.0,8.184668989547038,9.397212543554007,8.0,9.0,10.91637630662021,7.89198606271777,3,12,8,4,6,8,8,6,11,10,9,8,6,13,11,8,8,7,4,1,10,11,8,9,16,9,186.63,198,3402,59.25
125,4.0,12.738675958188153,10.536585365853659,4.0,10.0,9.662020905923345,11.0,9.0,12.714285714285714,12.89198606271777,8.578397212543553,11.850174216027874,8.0,17.418118466898953,9.174216027874564,9.198606271777004,9.571428571428571,9.606271777003485,5.0,2.0,10.184668989547038,9.581881533101045,9.0,10.0,15.101045296167248,8.536585365853659,4,14,11,4,10,10,11,9,14,17,13,13,8,19,11,10,10,12,5,2,12,11,9,10,22,9,234.46,248,4203,81.21
150,6.0,14.80836236933798,10.536585365853659,5.0,10.0,13.498257839721255,16.18815331010453,12.0,12.804878048780488,9.878048780487806,9.365853658536585,12.850174216027874,10.70034843205575,18.020905923344948,9.170731707317072,10.0,12.40766550522648,9.456445993031359,5.0,3.0,12.857142857142858,10.581881533101045,12.0,12.0,15.034843205574912,11.285714285714286,6,18,11,5,10,16,17,12,16,11,13,14,11,19,11,10,15,10,5,3,15,12,12,12,21,13,274.86,290,5010,91.21
175,7.0,15.0,14.205574912891986,7.0,13.0,18.968641114982578,18.05574912891986,13.0,13.101045296167248,14.202090592334494,13.097560975609756,18.29616724738676,13.32752613240418,20.317073170731707,13.174216027874564,12.153310104529616,14.411149825783973,11.86411149825784,9.331010452961673,4.0,14.64808362369338,10.581881533101045,14.0,15.289198606271777,16.038327526132406,11.449477351916377,7,15,17,7,13,26,19,13,14,18,19,26,16,23,15,15,19,15,11,4,17,12,14,17,22,12,316.49,338,5751,107.25
200,8.195121951219512,19.26829268292683,16.191637630662022,12.0,15.0,18.700348432055748,19.916376306620208,13.498257839721255,14.651567944250871,15.372822299651569,15.205574912891986,16.282229965156795,14.376306620209059,22.658536585365855,14.264808362369338,10.560975609756097,16.306620209059233,14.986062717770034,10.045296167247386,5.0,16.278745644599304,11.878048780487806,14.0,16.463414634146343,20.038327526132406,11.0,9,21,19,12,15,25,22,14,15,19,22,20,17,26,18,11,21,18,11,5,18,14,14,17,26,11,358.71,388,6765,130.11
225,10.770034843205575,19.850174216027874,19.135888501742162,13.0,15.0,16.853658536585368,24.752613240418118,14.954703832752614,15.282229965156795,16.149825783972126,16.64808362369338,16.282229965156795,15.679442508710801,23.94076655052265,15.717770034843205,11.843205574912892,18.825783972125436,16.310104529616726,14.843205574912892,7.0,16.951219512195124,16.073170731707318,15.655052264808363,18.463414634146343,19.76306620209059,11.536585365853659,12,22,23,13,15,21,28,16,16,19,22,20,18,28,18,13,23,18,18,7,18,20,16,19,25,12,404.82,444,7653,140.29
250,12.773519163763066,20.804878048780488,15.902439024390244,17.05226480836237,16.45296167247387,19.257839721254356,24.745644599303137,16.449477351916375,16.48780487804878,18.247386759581882,22.466898954703833,18.529616724738677,17.958188153310104,23.024390243902438,18.087108013937282,14.703832752613241,20.933797909407666,15.456445993031359,14.038327526132404,10.83623693379791,18.99651567944251,17.421602787456447,17.65505226480836,21.881533101045296,27.05226480836237,11.536585365853659,14,23,18,19,17,24,28,18,17,22,32,22,20,26,23,20,26,16,17,13,22,20,18,24,37,12,442.95,484,8322,153.54
275,14.770034843205575,21.153310104529616,17.794425087108014,16.48780487804878,17.0,22.320557491289197,26.954703832752614,18.118466898954704,16.94773519163763,18.285714285714285,22.954703832752614,18.195121951219512,18.99651567944251,26.013937282229964,18.71080139372822,17.860627177700348,21.4006968641115,17.45644599303136,16.32404181184669,10.83623693379791,19.700348432055748,18.522648083623693,21.261324041811847,23.933797909407666,27.519163763066203,13.54006968641115,16,23,21,17,17,29,30,20,18,21,31,20,22,31,24,25,28,18,20,13,22,22,24,27,38,15,476.01,528,9312,163.93
300,17.498257839721255,21.153310104529616,18.372822299651567,19.505226480836235,19.0,24.65156794425087,26.742160278745644,19.118466898954704,17.94773519163763,19.393728222996515,24.745644599303137,18.45644599303136,22.777003484320556,26.114982578397214,24.299651567944252,18.993031358885016,26.209059233449477,18.45644599303136,18.282229965156795,10.83623693379791,19.794425087108014,20.926829268292682,22.261324041811847,23.581881533101047,27.35191637630662,14.554006968641115,20,23,20,22,19,31,30,21,19,24,31,20,26,30,31,26,34,19,23,13,22,26,25,26,35,16,521.0,576,10023,173.79
325,23.2404181184669,23.411149825783973,21.536585365853657,20.871080139372822,21.0,25.721254355400696,29.968641114982578,21.480836236933797,21.808362369337978,23.75609756097561,25.087108013937282,19.407665505226483,27.18815331010453,29.975609756097562,24.094076655052266,18.72473867595819,25.54355400696864,24.027874564459932,17.70383275261324,12.37979094076655,24.864111498257838,21.10801393728223,23.087108013937282,25.937282229965156,31.627177700348433,15.710801393728223,31,28,26,24,21,32,37,23,24,28,30,21,32,37,29,24,32,31,21,15,28,26,28,32,38,18,565.91,628,10806,195.96
