topology,n_requests,avg_transceivers_node_0,avg_transceivers_node_1,avg_transceivers_node_2,avg_transceivers_node_3,avg_transceivers_node_4,avg_transceivers_node_5,avg_transceivers_node_6,avg_transceivers_node_7,avg_transceivers_node_8,avg_transceivers_node_9,avg_transceivers_node_10,avg_transceivers_node_11,avg_transceivers_node_12,avg_transceivers_node_13,avg_transceivers_node_14,avg_transceivers_node_15,avg_transceivers_node_16,avg_transceivers_node_17,avg_transceivers_node_18,avg_transceivers_node_19,avg_transceivers_node_20,avg_transceivers_node_21,avg_transceivers_node_22,avg_transceivers_node_23,avg_transceivers_node_24,avg_transceivers_node_25,avg_transceivers_node_26,avg_transceivers_node_27,max_transceivers_node_0,max_transceivers_node_1,max_transceivers_node_2,max_transceivers_node_3,max_transceivers_node_4,max_transceivers_node_5,max_transceivers_node_6,max_transceivers_node_7,max_transceivers_node_8,max_transceivers_node_9,max_transceivers_node_10,max_transceivers_node_11,max_transceivers_node_12,max_transceivers_node_13,max_transceivers_node_14,max_transceivers_node_15,max_transceivers_node_16,max_transceivers_node_17,max_transceivers_node_18,max_transceivers_node_19,max_transceivers_node_20,max_transceivers_node_21,max_transceivers_node_22,max_transceivers_node_23,max_transceivers_node_24,max_transceivers_node_25,max_transceivers_node_26,max_transceivers_node_27,avg_transceivers,max_transceivers,sum_slots,avg_max_slot,average_node_connectivity,degree_assortativity_coefficient,degree_pearson_correlation_coefficient,density,edge_connectivity,flow_hierarchy,global_reaching_centrality,is_aperiodic,is_attracting_component,is_multigraphical,is_pseudographical,is_semiconnected,is_strongly_connected,is_weakly_connected,node_connectivity,number_attracting_components,number_of_edges,number_of_isolates,number_of_nodes,number_strongly_connected_components,number_weakly_connected_components,overall_reciprocity,reciprocity,s_metric,wiener_index
euro28,100.0,5.0,10.0,7.0,5.0,5.0,6.7560975609756095,8.383275261324043,13.484320557491287,9.0,3.0,9.365853658536585,3.0,7.0,4.2717770034843205,8.0,6.0,8.0,11.383275261324044,5.0,5.0,8.484320557491289,5.0,5.365853658536586,7.0,5.0,5.390243902439025,2.0,8.874564459930314,5.0,10.0,7.0,5.0,5.0,8.0,9.0,14.0,9.0,3.0,10.0,3.0,7.0,5.0,8.0,6.0,8.0,12.0,5.0,5.0,9.0,5.0,6.0,7.0,5.0,6.0,2.0,10.0,186.76,194.0,3447.0,61.79,1.9497354497354498,-0.12860976529154577,-0.12860976529154536,0.13227513227513227,0,0.14,0.06995884773662547,False,False,True,True,False,False,True,0,1,100,0,28,5,1,0.08,0.08,6653.0,inf
euro28,125.0,7.0,12.0,8.0,8.275261324041812,7.285714285714286,9.75609756097561,8.383275261324043,14.484320557491287,13.285714285714286,6.0,10.658536585365852,4.275261324041812,7.0,6.2717770034843205,9.0,7.0,8.0,12.383275261324044,5.0,7.0,10.484320557491287,8.0,6.658536585365853,9.0,5.0,6.390243902439025,5.0,10.874564459930314,7.0,12.0,8.0,9.0,8.0,11.0,9.0,15.0,14.0,6.0,11.0,5.0,7.0,7.0,9.0,7.0,8.0,13.0,5.0,7.0,11.0,8.0,7.0,9.0,5.0,7.0,5.0,12.0,232.47,242.0,4398.0,81.29,2.921957671957672,-0.1489584656348955,-0.14895846563489493,0.16534391534391535,1,0.0,0.0,True,True,True,True,True,True,True,1,1,125,0,28,1,1,0.08,0.08,11792.0,1906.0
euro28,150.0,10.0,13.0,9.282229965156796,11.0,6.285714285714286,11.75609756097561,10.383275261324044,14.484320557491287,15.285714285714286,9.658536585365852,14.365853658536585,6.0,8.0,11.27177700348432,9.0,7.0,10.0,13.665505226480835,6.0,8.0,10.484320557491287,12.0,7.365853658536586,11.0,5.0,8.390243902439025,6.658536585365853,11.874564459930314,10.0,13.0,10.0,11.0,7.0,13.0,11.0,15.0,16.0,10.0,15.0,6.0,8.0,12.0,9.0,7.0,10.0,15.0,6.0,8.0,11.0,12.0,8.0,11.0,5.0,9.0,7.0,13.0,277.21,288.0,5295.0,96.95,3.502645502645503,-0.10965473455458334,-0.10965473455458345,0.1984126984126984,1,0.0,0.0,True,True,True,True,True,True,True,2,1,150,0,28,1,1,0.12,0.12,19874.0,1718.0
euro28,175.0,11.0,14.0,11.282229965156796,11.21602787456446,7.379790940766551,12.484320557491287,10.651567944250871,18.634146341463413,17.421602787456447,11.0,15.29616724738676,5.665505226480836,9.0,14.0,11.0,8.0,12.48780487804878,14.282229965156796,6.0,10.665505226480835,14.484320557491287,13.0,9.365853658536585,12.0,9.662020905923344,10.390243902439025,7.651567944250871,14.202090592334494,11.0,14.0,12.0,14.0,8.0,13.0,11.0,20.0,19.0,11.0,18.0,7.0,9.0,14.0,11.0,8.0,13.0,15.0,6.0,11.0,15.0,13.0,10.0,12.0,10.0,11.0,8.0,16.0,321.12,336.0,5961.0,107.96,4.211640211640212,-0.07600116592473817,-0.0760011659247374,0.23148148148148148,1,0.0,0.0,True,True,True,True,True,True,True,2,1,175,0,28,1,1,0.14857142857142858,0.14857142857142858,30989.0,1590.0
euro28,200.0,11.0,17.0,14.0,11.0,8.37979094076655,14.484320557491287,13.383275261324044,20.9198606271777,18.693379790940767,12.658536585365852,18.634146341463413,7.0,11.0,14.0,11.285714285714286,9.0,12.48780487804878,17.752613240418118,9.0,11.665505226480835,16.48432055749129,14.658536585365852,9.658536585365852,13.369337979094077,12.313588850174217,10.390243902439025,10.658536585365852,14.202090592334494,11.0,17.0,14.0,11.0,9.0,15.0,14.0,23.0,20.0,13.0,20.0,7.0,11.0,14.0,12.0,9.0,13.0,19.0,9.0,12.0,17.0,15.0,10.0,14.0,13.0,11.0,11.0,16.0,365.08,380.0,6795.0,125.6,4.869047619047619,-0.04859253820978969,-0.04859253820978938,0.26455026455026454,2,0.0,0.0,True,True,True,True,True,True,True,2,1,200,0,28,1,1,0.19,0.19,46096.0,1498.0
euro28,225.0,12.0,18.0,15.282229965156796,10.554006968641117,10.37979094076655,16.75609756097561,14.282229965156796,21.98954703832753,18.317073170731707,12.658536585365852,19.61672473867596,7.763066202090592,12.0,19.4390243902439,14.585365853658535,9.275261324041812,14.860627177700348,18.65156794425087,11.0,12.665505226480835,18.846689895470384,16.414634146341463,12.658536585365852,14.369337979094077,13.313588850174217,13.752613240418118,13.940766550522648,17.498257839721255,12.0,18.0,16.0,12.0,11.0,18.0,15.0,24.0,20.0,13.0,22.0,9.0,12.0,23.0,16.0,10.0,17.0,20.0,11.0,13.0,20.0,18.0,13.0,15.0,14.0,15.0,15.0,20.0,406.82,434.0,7776.0,139.46,5.515873015873016,-0.02310948722380879,-0.02310948722380752,0.2976190476190476,3,0.0,0.0,True,True,True,True,True,True,True,3,1,225,0,28,1,1,0.19555555555555557,0.19555555555555557,64396.0,1423.0
euro28,250.0,15.0,19.0,15.0,11.554006968641117,10.75609756097561,16.75609756097561,17.665505226480835,25.010452961672478,21.693379790940767,14.658536585365852,24.27177700348432,8.763066202090592,14.0,19.4390243902439,14.0,10.275261324041812,16.860627177700348,22.083623693379792,11.390243902439025,13.665505226480835,19.846689895470384,16.804878048780488,16.65505226480836,17.034843205574912,15.979094076655052,14.390243902439025,13.940766550522648,18.202090592334496,15.0,19.0,15.0,13.0,12.0,18.0,19.0,27.0,23.0,15.0,27.0,10.0,14.0,23.0,14.0,11.0,19.0,24.0,12.0,14.0,21.0,19.0,17.0,18.0,17.0,15.0,15.0,20.0,453.25,482.0,8562.0,159.95,5.970899470899471,-0.03763894142678418,-0.03763894142678289,0.3306878306878307,3,0.0,0.0,True,True,True,True,True,True,True,4,1,250,0,28,1,1,0.216,0.216,88107.0,1378.0
euro28,275.0,16.0,20.358885017421603,17.38327526132404,11.933797909407666,12.128919860627178,16.75609756097561,18.665505226480835,29.29616724738676,23.041811846689896,17.658536585365855,23.51219512195122,9.905923344947736,15.0,22.202090592334496,16.285714285714285,12.275261324041812,17.860627177700348,22.700348432055748,13.390243902439025,15.94773519163763,20.846689895470384,17.804878048780488,16.365853658536587,17.317073170731707,16.81533101045296,16.76306620209059,14.940766550522648,20.202090592334496,16.0,21.0,18.0,14.0,14.0,18.0,20.0,32.0,24.0,18.0,27.0,13.0,15.0,27.0,17.0,13.0,20.0,24.0,14.0,17.0,22.0,20.0,17.0,19.0,18.0,18.0,16.0,22.0,490.39,526.0,9384.0,175.79,6.58994708994709,-0.038916271516093455,-0.03891627151609366,0.3637566137566138,3,0.0,0.0,True,True,True,True,True,True,True,3,1,275,0,28,1,1,0.24727272727272728,0.24727272727272728,116510.0,1329.0
euro28,300.0,19.0,22.020905923344948,19.38327526132404,13.752613240418118,12.128919860627178,17.75609756097561,18.665505226480835,29.29616724738676,24.041811846689896,18.65853658536585,22.32752613240418,11.630662020905923,15.0,23.853658536585368,19.285714285714285,13.275261324041812,17.853658536585368,23.700348432055748,14.390243902439025,16.94773519163763,21.850174216027877,18.81533101045296,17.658536585365855,18.968641114982574,19.32752613240418,16.76306620209059,18.94076655052265,21.202090592334496,19.0,23.0,20.0,15.0,14.0,19.0,20.0,32.0,25.0,19.0,24.0,14.0,15.0,28.0,20.0,14.0,19.0,25.0,15.0,18.0,23.0,21.0,18.0,21.0,20.0,18.0,20.0,23.0,524.98,558.0,10050.0,188.45,7.1005291005291005,-0.0023178659908411384,-0.0023178659908409394,0.3968253968253968,4,0.0,0.0,True,True,True,True,True,True,True,4,1,300,0,28,1,1,0.26,0.26,148472.0,1299.0
euro28,325.0,20.923344947735192,22.662020905923345,20.03832752613241,16.372822299651567,15.034843205574912,18.75609756097561,19.38327526132404,32.505226480836235,25.94773519163763,21.11498257839721,24.45296167247387,11.48780487804878,17.0,24.09059233449477,21.425087108013937,13.275261324041812,19.853658536585368,25.4808362369338,16.606271777003485,17.317073170731707,23.850174216027877,19.466898954703836,19.65853658536585,21.965156794425088,20.98606271777004,20.76306620209059,20.390243902439025,21.860627177700348,23.0,23.0,22.0,17.0,17.0,20.0,20.0,37.0,27.0,23.0,26.0,12.0,17.0,27.0,23.0,14.0,21.0,29.0,19.0,19.0,25.0,22.0,20.0,24.0,22.0,22.0,21.0,24.0,570.09,608.0,10719.0,197.23,7.648148148148148,-0.0041437444528245075,-0.004143744452824718,0.4298941798941799,4,0.0,0.0,True,True,True,True,True,True,True,5,1,325,0,28,1,1,0.27692307692307694,0.27692307692307694,189396.0,1268.0
