n_requests,avg_transceivers_node_0,avg_transceivers_node_1,avg_transceivers_node_2,avg_transceivers_node_3,avg_transceivers_node_4,avg_transceivers_node_5,avg_transceivers_node_6,avg_transceivers_node_7,avg_transceivers_node_8,avg_transceivers_node_9,avg_transceivers_node_10,avg_transceivers_node_11,avg_transceivers_node_12,avg_transceivers_node_13,avg_transceivers_node_14,avg_transceivers_node_15,avg_transceivers_node_16,avg_transceivers_node_17,avg_transceivers_node_18,avg_transceivers_node_19,avg_transceivers_node_20,avg_transceivers_node_21,avg_transceivers_node_22,avg_transceivers_node_23,avg_transceivers_node_24,avg_transceivers_node_25,avg_transceivers_node_26,avg_transceivers_node_27,max_transceivers_node_0,max_transceivers_node_1,max_transceivers_node_2,max_transceivers_node_3,max_transceivers_node_4,max_transceivers_node_5,max_transceivers_node_6,max_transceivers_node_7,max_transceivers_node_8,max_transceivers_node_9,max_transceivers_node_10,max_transceivers_node_11,max_transceivers_node_12,max_transceivers_node_13,max_transceivers_node_14,max_transceivers_node_15,max_transceivers_node_16,max_transceivers_node_17,max_transceivers_node_18,max_transceivers_node_19,max_transceivers_node_20,max_transceivers_node_21,max_transceivers_node_22,max_transceivers_node_23,max_transceivers_node_24,max_transceivers_node_25,max_transceivers_node_26,max_transceivers_node_27,avg_transceivers,max_transceivers,sum_slots,avg_max_slot
100,4.445993031358885,5.508710801393728,5.508710801393728,9.0,5.456445993031359,7.376306620209059,4.0,3.0,5.0,6.439024390243903,7.372822299651568,4.0,10.08362369337979,3.0,4.668989547038327,7.487804878048781,10.519163763066203,9.0,8.320557491289199,5.445993031358885,4.648083623693379,10.397212543554007,11.801393728222996,9.439024390243903,4.662020905923345,5.0,7.327526132404182,7.710801393728223,5,8,8,9,6,8,4,3,5,8,8,4,11,3,5,10,13,9,12,6,5,12,13,11,5,5,8,8,180.42,196,3570,66.59
125,6.888501742160279,5.2822299651567945,7.038327526132404,13.069686411149826,7.456445993031359,9.05226480836237,5.0,3.0,5.445993031358885,8.439024390243903,9.630662020905923,9.731707317073171,12.114982578397212,5.017421602787456,4.668989547038327,13.665505226480835,15.365853658536585,13.101045296167248,8.320557491289199,7.822299651567945,5.648083623693379,14.954703832752614,14.174216027874564,12.439024390243903,5.714285714285714,5.0,7.888501742160279,11.818815331010454,8,8,11,15,8,11,5,3,6,10,11,11,15,6,5,18,22,17,12,10,6,21,18,14,8,5,10,16,218.12,238,4317,84.07
150,7.888501742160279,7.445993031358885,5.445993031358885,14.149825783972126,11.456445993031359,10.139372822299652,5.0,4.0,10.759581881533101,11.365853658536585,8.710801393728223,10.428571428571429,13.275261324041812,5.383275261324042,4.668989547038327,12.871080139372822,11.94425087108014,13.18815331010453,10.320557491289199,8.822299651567944,7.428571428571429,14.341463414634147,14.442508710801393,15.693379790940767,8.18815331010453,6.693379790940766,8.289198606271777,13.254355400696864,9,8,6,15,12,11,5,4,12,13,9,11,16,6,5,16,14,16,14,11,8,18,16,18,11,7,11,16,261.48,282,5004,92.3
175,11.825783972125436,9.024390243902438,6.024390243902439,16.0,13.815331010452962,11.839721254355402,6.857142857142857,7.0,13.641114982578397,13.317073170731707,9.425087108013937,11.0,13.101045296167248,6.383275261324042,6.369337979094077,15.233449477351916,11.94425087108014,18.209059233449477,11.81184668989547,10.170731707317072,9.550522648083623,13.257839721254355,20.505226480836235,21.229965156794425,10.32404181184669,6.693379790940766,8.289198606271777,14.926829268292684,16,11,8,16,16,13,8,7,16,15,10,11,16,7,7,19,14,25,17,12,11,15,25,25,15,7,11,21,306.96,336,5994,111.62
200,15.536585365853659,12.229965156794425,8.303135888501743,17.0,15.979094076655052,14.170731707317072,7.857142857142857,10.449477351916377,12.881533101045296,14.268292682926829,10.425087108013937,12.0,14.832752613240418,7.383275261324042,6.668989547038327,17.871080139372822,13.585365853658537,19.843205574912893,11.320557491289199,13.170731707317072,11.550522648083623,14.05574912891986,21.0,24.522648083623693,10.264808362369338,8.414634146341463,13.013937282229966,14.926829268292684,21,16,11,17,18,15,9,11,14,16,11,12,17,8,7,21,17,27,15,15,13,16,27,29,13,10,17,21,351.66,384,6783,127.43
225,17.041811846689896,13.996515679442508,13.05226480836237,20.975609756097562,19.588850174216027,14.170731707317072,8.0,12.449477351916377,13.878048780487806,14.67595818815331,13.069686411149826,12.0,16.822299651567945,12.114982578397212,7.668989547038327,19.871080139372822,15.578397212543553,19.65505226480836,13.658536585365853,15.905923344947736,12.745644599303136,14.048780487804878,23.21602787456446,24.571428571428573,10.75609756097561,9.414634146341463,17.16724738675958,16.010452961672474,21,18,16,22,23,15,8,13,15,17,14,12,19,14,8,23,21,24,18,17,15,16,28,29,13,11,23,19,400.75,436,7923,147.99
250,17.48432055749129,16.470383275261323,14.195121951219512,22.445993031358885,20.578397212543553,16.170731707317074,11.156794425087108,13.449477351916377,14.878048780487806,16.5609756097561,12.710801393728223,13.0,19.205574912891986,13.665505226480835,9.668989547038327,22.871080139372822,16.135888501742162,21.65505226480836,14.421602787456447,18.905923344947734,13.745644599303136,15.05574912891986,24.174216027874564,26.522648083623693,13.37979094076655,11.139372822299652,17.470383275261323,16.010452961672474,19,21,18,23,24,17,12,14,16,19,13,13,22,15,10,26,21,26,18,20,16,17,29,31,17,14,22,19,443.84,480,8385,156.4
275,18.898954703832754,18.825783972125436,18.1602787456446,26.23693379790941,21.752613240418118,18.090592334494772,12.16376306620209,15.735191637630662,16.33101045296167,16.317073170731707,13.710801393728223,13.0,22.522648083623693,14.383275261324043,13.613240418118467,23.317073170731707,17.442508710801395,21.64808362369338,17.041811846689896,20.34843205574913,14.066202090592334,18.662020905923345,24.979094076655052,25.78745644599303,15.202090592334494,14.463414634146341,17.024390243902438,23.954703832752614,21,24,21,28,25,20,13,17,18,18,14,13,26,15,15,27,21,26,21,22,17,21,32,28,20,15,21,33,488.76,530,9435,179.6
300,18.958188153310104,17.034843205574912,17.118466898954704,24.986062717770036,22.752613240418118,19.898954703832754,14.0,15.449477351916377,19.209059233449477,16.609756097560975,17.13240418118467,14.0,24.742160278745644,16.38327526132404,17.99651567944251,24.9198606271777,16.18815331010453,22.662020905923345,19.418118466898953,24.202090592334496,17.975609756097562,21.83275261324042,24.75609756097561,26.864111498257838,16.11149825783972,17.70383275261324,18.0801393728223,23.37630662020906,21,19,18,26,26,23,14,16,23,19,21,14,29,17,24,29,18,27,24,28,23,24,28,30,20,19,22,30,532.36,584,10749,211.06
325,19.61672473867596,17.32752613240418,18.954703832752614,24.951219512195124,23.0,21.278745644599304,19.45296167247387,15.449477351916377,20.257839721254356,17.972125435540068,16.27177700348432,17.0,24.264808362369337,17.38327526132404,21.94425087108014,25.81533101045296,17.18815331010453,25.34494773519164,21.418118466898953,25.8397212543554,18.264808362369337,22.83623693379791,23.975609756097562,27.864111498257838,17.912891986062718,21.365853658536587,19.54355400696864,27.5609756097561,23,21,22,26,27,23,22,16,23,20,18,17,27,18,26,31,19,32,26,30,21,25,27,31,22,23,24,36,571.49,628,11313,220.72
