n_requests,avg_transceivers_node_0,avg_transceivers_node_1,avg_transceivers_node_2,avg_transceivers_node_3,avg_transceivers_node_4,avg_transceivers_node_5,avg_transceivers_node_6,avg_transceivers_node_7,avg_transceivers_node_8,avg_transceivers_node_9,avg_transceivers_node_10,avg_transceivers_node_11,avg_transceivers_node_12,avg_transceivers_node_13,avg_transceivers_node_14,avg_transceivers_node_15,avg_transceivers_node_16,avg_transceivers_node_17,avg_transceivers_node_18,avg_transceivers_node_19,avg_transceivers_node_20,avg_transceivers_node_21,avg_transceivers_node_22,avg_transceivers_node_23,avg_transceivers_node_24,avg_transceivers_node_25,max_transceivers_node_0,max_transceivers_node_1,max_transceivers_node_2,max_transceivers_node_3,max_transceivers_node_4,max_transceivers_node_5,max_transceivers_node_6,max_transceivers_node_7,max_transceivers_node_8,max_transceivers_node_9,max_transceivers_node_10,max_transceivers_node_11,max_transceivers_node_12,max_transceivers_node_13,max_transceivers_node_14,max_transceivers_node_15,max_transceivers_node_16,max_transceivers_node_17,max_transceivers_node_18,max_transceivers_node_19,max_transceivers_node_20,max_transceivers_node_21,max_transceivers_node_22,max_transceivers_node_23,max_transceivers_node_24,max_transceivers_node_25,avg_transceivers,max_transceivers,sum_slots,avg_max_slot
100,6.860627177700349,5.895470383275262,4.0,7.700348432055749,9.383275261324043,9.411149825783973,5.0,6.0,6.7177700348432055,15.10801393728223,9.0,7.996515679442509,6.111498257839721,6.0,9.564459930313589,7.0,8.717770034843205,11.289198606271777,7.0,8.449477351916377,10.759581881533101,6.0,6.0,6.0,7.083623693379791,3.0,8,7,4,11,13,10,5,6,8,20,9,9,8,6,11,7,10,14,7,9,14,6,6,6,9,3,185.29,198,3195,55.32
125,6.0,8.0,6.0,8.70034843205575,12.317073170731707,10.411149825783973,5.0,8.0,6.0,18.916376306620208,13.954703832752614,8.996515679442508,9.445993031358885,6.0,10.386759581881533,10.9198606271777,10.292682926829269,12.822299651567944,9.292682926829269,9.83623693379791,9.358885017421603,7.0,7.0,7.0,8.358885017421603,5.0,6,8,6,12,17,11,5,8,6,23,17,10,11,6,11,14,11,16,10,11,10,7,7,7,9,5,225.97,240,3915,66.36
150,8.0,9.0,10.0,13.059233449477352,13.383275261324043,10.770034843205575,9.473867595818815,12.421602787456447,6.0,19.916376306620208,15.282229965156795,8.996515679442508,10.08362369337979,8.0,12.386759581881533,12.229965156794425,10.749128919860627,14.822299651567944,11.292682926829269,11.83623693379791,9.815331010452962,9.0,9.0,9.0,9.895470383275262,7.0,8,9,10,17,17,12,10,14,6,24,16,10,11,8,13,14,12,18,12,13,11,9,9,9,11,7,273.09,290,4836,80.29
175,8.0,11.0,11.0,14.341463414634147,14.83623693379791,13.404181184668989,11.365853658536585,13.195121951219512,9.0,22.23693379790941,19.05226480836237,9.996515679442508,12.08362369337979,10.895470383275262,13.91637630662021,15.411149825783973,12.996515679442508,14.289198606271777,13.240418118466899,13.264808362369338,11.78048780487805,11.0,11.0,9.0,9.895470383275262,8.655052264808363,8,11,11,19,19,16,12,15,9,27,22,11,13,13,15,20,15,17,16,15,13,11,11,9,11,9,312.58,336,5544,93.21
200,11.0,13.0,12.0,15.982578397212544,16.38327526132404,12.989547038327526,15.543554006968641,14.477351916376307,11.0,22.38327526132404,19.477351916376307,12.993031358885018,13.08362369337979,10.428571428571429,19.020905923344948,17.365853658536587,13.574912891986063,15.289198606271777,13.292682926829269,15.261324041811847,14.358885017421603,11.0,11.0,10.505226480836237,11.895470383275262,9.655052264808363,11,13,12,20,20,14,18,15,11,26,24,14,14,11,22,22,15,18,14,17,15,11,11,11,13,10,353.26,374,6231,106.71
225,13.37979094076655,15.369337979094077,13.526132404181185,20.358885017421603,19.5993031358885,14.515679442508711,17.54355400696864,16.75609756097561,13.0,24.264808362369337,20.51567944250871,15.317073170731707,16.083623693379792,12.515679442508711,21.222996515679444,16.526132404181183,15.885017421602788,16.428571428571427,15.662020905923345,15.240418118466899,17.933797909407666,11.0,14.0,10.505226480836237,14.895470383275262,13.480836236933797,14,16,14,26,25,16,20,20,13,29,24,17,17,15,26,19,20,20,17,17,21,11,14,11,16,16,396.52,426,7260,129.0
250,15.560975609756097,16.369337979094077,15.832752613240418,22.320557491289197,23.505226480836235,15.393728222996515,17.529616724738677,17.752613240418118,17.28919860627178,25.871080139372822,19.83275261324042,17.317073170731707,17.083623693379792,14.226480836236934,23.923344947735192,20.278745644599304,16.519163763066203,20.428571428571427,16.65505226480836,18.2404181184669,18.501742160278745,11.0,14.0,13.505226480836237,14.895470383275262,14.480836236933797,17,17,18,28,30,17,18,21,18,30,22,19,18,16,28,24,20,24,18,20,21,11,14,14,16,17,443.32,478,8040,142.21
275,17.386759581881535,16.369337979094077,20.369337979094077,25.21254355400697,24.64808362369338,16.958188153310104,19.529616724738677,20.752613240418118,20.0,26.38327526132404,22.871080139372822,18.317073170731707,18.442508710801395,16.247386759581882,24.390243902439025,20.83623693379791,16.860627177700348,23.61672473867596,21.466898954703833,21.27526132404181,19.062717770034844,11.278745644599303,16.56794425087108,15.505226480836237,15.254355400696864,17.770034843205575,18,17,26,32,33,19,20,24,20,30,27,20,20,18,27,24,19,29,23,25,21,12,18,16,17,21,484.98,524,8691,149.25
300,20.386759581881535,19.369337979094077,23.128919860627178,25.121951219512194,25.982578397212542,18.958188153310104,20.425087108013937,22.421602787456447,21.0,29.418118466898953,22.797909407665504,19.320557491289197,18.62020905923345,19.67595818815331,29.0,21.926829268292682,17.930313588850176,22.898954703832754,24.10452961672474,22.665505226480835,20.930313588850176,11.278745644599303,20.56794425087108,17.505226480836235,17.43205574912892,17.766550522648085,21,20,29,31,32,21,22,26,21,34,25,21,20,23,34,26,22,27,25,27,25,12,22,18,19,21,528.04,568,9666,170.21
325,22.0,21.369337979094077,24.414634146341463,26.306620209059233,27.43205574912892,21.94773519163763,19.529616724738677,23.752613240418118,23.662020905923345,31.334494773519165,24.250871080139373,19.320557491289197,20.62369337979094,22.428571428571427,30.0801393728223,22.83623693379791,18.37979094076655,25.209059233449477,26.498257839721255,23.32752613240418,21.853658536585368,12.278745644599303,21.56794425087108,21.693379790940767,21.45644599303136,19.76306620209059,22,22,29,32,33,24,20,27,24,36,27,21,23,26,34,26,22,30,28,28,27,13,23,23,25,23,570.57,616,10389,185.21
