n_requests,avg_transceivers_node_0,avg_transceivers_node_1,avg_transceivers_node_2,avg_transceivers_node_3,avg_transceivers_node_4,avg_transceivers_node_5,avg_transceivers_node_6,avg_transceivers_node_7,avg_transceivers_node_8,avg_transceivers_node_9,avg_transceivers_node_10,avg_transceivers_node_11,avg_transceivers_node_12,avg_transceivers_node_13,avg_transceivers_node_14,avg_transceivers_node_15,avg_transceivers_node_16,avg_transceivers_node_17,avg_transceivers_node_18,avg_transceivers_node_19,avg_transceivers_node_20,avg_transceivers_node_21,avg_transceivers_node_22,avg_transceivers_node_23,avg_transceivers_node_24,avg_transceivers_node_25,max_transceivers_node_0,max_transceivers_node_1,max_transceivers_node_2,max_transceivers_node_3,max_transceivers_node_4,max_transceivers_node_5,max_transceivers_node_6,max_transceivers_node_7,max_transceivers_node_8,max_transceivers_node_9,max_transceivers_node_10,max_transceivers_node_11,max_transceivers_node_12,max_transceivers_node_13,max_transceivers_node_14,max_transceivers_node_15,max_transceivers_node_16,max_transceivers_node_17,max_transceivers_node_18,max_transceivers_node_19,max_transceivers_node_20,max_transceivers_node_21,max_transceivers_node_22,max_transceivers_node_23,max_transceivers_node_24,max_transceivers_node_25,avg_transceivers,max_transceivers,sum_slots,avg_max_slot
100,11.303135888501743,6.0,11.0,10.0,8.35540069686411,5.0,7.355400696864112,10.456445993031359,7.411149825783972,7.0,7.0,7.43205574912892,9.585365853658537,5.578397212543554,6.463414634146342,5.0,7.874564459930314,4.0,3.0,8.0,5.585365853658536,6.0,6.0,10.449477351916377,16.613240418118465,7.0,14,6,11,10,11,5,10,11,8,7,7,10,11,7,7,5,9,4,3,8,7,6,6,11,19,7,194.59,204,3312,52.57
125,12.303135888501743,10.578397212543553,12.0,11.0,10.35540069686411,8.0,8.35540069686411,11.456445993031359,9.703832752613241,8.0,9.0,7.43205574912892,10.0,7.578397212543554,12.463414634146341,6.0,12.167247386759582,5.0,4.0,9.0,6.0,7.0,8.0,12.02787456445993,18.613240418118465,8.0,15,11,12,11,13,8,11,12,10,8,9,10,10,9,13,6,13,5,4,9,6,7,8,13,21,8,240.33,250,4146,68.79
150,15.149825783972126,12.578397212543553,13.452961672473867,12.0,10.35540069686411,13.0,12.35540069686411,12.076655052264808,11.703832752613241,10.0,11.466898954703833,7.43205574912892,11.0,9.031358885017422,13.282229965156795,8.0,12.986062717770034,6.0,5.0,9.0,8.0,8.0,9.0,14.02787456445993,18.613240418118465,10.0,20,13,14,12,13,13,15,13,12,10,14,10,11,11,14,8,14,6,5,9,8,8,9,15,21,10,278.68,292,4773,81.68
175,17.609756097560975,12.860627177700348,13.815331010452962,13.386759581881533,10.35540069686411,15.278745644599303,13.91637630662021,18.142857142857142,15.522648083623693,12.0,13.466898954703833,9.679442508710801,11.0,14.32752613240418,15.64808362369338,9.0,12.986062717770034,7.362369337979094,7.83623693379791,10.40766550522648,9.0,9.0,11.40766550522648,15.02787456445993,19.979094076655052,11.386759581881533,23,14,15,14,13,16,18,21,17,12,16,13,11,19,17,9,14,8,10,11,9,9,12,16,23,12,321.46,344,5535,96.29
200,18.609756097560975,12.94425087108014,14.16376306620209,14.386759581881533,14.80836236933798,18.114982578397214,15.35540069686411,21.421602787456447,16.714285714285715,12.0,17.066202090592334,9.679442508710801,12.0,14.32752613240418,18.365853658536587,11.0,14.703832752613241,7.362369337979094,11.236933797909408,12.40766550522648,10.0,9.0,12.40766550522648,16.56794425087108,24.578397212543553,16.386759581881535,24,14,16,15,18,20,18,25,19,12,21,13,12,19,19,11,15,8,14,13,10,9,13,18,29,17,364.86,390,6459,116.57
225,19.609756097560975,14.578397212543553,13.452961672473867,17.0,16.261324041811847,20.804878048780488,17.013937282229964,21.864111498257838,19.156794425087107,13.0,18.804878048780488,12.383275261324043,12.0,14.32752613240418,20.282229965156795,15.0,15.435540069686411,9.0,14.536585365853659,12.881533101045296,13.0,10.0,13.428571428571429,18.34843205574913,25.21254355400697,19.48780487804878,25,15,14,17,20,23,21,24,20,13,24,16,12,19,21,15,17,9,18,14,13,10,14,21,29,22,405.76,434,7233,125.89
250,23.609756097560975,17.442508710801395,15.72822299651568,18.0,16.470383275261323,24.24390243902439,19.29268292682927,22.864111498257838,19.60278745644599,15.0,18.804878048780488,13.383275261324043,13.445993031358885,17.56445993031359,21.282229965156795,17.0,15.435540069686411,9.0,18.24390243902439,12.885017421602788,14.0,11.0,17.67595818815331,18.024390243902438,27.257839721254356,19.473867595818817,29,19,17,18,21,27,24,25,21,15,24,17,14,23,22,17,17,9,21,14,14,11,22,20,31,22,444.12,478,8103,142.5
275,24.609756097560975,19.526132404181183,17.313588850174217,18.0,16.470383275261323,28.777003484320556,21.024390243902438,25.101045296167246,26.94773519163763,17.0,19.65505226480836,15.376306620209059,13.923344947735192,17.006968641114984,23.0,19.0,15.989547038327526,9.466898954703833,19.4006968641115,14.885017421602788,15.0,11.386759581881533,19.874564459930312,18.024390243902438,27.529616724738677,18.56794425087108,30,21,20,18,21,34,25,29,32,17,25,19,15,21,23,19,17,10,20,16,15,12,25,20,32,20,478.36,516,8637,154.39
300,27.21951219512195,20.965156794425088,17.898954703832754,18.696864111498257,18.261324041811847,30.261324041811847,21.846689895470384,28.466898954703833,26.958188153310104,20.45296167247387,19.202090592334496,16.38327526132404,16.191637630662022,20.10801393728223,25.526132404181183,20.860627177700348,18.034843205574912,10.466898954703833,20.89547038327526,17.278745644599304,15.853658536585366,13.445993031358885,21.637630662020907,21.797909407665504,30.024390243902438,19.745644599303137,34,23,19,19,22,36,27,35,32,21,24,20,18,27,28,22,21,11,25,20,17,14,27,27,36,21,517.25,572,9930,174.86
325,29.031358885017422,20.965156794425088,19.898954703832754,21.48780487804878,18.261324041811847,31.087108013937282,23.66898954703833,28.72473867595819,26.341463414634145,23.613240418118465,21.320557491289197,18.149825783972126,18.7595818815331,19.5609756097561,26.693379790940767,20.770034843205575,19.533101045296167,14.965156794425088,21.529616724738677,20.99651567944251,17.39721254355401,17.0,23.54355400696864,21.874564459930312,31.494773519163765,22.550522648083625,38,23,21,23,22,37,30,33,30,26,28,23,21,26,29,22,24,17,25,26,18,17,28,25,37,25,556.6,618,10692,190.18
